Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-270_5735.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-271_5736.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-272_5737.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-235_5745.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-236_5746.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-237_5747.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-238_5748.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-239_5749.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-273_5738.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-274_5739.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-275_5740.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-276_5741.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-277_5742.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-278_5743.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-279_5744.d
O00483	O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	1711.36	1280.1	4106.8	3260.9	1842.97	2192.84			3614.21	792.599	5661.15	1916.98	1008.33		
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	4176.03	3112.25	2947	1456.75	604.806	2899.78			3820.76			3493.8	3490.27	1769.35	
O00499	O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	824.861	1632.89	1707.85			1452.73			762.73			1293.87	1251.13		
O00515	O00515	LAD1_HUMAN	LAD1	Ladinin-1		800.237	1033.81			889.45			848.542						
O00541	O00541	PESC_HUMAN	PES1	Pescadillo homolog	2304.01	1527.84	1217.16	1242.35	1683.23	2054.97			3201.41		2226.65	2231.08	2557.44		
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	4487.11	4574.31	4120.06	5823.61	6498.02	4410.38			7243.46		6644.2	4608.36	4589.24		
O00571	Q9NQI0;O15523;O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	5514.1	5335.27	4383.75	3317.5		4895.44	5201.58		4085.34			5245.75	3965.76	2670.52	
O00625	O00625	PIR_HUMAN	PIR	Pirin	1954.74	1898.15	2749.99			2104.82			2484.86			1563.66	2238.93		
O00629	O00629;O00505	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	2490.21	2069.42	2282.11	2374.78	805.68	2153.62			1535.49			2137.43	1994.9		
O00743	O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	1597.84	1376.24	1171.65			1129.68			1200.81			1034	1853.17		
O14530	O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	599.768		779.521						773.349			351.522			
O14579	O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	441.573	961.555	1156.93			1110.09			763.942		538.861	1273.66	790.808		
O14602;P47813	P47813;O14602	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal	3419.98	4767.74	3315.86			3251.56			2327.84			3799.02	3974.64		
O14732	O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	2132.59	2234.68	2803.72	1320.34	851.378	1740.66	1241.44		2604.99			2850.33	2527.18	2034.2	2464.78
O14737	O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	2608.37	1783.25	1788.59			1902.67			2322.78			1770.67	2597.67		
O14744	O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	2290.73	2645.25		35294.6		3417.49			3254.34			3042.63	3076.23		
O14745	O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	11627.7	12680.8	14533.2	2949.94	1139.5	9320.43			8645.49	18273.3		8347.96	6948.19		
O14773	O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	896.314			1762.34	480.497	507.971			665.376		1905.9	1104.48	1050.53	1120.11	
O14776	O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	1667.67	1200.8	1101.14		435.28	1498.62			959.482			1311.53	867.197		
O14818	O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	11229.3	9874.68	8852.7	3302.77	2124.37	12723.7	2973.82		10973.7	4367.35	2591.17	11428.4	9678.05	6929.04	4633.39
O14828	O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	1435.09	962.219	1685.88	825.352	1332.75	1295.79			1183.83		759.391	1755.42	1017.11		
O14880	O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3			1945.72	2375.68	2103.67	623.417			466.709		1939.4	375.379	205.895	244.881	
O14907	O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	809.433	372.224	515.127			953.788			600.407			894.721	1032.02		
O14925;Q5SRD1	Q5SRD1;O14925	TI23B_HUMAN;TIM23_HUMAN	TIMM23;TIMM23B	Mitochondrial import inner membrane translocase subunit Tim23	553.991		1566.46	1443.57	761.969	650.061			397.594		1373.96	1041.59	601.107		
O14929	O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit						296.515							275.832		
O14949	O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	2180.09	1262.72	2719.77	2518.61	4015.71	1981.25			1571.78		3277.78	1709.07			
O14950;P19105	P24844;P19105;O14950	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	4761.72	2829.64	5345.63	3728.04	1410.01	2957.87	762.533		2406.94	3477.83	1071.8	2926.06	4116.12		
O14964	O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	988.89	682.829	1420.82			1225.57						391.287	661.886		
O14967	O14967	CLGN_HUMAN	CLGN	Calmegin	1577.1	1195.53			739.193	408.993			593.783			630.187	1611.18		
O14974	O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A		585.705	1526.17			942.913						839.167	1007.28		
O14976	O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	758.228			460.195		964.885			737.815			601.895	679.149		
O14979	O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	1701.94	2182.03	1672.01		1481.14	3406.42			1995.26		636.155	3744.99	2001.26		
O14980	O14980	XPO1_HUMAN	XPO1	Exportin-1	4034.41	3294.5	3745.27	2502.12		3290.75			4115.73			3851	2992.39		
O14981	O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	378.503	996.145	420.567						239.218			276.865	628.828		
O15027	O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	829.247		1124.8		397.395							354.401	1198.21		
O15042	O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	4120.31	7111.65	4288.79	2000.33	2628.4	5144.3			4758.33		1163.03	4127.85	2513.61	3120.81	
O15067	O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	2098.5	1959.21	2124.8	1770.98		1731.4			1864.87			2461.68	2603.25		
O15120	O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	989.695	2350.5	1443.23	1989.24	1352.25	1407.65			2007.8		1378.6	1338.71	1265.09		
O15127	O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	2179.78	677.502	1014.59	1474.92	1508.59	1545.99			1157.1		835.24	1397.6	1064.78		
O15143	O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	3255.4	1936.11	2610.88	1013.19	753.715	2871.72			1756.16		568.234	2909.79	2449.63	1222.05	
O15144	O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	6798.73	4814.25	5619.39	1896.96	2307.94	5821.47	2607.43		5140.87	2379.4	2075.74	6951.33	5200.43	2951.2	1632.45
O15145	O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	6703.27	4903.53	5430.94	2401.75	2150.23	5317.06			3845.06		2363.39	6831.57	6408	1693.47	
O15160	O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	890.895	692.094	982.247		905.167	820.102			1310.35			1361.84	1157.23		
O15173	O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	818.774	1594.05	1349.94	2312.27	1004.48	2209.34			1068.38		1800.42	1014.93	1519.52		
O15212	O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	1013.21	1527.96	1448.94			1537.16			1219.13			1636.03	1679.07		
O15213	O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46					1554.3				1465.77				1287.89		
O15226	O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor			891.506		774.25	872.879			1001.29		1386.44	863.837	778.644		
O15230	O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	3414.49	4105.37	2128.52	5037.6		2435.34	7878.15			5509.2		1528.43		9543.84	6522.33
O15258	O15258	RER1_HUMAN	RER1	Protein RER1	768.14		1504.63	1656.19	1281.83	1042.36			1535.03		1274.25	1088.86	1370.85		
O15305	O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	418.539	963.454	1062.57			546.061			878.463			1009.3	876.824		
O15321	O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1			623.502			650.503			718.692		1194.94		455.635		
O15347	O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	1308.38	1220.85	2359.42			3396.39			1862.93			2190.38	2552.75		
O15355	O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	1984.06	2849.51	1769.05	841.641		2348.14			2196.69			2077.03	2265.35		
O15371	O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	3995.61	3997.12	3807.97			3421.16			2877.57			4788.25	3198.04		
O15372	O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	1666.77	1949.76	1559.81	728.963		1661.83			1695.78			2269	1378.42		
O15400	O15400	STX7_HUMAN	STX7	Syntaxin-7	1872.83	1492.71	3201.55	2087.35	3528.98	2788.48			2372.48		3011.87	3176.37	1953.82	664.514	
O15446	O15446	RPA34_HUMAN	POLR1G	DNA-directed RNA polymerase I subunit RPA34	1324.24	1637.3	931.645		2681.61	1189.35			1482.33		1315.67	1059.42	925.775		
O15498	O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	1134.01	936.751	1537.72	938.637		1810.64			1076.59		1047.82	1383.13	764.471	753.662	
O15511	O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	5605.87	3299.09	3408.86		1767.46	3202.99			2374.08		1175.32	4045.65	3906.02		
O43143	O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	3489.88	4217.76	3186.74	1440.54	4323.89	4472.97			5581.36		4194.72	4103.3	4336.15	1143.62	
O43148	O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	1351.42	1038.89	1110.49			953.259			1349.91			1330.86	1717.37		
O43169	O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B		222.623	1045.12	1447.17	190.541				1423.66			617.871	264.044		
O43172	O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	1075.43	1330.56	744.219	664.449	907.527	1433.2			964.713		753.956	747.943	616.055		
O43175	O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	31511.7	19013.7	32602.9	7291.5	1511.98	25694	2551.25		25351.7	2675.7	1661.93	11492.5	28701.9	3686.01	2873.76
O43242	O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	2147.92	2258.39	2253.57	972.381	760.493	2630.26			1643.78			1788.63	2296.8	615.83	
O43252	O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	941.691		966.368	729.352		904.609			386.142			718.823	509.878		
O43290	O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	580.219	889.42	485.707		718.709	964.574			685.23			820.721	925.272		
O43292	O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein											1018.95	776.521	189.21		
O43324	O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	3413.12	1916.82	2947.1	792.917		2129.67			3527.28		565.773	2306.91	3872.74	2194.74	
O43390	O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	1876.19	2678.53	2379.57		2970.29	1928.14			3323.59		2988.23	2291.82	2311.62		
O43395	O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	1255.11	977.485	1825.84		1083.15	1672.79			1137.32			1284.16	1196.65		
O43396	O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	5285.63	5579.13	2822.13		403.85	6242.42			4283.57			4112.87	3474.92		
O43399	O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	3747.29	3045.7	3070.56	3832.9	689.344	4033.06			2174.74		1762.95	3967.3	4375.33	525.137	
O43447	O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H		893.043	781.234			633.241			836.385			603.595	508.553		
O43490	O43490	PROM1_HUMAN	PROM1	Prominin-1	998.389	648.933	807.636		995.628	1274.43			662.911		987.689	296.177	498.035		
O43491	O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2		1305.36	1134.88			1126.33						1081.13			
O43548	O43548	TGM5_HUMAN	TGM5	Protein-glutamine gamma-glutamyltransferase 5					1406.89	1530.15									
O43583	O43583	DENR_HUMAN	DENR	Density-regulated protein	1284.82	2832.08	1433.99			980.254			1782.14			1889.15	1927.39		
O43592	O43592	XPOT_HUMAN	XPOT	Exportin-T	747.21	446.431	877.403			735.15			997.093			371.219	687.036		
O43615	O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	2959.79	2194.89	3130.76	3127.32	3504.8	3807.01			2211.91		2822.51	1895.29	1515.25		
O43670	O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	3675.01	3647.23	3133.72		806.714	4264.17			3932.68			3866.52	3505.19		
O43676	O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3			830.57	793.402	678.935						730.65			916.951	
O43681	O43681	GET3_HUMAN	GET3	ATPase GET3	3856.69	2659.39	3182.74	2563.01	562.505	3383.45			3333.67			5314.16	2752.79		
O43684	O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	3256.22	3887.83	3278.86	1176.98	902.746	3275.19			3334.31			3120.58	2837.05		
O43707	O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	12022.5	11461.2	12387.6	7750.24	2008.38	9620.18	4783.15		9723.16	4342	4069.03	10486	9529.45	5951.15	5819.94
O43747	O43747	AP1G1_HUMAN	AP1G1	AP-1 complex subunit gamma-1	2765.7	2527	2782.81	1132.84		1333.84			2312.44			3576.97	3273.91		
O43765	O43765	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	1287.27	1579.1	1148.32			2370.23			1078.55			1496.08	884.409		
O43768	O43768;P56211	ENSA_HUMAN	ENSA	Alpha-endosulfine	1454.29	1423.47	1311.69			2461.79			1726.16			2162.9	2832.62		
