Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-25-2024_Slot2-94_3888.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3955.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3959.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3968.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-29-2024_Slot2-94_3994.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_3-2-2024_Slot2-94_4032.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_3-3-2024_Slot2-94_4061.d
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	1259.8	1475.45	1943.17	1756.38	1540.88	1641.6	1353.99
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	1213.86	1310.77	2038.03	1273.73	1332.14	1694.65	1310.13
O00165	O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1		237.661					403.252
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	944.665	1071.9	1244.9	1171.75	1165.66	896.876	1253.84
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1		201.689				121.928	
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	449.935	324.391		316.761	646.134	258.531	628.079
O00193	O00193	SMAP_HUMAN	SMAP	Small acidic protein	1240.75	1021.69	1434.63	790.357	1014.82	589.896	759.884
O00203	O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	563.968	936.248		1097.42	1042.52	925.142	1044.36
O00214	O00214	LEG8_HUMAN	LGALS8	Galectin-8	232.585						
O00217	O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	621.038	651.703		822.407	519.542	715.588	
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	1814.45	1722.22	2215.27	2047.16	1762.6	1622.13	2035.03
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1715.59	1635.29	2332.9	1503.02	2056.45	1830.09	1341.29
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1169.93	1226.67	1335.11	1601.34	1554.63	1467.31	1432.99
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	939.975	614.89		472.966	955.295	721.449	460.651
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	2541.83	2036.53	3291.01	2251.78	2317.07	2308.21	1836.37
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	321.941	288.292	477.314	282.833	462.179	113.195	396.449
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	888.501	1096.52	1546.06	860.095	1007.64	1115.91	789.953
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	8451.96	8207.02	6344.91	7890.96	7132.83	8201.69	7234.87
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	2070.08	2052.49	2264.02	2097.34	1835.3	1910	1658.72
O00330	O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	366.813	544.287		495.592	499.131	680.396	586.335
O00401	O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein		604.217			1006.18	298.109	589.354
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5	1793.6	1659.6	2462.11	1491.86	1656.61	1719.99	1561.31
O00411	O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	526.911	597.256				572.72	
O00422	O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	1468.58	1563.77	1563.29	1900.24	1663.97	1346.5	1360.2
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	1933.09	1935.65	2905.85	1976.96	1611.58	2042.98	1840.95
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	1442.26	1878.82	1249.33	1452.34	1475.26	1667.69	2022.3
O00443	O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	183.461						
O00461	O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	445.873	308.773	685.977	305.387	333.356	542.993	362.45
O00468	O00468	AGRIN_HUMAN	AGRN	Agrin	424.047	409.72					448.39
O00469	O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	1455.22	1402.21	968.058	1322.27	1927.1	1767.45	1617.76
O00479	O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	686.576	261.067			592.13	384.648	310.149
O00483	O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	1713.18	2087.91	2445.81	1834.13	1625.31	1773.43	1897.81
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	1077.24	1336.47	1389.48	1493.36	1423.45	1374.36	846.637
O00499	O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	659.755	565.57		468.346	677.59	383.788	626.56
O00505	O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	470.317	797.834		269.554	899.55	263.463	511.223
O00541	O00541	PESC_HUMAN	PES1	Pescadillo homolog	931.571	964.809	1111.46	929.954	1117.01	1227.22	944.76
O00560	O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	254.504	319.479		122.409		363.023	
O00566	O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10						311.346	
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	995.682	1100.14	1339.72	917.184	936.403	986.625	1116.85
O00571	O15523;O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	2821.12	2573.93	3810.06	2803.22	2802.27	2620.25	2678.88
O00584	O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	345.809						
O00592	O00592	PODXL_HUMAN	PODXL	Podocalyxin	3246.94	3174.46	5151.48	2801.96	3280.89	3557.79	2916.26
O00625	O00625	PIR_HUMAN	PIR	Pirin	2634.6	2467.28	3780.01	2606.97	2313.01	2639.02	2555.79
O00629	O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	1027.92	1044.76		933.143	952.425	898.198	742.248
O00743	O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	386.221			364.146	108.434		
O00754	O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase		294.173			212.642		
O00762	O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	196.443	391.104		532.349			820.189
O00764	O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	2042.04	2237.29	3061.5	2995.36	2887.18	2449.07	1980.11
O00767	O00767	SCD_HUMAN	SCD	Stearoyl-CoA desaturase	856.627	976.082	1407.74	795.929	1290.38	965.702	1061.93
O14519;O75956	O75956;O14519	CDKA1_HUMAN;CDKA2_HUMAN	CDK2AP1;CDK2AP2	Cyclin-dependent kinase 2-associated protein 1	708.918	322.005	852.579		421.208		
O14530	O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	398.91	342.084				626.386	
O14548	O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	171.679	320.748		475.915	358.448	529.592	
O14561	O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	965.205	1028.58	1119.68	1204.65	1075.29	1564.11	1158.75
O14562	O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	776.236	1277.54	950.659	1151.55	1011.4	1065	990.985
O14579	O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	506.052	666.093	831.837	858.816	738.731	890.358	992.519
O14617	O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	815.911	472.393		683.867	500.293	733.851	304.549
O14618	O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	666.071	446.516		618.341	624.647	295.996	682.686
O14639	O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1		184.032			344.122		
O14656	O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	292.878	158.522			323.499		
O14681	O14681	EI24_HUMAN	EI24	Etoposide-induced protein 2.4 homolog							480.74
O14684	O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	386.342	596.405	1091.72	631.392	630.515	854.872	
O14732	O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	879.722	551.478		653.994	985.876	902.274	593.734
O14735	O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	821	841.726		505.319	624.493		952.943
O14737	O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	2209.07	2613.55	2811.44	3076.22	2209.57	3225.52	1588.53
O14744	O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	2317.03	3444.31	3072.02	2129.32	3591.08	2330.98	2549.54
O14745	O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	2237.09	2137.94	1733.57	2197.94	2229.78	2373.92	2646.57
O14773	O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	914.256	780.106		836.67	930.777	1098.75	876.066
O14776	O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	1179.58	1162.67		1019.85	1077.69	1297.37	840.924
O14777	O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog		566.997			269.346		
O14818	O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	4527.31	4045.86	4057.06	4348.8	4565.18	4191.9	3797.79
O14828	O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	713.702	780.701	713.209	848.964	769.765	979.832	835.935
O14874	O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial		264.556		348.859	239.36	235.499	
O14880	O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	728.575	644.942		694.203	613.846	402.291	369.601
O14907	O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	327.387	333.245		303.576	391.428	262.086	127.808
O14908	Q8TF64;O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	295.22	322.699		462.109	311.041		573.239
O14925	Q5SRD1;O14925	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23		303.126		566.336	571.637	222.486	491.77
O14929	O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	1942.32	1991.04	1845.39	2440.58	2045.2	1617.53	1399.5
O14949	O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	2126.27	2529.6		2185.26	2637.43	2468.86	2314.05
O14950;P19105	P19105;O14950	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	6152.65	5215.11	5809.25	5874.74	4715.21	5601.8	5356.81
O14964	O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	557.894	725.968		711.074	615.974	484.625	563.881
O14974	O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	1429.31	1441.87	1582.34	1185.92	1345.28	1567.37	1187.94
O14975	O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase	213.783			241.414		305.916	
O14976	O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	472.267	273.661					367.573
O14979	O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	4107.2	4426.99	4729.95	3950.67	3350.02	4748.29	3589.6
O14980	O14980	XPO1_HUMAN	XPO1	Exportin-1	1539.58	1533.48	3821.8	1573.49	1689.03	1666.38	1632.2
O14981	O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172		69.4718		446.062			611.316
O15013	O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	402.466					478.99	
O15020	O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	412.736	321.313			271.276	659.669	328.732
O15027	O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	1026.14	1041.07	1763.79	1261.76	1420.88	1136.2	961.509
O15031	O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	525.964	574.807		484.922	798.006	814.276	439.417
O15042	O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	849.437	756.66		748.788	873.759	661.991	652.403
O15061	O15061	SYNEM_HUMAN	SYNM	Synemin	629.21	684.956	1385.8	544.246	824.673	936.106	587.223
O15067	O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	1607.78	1631.01	1654.31	1982.87	1717.69	1813.47	1900.36
O15091	O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit		285.31		297.39			
O15116	O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	407.532	602.466		535.542		694.18	727.397
O15118	O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	616.774	549.211		658.527	333.584		518.66
O15121	O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	440.135	264.358					
O15126	O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	309.958				220.533		
O15127	O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2					465.883	442.837	588.415
O15143	O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	1310.34	1118.87	1656.41	1355.73	1370.03	1254.73	1358.54
O15144	O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	2040.13	1935.57	1747.5	1848.01	1722.29	1542.12	1670.46
O15145	O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	3904.17	5453.7	3952.2	3147.28	2522.17	3470.11	3046.2
O15155	O15155	BET1_HUMAN	BET1	BET1 homolog				227.3			345.45
O15160	O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	436.11	563.238		778.589	639.63	236.282	430.645
O15164	O15164	TIF1A_HUMAN	TRIM24	Transcription intermediary factor 1-alpha		587.927				936.76	
O15173	O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	1761	1949.7	1570.3	1722.58	2243.78	1951.91	1718.35
O15212	O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	1251.56	1285.21	1863.12	1593.28	1520.65	1519.57	1219.32
O15213	O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	380.529	212.298				976.959	214.593
O15226	O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	448.055			370.927		212.961	
O15235	O15235	RT12_HUMAN	MRPS12	28S ribosomal protein S12, mitochondrial	401.923	517.647				746.333	684.11
O15254	O15254	ACOX3_HUMAN	ACOX3	Peroxisomal acyl-coenzyme A oxidase 3	175.946			200.166			289.486
O15258	O15258	RER1_HUMAN	RER1	Protein RER1	1145.91	1007.46	757.379	930.206	639.999	892.931	826.345
O15260	O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	4133.09	3150.17	1704.25	3070.51	2008.84	2617.35	2236.87
O15269	O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	455.504	280.048		297.989	429.951		464.026
O15294	O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	1036.1	559.555		530.778	529.605	573.229	700.682
O15305	O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	704.664	763.577		685.902	644.226	762.59	697.276
O15321	O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1		163.073		213.772	325.65		
O15347	O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	1599.32	1807.93	2247.37	1798.5	1408.2	1825.38	1538.16
O15355	O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	1185.62	1202.69		806.572	1095.83	1183.37	1198.7
O15357	O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	459.38	459.022		596.553	620.977	808.17	739.979
O15371	O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	1169.08	1092.63	1667.18	780.348	953.632	1131.5	1268.78
O15372	O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	1303.33	1549.22	1093.98	1413.59	1022.11	835.713	1185.33
O15381	O15381	NVL_HUMAN	NVL	Nuclear valosin-containing protein-like							1460.46
O15382	O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	538.618	531.328			430.935	665.671	560.643
O15397	O15397	IPO8_HUMAN	IPO8	Importin-8	922.065	802.482		874.407	984.69	808.637	509.871
O15400	O15400	STX7_HUMAN	STX7	Syntaxin-7	305.248	227.522			620.417	470	
O15427	O15427	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4	2504.55	2872.64	1897.95	3163.53	3460.78	2951.73	3045.92
O15446	O15446	RPA34_HUMAN	POLR1G	DNA-directed RNA polymerase I subunit RPA34	302.276	287.326		515.736	432.919	282.439	
O15460	O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	1066.35	898.11	612.328	1368.66	1174.59	765.642	734.472
O15498	O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	929.714	1329.56		984.012	2039.53	1470.87	933.944
O15511	O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	2685.78	2539.61	4519.37	2658.91	2554.39	2427.3	2754.69
O15525;O60675	O15525;O60675	MAFG_HUMAN;MAFK_HUMAN	MAFG;MAFK	Transcription factor MafG	520.919	506.229				430.681	528.854
O15533	O15533	TPSN_HUMAN	TAPBP	Tapasin	841.532	737.332				964.916	967.594
O43143	O43143;Q14562;O60231	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	2685.31	2584.26	2887.97	2161.76	2440.94	2645.47	2784.53
O43148	O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	531.993	243.931					
O43156	O43156	TTI1_HUMAN	TTI1	TELO2-interacting protein 1 homolog	442.879			285.954	406.367	876.593	185.726
O43159	O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	553.46					316.427	
O43169	O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	1350.31	1592.71	1214.66	1528.36	1547.34	944.654	787.314
O43172	O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	576.743	581.758	611.257	485.413	403.647	460.42	629.061
O43175	O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	7042.53	7571.85	8323.2	7462.52	7191.94	7968.88	7987.78
O43181	O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial						523.771	600.081
