Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-209_4256.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-210_4257.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-211_4258.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-213_4260.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-219_4267.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-220_4268.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-221_4269.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-12-2024_Slot1-222_4289.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-52_4249.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-53_4250.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-54_4251.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-55_4252.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-56_4253.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-11-2024_Slot1-74_4264.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-11-2024_Slot1-75_4265.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-11-2024_Slot1-76_4266.d
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	54291.2	26129.3	25206.3	13939.8	13412.3	39048.2	20140.3	39344.2	53218.7	25130	18293.1	7770.4		48148	54322.6	
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19		8853.07	8490.43	894.107			4989.94									
B7ZAQ6;P0CG08	P0CG08;B7ZAQ6	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A				4324.95												
C4AMC7;Q6VEQ5	A8K0Z3;Q6VEQ5;C4AMC7	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3				6141.08	11880					8062.86					25315.6	
C9JLW8	C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1				9664.25												13661.4
E9PAV3	E9PAV3;Q13765	NACAM_HUMAN	NACA	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"	31604.6	2663.27	5457.14	16774.9	35838.8	32798.4	30237.3	53279.1	19967	17145.7	24225.5	10399.4	29438.7	30669.8	34344.2	27790.9
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98				5459.69		10071.4										
F8WCM5;P01308	F8WCM5;P01308	INSR2_HUMAN;INS_HUMAN	INS;INS-IGF2	"Insulin, isoform 2"								76531.2								
L0R8F8	L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein							7095.1								8018.02	
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha				4470.61				66386.8								6066.8
O00116	O00116	ADAS_HUMAN	AGPS	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"		9647.48	5621.86	4581.35	28163.9	8588.86			3197.88			18840.2		7901.4	17092.6	
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A			2274.81	4055.31	2708.66	13177.3	15277.9		15150.9					8014.64	8188.25	
O00142	O00142	KITM_HUMAN	TK2	"Thymidine kinase 2, mitochondrial"			5862.06									6611.74				
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	7737.74			4421.09	19579.5	15554.6	10685.8	9107.55	10349.6					11850.3	5176.28	21083
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	38021.3			32155.7	68263.2	16519.2	48111.2	57872.9						36178.6	28344.7	
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	51088.9	24197.3	20591.5	64478.9	37075.3	38070.5	27731.6	25527.6	37508.4	41220.5	34506.6	16224.2	34746.8	37347.2	33509.4	37235.4
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	23403.3	42442.4	26180.9	33010.9	26014.2	16534.1	29496.2	20040.4	34829.1	27923.7	29262.6	18008.9		22357.7	13926.3	21973
O00161	O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	9104.92			7318.15				5506.76	7894.41	13231.6				8300.97		
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein				9732.47	9207.63	10269.7		3561.35	23606.6	11193.5	12382.8		10098.1	16622.5		12124
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1				2988.47	8901.52	13967.6			12133.2					10515.3		
O00182	O00182	LEG9_HUMAN	LGALS9	Galectin-9								13745.8								
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3			3856.79	5259.39	7703.07									8389.19		
O00192	O00192	ARVC_HUMAN	ARVCF	Armadillo repeat protein deleted in velo-cardio-facial syndrome		441211							389000						461356	
O00193	O00193	SMAP_HUMAN	SMAP	Small acidic protein				4953.19			13338.2			7566.89	16626.7			18207.3		
O00203	O00203;Q13367	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	15031.2			14480.7	11970	9125.68	19398.8	5632.33	2264.73	15260.4	17704.7		9009.37	12903.6	12364.4	22644.5
O00213	O00213	APBB1_HUMAN	APBB1	Amyloid beta precursor protein binding family B member 1														5451.08		
O00217	O00217	NDUS8_HUMAN	NDUFS8	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"			46039.6	13683.4												
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	27286.8	9044.03	13309.7	18875	31927.3	18143.1	25497.3	24073.1	27266.7	29226.4	17770.5	25837.5	18690.8	25594.3	35303.6	18027.6
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	38401.5	20616.6	17663	24697.9	23617.7	34155.6	24929.3	17454.3	28069.7	19508	28607.4	24495.3	39359.2	22329.8	30259.2	31984.5
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	11961.2			12734.9	16505.9	16096	12473.4	9302.57	14136.9	14058.5	13340.7			10885.2	13327.4	18783.3
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1				5657.08		4457.47		11706.4						8805.03	14042.3	
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1		11809.4	27287.6	18457		14209.1		27452.3		12828.9	5142.36			14522		
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5		14790.6	25763.5	8945.13	10030.8					6646.66				6057.14		
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha			11498.1	6808.34	2954.1	8349.99							7447.37	5260.26	10696.9	
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	163361	24864.9	34424.2	174751	163276	154579	223163	143470	174631	115821	223269	12130	134847	181140	111991	169108
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	23663.1		8842.61	20319.6	26876.7	15673.6	25630.6	22492.9	21913.4	15202.5	7675.95		20508.8	19519	14132.5	28182.3
O00330	O00330	ODPX_HUMAN	PDHX	"Pyruvate dehydrogenase protein X component, mitochondrial"	6384.58		6093.06	9748.51		7042.16										
O00391	O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	19382.3															
O00401	O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein				8089.96											8703.12	
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5	8264.17		5105.81	13713.3	22976	20440.8	17843.5	6156.15	11351	19486.3	11202.5			17555.8	13343.7	21661.8
O00422	O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18		14612.9	8492.31	4390.81	8624.45	11377.1			11350	19055.5	24003.4	12377.7		7688.73	7960.11	9899.72
O00423	O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1								9929.27						9572.39		
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	32773.2	37613.5	21010.3	43616.3	27646.5	39716.5	41124.2	39428.4	68171.7	42403.4	85360.1	19047.1	35710.5	28588.4	31012.4	46008.9
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	11516.6			28206.1	9619.86	22867.7	22436.5	23879.5	19005.2	29167.7	21396.2		15780.2	22835.9		27782.1
O00442	O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase				40431.4	7212.93	42993								5063.96		
O00443	O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha				2554.83				13553.8							17665.5	
O00461	O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4		5040.59									10714.3	5543.29		15675.1		
O00462	O00462	MANBA_HUMAN	MANBA	Beta-mannosidase			28964.4													
O00468	O00468	AGRIN_HUMAN	AGRN	Agrin												18195.6				
O00469	O00469	PLOD2_HUMAN	PLOD2	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"		26638.5	56676.5	31578.5	38203.5	20620.7		31920.1	18590.6	23067.1	41342.8	46568.9	20642.8	22600	69016	8369.54
O00471	O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5		7320.15			180712											
O00479	O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4		11904.5	3133.93							11025.5	9369.32	6426.17				
O00483	O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	26624	20772	42703.1	42597.4	23775.6	18428.2	13441.9	28059.9	36515.9	39237.8		23712.5	11196.5	27807	15772.8	7283.43
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	29942	23071.7	16570.3	28389.6	36225.5	25449.2	28423.7	20432.4	34082.3	32031.7	29099.7	14138.3	30004.7	47117.6	24604.4	24899.6
O00499	O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1														2539.95		
O00505	O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4			9659.76	5270.47	15374.9		16227.9			4901.48	11553.9			4736.62		
O00522	O00522	KRIT1_HUMAN	KRIT1	Krev interaction trapped protein 1				3729.59												
O00534	O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A				10882.5	10064.3		10771.1		24752.3	18484.4	34127			18158		19178.5
O00541	O00541	PESC_HUMAN	PES1	Pescadillo homolog		12012.3	8984.51	8786.95	9856.45		9694.3		13080	17970.6		4762.42		6119.75	9815.85	
O00560	O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	3383.34	17461.3	6403.55	8597.13	5191.34	12669.3	34741.6	21413.3	10491.8	13623.2		16509.3	10089.7	9075.08	31466.1	
O00562	O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1				2052									12379.9			
O00566	O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10							10208.5									
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56		29132.6	19548	11554	19488.7	13172.1	15279.7	11620.8	11333.5	31027.4	16796.6	16401	15172.5	10052.8	12397.3	19040.7
O00571	O15523;O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	22523.4	13573.8	26548.4	17362.3	75147.2	36808.7	33246.9	48702	31236.9	30538.2	31335.2	46964.8	16121.5	27957.5	36644.2	35318.7
O00584	O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	34082.1															
O00622	O00622	CCN1_HUMAN	CCN1	CCN family member 1		27704.2		15014.8												
O00625	O00625	PIR_HUMAN	PIR	Pirin		123367							71356.8					19615.5		
O00629	O00629;O00505	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	14285.2	18464.9	20595.5	19479.2	20994.4	15002.8	18813.4			14024.6	2174.19		14056.3	15761.5	21615.5	
O00743	O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit														3968.77		
O00754	O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase			7052.76	7269.69	10734.1					18924.7	12092.2	20180.2				
O00764	O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	388515		3271.28	11654.2	13276.4	17388	16467.1	22376.5	25600.7	1680.47	9458.88	220626	10152	3583.25	6780.88	11821.5
O14530	O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9				2023.43										5117.69		
O14531	O14531	DPYL4_HUMAN	DPYSL4	Dihydropyrimidinase-related protein 4									7408.59					12498		
O14558	O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6			4348.47		5582.22					6405.27	15927.5					
O14562	O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1				6455.33					4963.56		19682.8					
O14578	O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase				4195.75		13248.3										
O14579	O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	12639.1		4724.54	21432.7	19707.4	8618.06	18851.3	9440.38		9161.29	24403.9			21700.1		12676.5
O14617	O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1				13330.1	24524.8		79889.7						7454.03			
O14618	O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase									6215.18		17665.7					
O14641	O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2					9883.29											
O14647	Q3L8U1;Q9P2D1;Q9HCK8;O14646;O14647;Q8TD26	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2		7043.85	7101.29													
O14656	O14656	TOR1A_HUMAN	TOR1A	Torsin-1A		17022.4	14184.5	7632.68	11467.1				8845.38							
O14657	O14657	TOR1B_HUMAN	TOR1B	Torsin-1B				4099.69												
O14662	O14662	STX16_HUMAN	STX16	Syntaxin-16				2105.13												
O14672	O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10								36730.8				35708.2				
O14681	O14681	EI24_HUMAN	EI24	Etoposide-induced protein 2.4 homolog			20452.7	13954.2								9613.74				
O14682	O14682	ENC1_HUMAN	ENC1	Ectoderm-neural cortex protein 1															10518.4	
O14732	O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	5678.83				8562.13			16027.8			11427.2			7719.9		
O14734	O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8			5028.04	18336.2												
O14735	O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase		8948.8	13280.7	9825.25	6373.34						12586.8	9759.77				6915.14
O14737	O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	19072.2			18037.8	16815.6	25523.2	19806.2		20825.7	11896.5	14269.5		21026.8	11413.3	23851.8	27710
O14744	O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	15028.5	10732.8	18623.6	9099.74	9608.37			16627.7	22144.3		23101			14416.5		
O14745	O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1				3271.79		11783.6		13926.1	5352.05	7958.8	23335.9			4955.89		4818.98
O14757	O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1														7479.35		
O14773	O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1			28083.7	20857.5				91052.4	24287.1	16974	20049.8	19371.9		17084.4		
O14776	O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	18504.3	12108.6	7763.84	11705.8	14337.4		26098.1	20030.2	21558.2	15453.9	16677.4	11891.2			3300.43	26436.5
O14777	O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog								9835.84								
O14786	O14786	NRP1_HUMAN	NRP1	Neuropilin-1											17570.8					30727.6
O14787	O14787	TNPO2_HUMAN	TNPO2	Transportin-2					9815.63											
O14795	O14795	UN13B_HUMAN	UNC13B	Protein unc-13 homolog B			7065.79											7247.76		
O14818	O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	68938.6	38937.6	24596.3	54639.6	80023	68154.4	60963.9	83430.1	71880.9	50049.4	74171.3	36799.9	59331.8	70056.9	55600.5	96670.1
O14828	O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3		7424.18	7695.73	4750.23										5586.61		
O14841	O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase				2037.94												
O14867	O14867	BACH1_HUMAN	BACH1	Transcription regulator protein BACH1		16523.9														
O14879	O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	10007			20481.5	52639.5	44452.4	43716.7	55230.6								
O14880	O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3		27396.5	12009.9	7926.27	7661.67	5311.02	19810.5	3116.66	15509.7	12434	17374.4	18823.4		5333.54	11141.3	
O14907	O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	6043.77			23808.6	40608.8	5908.07	14685.3	5929.08	18077.6	10402.1	15215.9		11814.7	16925.4	6955.11	16768
O14908	Q8TF64;O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1				14195.1												
O14920	O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta				8693.62	7438.61	9651.17	10333.1									
O14925	Q5SRD1;O14925	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23									8309.96					6591	8949.19	
O14929	O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit			3799.34			65342								11332.4		
O14933	O14933	UB2L6_HUMAN	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6				8666.66	21637.1	16360.8		58095								
O14936	O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK					7773.37									9790.68		
O14949	O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8		14271.9	18762	11361.1	7810.15			16426.5	19796.5	3995.69		13168.1	12205.8			15718.6
O14950;P19105	P19105;O14950	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	173376	118000	181894	339563	115399	93470.9	151477	337211	204693	98921	159564	4669.66	157277	233056	108206	120816
O14964	O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	7013.02			16895	12328.8	7431.15	8400.27		7364.8	3558.25	13431.9		10482.3			5080.44
