Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-26_3729.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-27_3730.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-28_3731.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-29_3732.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-30_3733.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-31_3734.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-34_3737.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-35_3738.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-36_3739.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-37_3740.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-38_3741.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-39_3742.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-50_3744.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-51_3745.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-52_3746.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-54_3749.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-55_3750.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-56_3754.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-57_3755.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-58_3756.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-59_3758.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-60_3759.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-61_3760.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-62_3762.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-63_3763.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-64_3764.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-65_3766.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-69_3768.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-74_3770.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-75_3771.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-77_3772.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-84_3775.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-85_3776.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-86_3778.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-87_3779.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-88_3780.d
A6NCW0;A8MUK1;C9J2P7;C9JJH3;C9JLJ4;C9JPN9;C9JVI0;D6R901;D6R9N7;D6RA61;D6RBQ6;D6RCP7;D6RJB6;Q0WX57;Q7RTZ2	A6NCW0;C9JPN9;Q0WX57;C9JVI0;D6RA61;C9J2P7;C9JJH3;A8MUK1;D6RBQ6;D6RCP7;D6R9N7;D6R901;D6RJB6;C9JLJ4;Q7RTZ2	U17L1_HUMAN;U17L3_HUMAN;U17L5_HUMAN;U17LA_HUMAN;U17LB_HUMAN;U17LD_HUMAN;U17LF_HUMAN;U17LH_HUMAN;U17LI_HUMAN;U17LJ_HUMAN;U17LK_HUMAN;U17LL_HUMAN;U17LM_HUMAN;U17LO_HUMAN;UL17C_HUMAN	USP17L1;USP17L10;USP17L11;USP17L12;USP17L13;USP17L15;USP17L17;USP17L18;USP17L19;USP17L20;USP17L21;USP17L22;USP17L24;USP17L3;USP17L5	Ubiquitin carboxyl-terminal hydrolase 17-like protein 3	37527	38286.3		35327			41938.5			46964.9					27973.4							42562.8	62154.1	55280.9				38368			48091.2		55382.7			
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	359.209		377.594	527.879	510.794	379.633		261.241	328.626	479.033	635.813		526.727	612.114	439.966	294.487	619.342	417.652	582.186	435.487	521.366		1086.18	1003.73	772.443	637.138	983.801	630.599		558.887	685.147	1056.16	1208.27	462.172	475.992	604.076
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1			204.161	87.6139	159.934	131.67	201.055		187.232	173.898				419.429	213.134	324.663	208.794		300.012			334.115									323.751	242.5				
A6PVI3;P52298	P52298;A6PVI3	NCB2L_HUMAN;NCBP2_HUMAN	NCBP2;NCBP2L	Nuclear cap-binding protein subunit 2-like	386.233									259.939																										
B5ME19;Q99613	B5ME19;Q99613	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein	980.422	1090.09	914.135	966.576	976.1	789.536	612.839	925.439	722.434	766.44	964.461	656.672	973.285	930.22	679.459	285.571	645.448	1320.66	681.702	1136.7	1159.41	1024		939.176	965.117	937.813	1233.03	825.681	902.163	1072.7	1105.94	1258.38		1341.5		1270.01
B7ZAQ6;P0CG08	P0CG08;B7ZAQ6	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A				167.747				172.025							128.861										183.441				119.009			154.594				
B7ZW38;O60812;P0DMR1	P0DMR1;O60812;B7ZW38	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3			466.269	113.097	455.208	302.153	99.4201		457.337	416.56	353.055	344.411		375.134	187.072	236.233	319.8		602.017	368.518	169.326		204.265			41.5193		181.615				152.981		224.908		
C4AMC7;Q6VEQ5	A8MWX3;Q9NQA3;A8K0Z3;Q6VEQ5;C4AMC7	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3		352.665	314.907	207.459	361.628	300.273	302.494	194.899	505.001			368.28	359.413	294.718	187.54		243.19			370.79	321.042			563.513		223.606	326.404					252.944		365.749		
CONT|A0A0A0MPA0|A0A0A0MPA0_BOVIN	CONT|A0A0A0MPA0|A0A0A0MPA0_BOVIN;CONT|A2I7N1|SPA35_BOVIN;CONT|A2I7N3|SPA37_BOVIN;CONT|Q9TTE1|SPA31_BOVIN	SERPIN	SERPIN		1648.23	3496.51	2243.14	2058.41	2643.95	2824.5	3685.73	3194.12	3349.47	4519.22	4455.92	5068.44	5382.57	4831.06	1773.69	4702.7	4498.92	5523.96	1967.97	6065.4	3041.43	3486.51	3152.42	4570.26	4671.83	2650.97	4049.64	4290.64	4027.61	2669.57	2781.66	3146.82	4778.74	2513.42	1792.14	2636.29
CONT|P00761|TRYP_PIG	CONT|P00761|TRYP_PIG	Trypsin	Trypsin		1.80E+06	3.37E+06	2.45E+06	2.11E+06	1.75E+06	2.27E+06	1.97E+06	2.08E+06	1.24E+06	3.20E+06	3.75E+06	3.57E+06	3.77E+06	4.30E+06	1.26E+06	2.06E+06	3.17E+06	3.59E+06	1.70E+06	2.86E+06	2.10E+06	2.82E+06	2.54E+06	2.80E+06	3.04E+06	2.21E+06	2.36E+06	3.24E+06	3.30E+06	2.29E+06	2.70E+06	1.56E+06	3.47E+06	2.42E+06	1.52E+06	1.93E+06
CONT|P02662|CASA1_BOVIN	CONT|P02662|CASA1_BOVIN	Alpha-S1-casein	Alpha-S1-casein		525.77	1123.13	1007.14	582.158	879.556	709.967	676.915	877.191	741.724	1562.47	1161.53	2188.4	1539.01	1911.3	442.017	840.639	1165.8	1334.54	1104.19	1407.58	539.6	1197.63	789.866	970.462	852.542	964.411	663.338	1801.33	1874.54	4262.58	1487.41	431.924	842.717	1045.49	528.109	661.95
CONT|P02663|CASA2_BOVIN	CONT|P02663|CASA2_BOVIN	Alpha-S2-casein	Alpha-S2-casein		401.504			213.31	361.622	308.278	160.618	174.727	202.349	420.654	757.47	711.137	466.121	809.654	180.976	418.176	634.881	365.755	392.8	445.197	730.654	264.053	517.984	691.358	562.718	503.665	716.231	684.284	507.481	22668.7	1093.34	250.533	667.207	979.499	323.486	761.537
CONT|P02666|CASB_BOVIN	CONT|P02666|CASB_BOVIN	Beta-casein	Beta-casein		1602.26	2705.19	2193.41	2541.04	1695.51	2564.62	1626.23	2437.34	1351.13	2333.22	2628.66	3437.31	2901.29	2765.61	1134.42	4218.57	4132.93	3181.35	3652.05	3823.23	2923.4	2493.13	2870.74	3201.97	2746.61	3291.32	2367.22	4093.71	2445.97	80326.4	3320.73	1753.15	2811.07	2634.65	1825.85	2892.47
CONT|P02668|CASK_BOVIN	CONT|P02668|CASK_BOVIN	Kappa-casein	Kappa-casein		527.115	1258.9	1255.15	139.598	724.15	858.461	405.242	617.488	292.693	1440.86	1334.24	1590.04	959.001	3405.93	495.78	1006.39	589.958	1084.07	1128.96	592.192	1081.67	1224.42	760.672	282.1	892.789	1035.91	925.5	442.5	1280.68	48494.7	1546.76	878.503	1272.8	685.697	375.724	577.704
CONT|P02672|FIBA_BOVIN	CONT|P02672|FIBA_BOVIN	Fibrinogen	Fibrinogen		449.64	343.781	236.41	201.319	151.157	291.611	166.726	111.69	130.473	84.7824	318.984	362.94	527.456	578.092	163.981	303.805	431.556	330.526		203.835	217.235	356.313	384.075	198.962	246.24	235.532	117.469		597.75	278.13	314.896	306.138	289.417		340.337	304.883
CONT|P02769|ALBU_BOVIN	CONT|P02769|ALBU_BOVIN	Albumin	Albumin		9184.23	18675.2	13970.6	8662.08	9888.67	11585.8	12451.6	13751.6	6601.33	16322.1	21563.4	24707.5	21379.6	23798.5	7847.76	15893.5	20008.3	20728.9	11732.9	18092.9	16569.5	18747.4	18294.7	19028.1	18930.7	14994.8	18347.3	22747.1	18639.5	14597.9	15267.1	10419.1	20076.3	15262	12889.1	14638.5
CONT|P08729|K2C7_HUMAN	P08729;CONT|P08729|K2C7_HUMAN	"Keratin,"	"Keratin,"																						1399.2															
CONT|P12763|FETUA_BOVIN	CONT|P12763|FETUA_BOVIN	Alpha-2-HS-glycoprotein	Alpha-2-HS-glycoprotein		1670.32	4566.79	2047.44	1994.08	1475.38	1772.56	1578.61	1974.02	1360.09	3481.96	3090.7	4391.57	5071.84	4357.66	1330.84	4067.99	3480.77	4932.42	2780.53	3177.21	3448.66	3491.7	3698.63	3505.97	3985.35	2091.01	3582.12	4181.73	4893	3040.72	3906.45	2842.42	4410.05	3728.8	2276.13	2866
CONT|P34955|A1AT_BOVIN	CONT|P34955|A1AT_BOVIN	Alpha-1-antiproteinase	Alpha-1-antiproteinase		1913.19	3492.6	3187.73	2169.02	2398.3	2833.65	2758.9	3768.2	1788.06	4292.07	5415.61	5881.21	5902.06	5940.73	1885.31	4113.83	5891.85	4871.83	3969.42	4969.78	4066.81	4607.53	4455.96	4817.43	4899.05	3859.29	5196.61	5624.09	5616.69	4040.92	4479.11	2977.11	5442.98	3664.71	3429.06	3583.27
CONT|Q148H6|K1C28_BOVIN	Q7Z3Y7;CONT|Q148H6|K1C28_BOVIN;CONT|Q7Z3Y7|K1C28_HUMAN	"Keratin,"	"Keratin,"									192.548													27058.8															
CONT|Q14CN4|K2C72_HUMAN	Q7RTS7;Q14CN4;CONT|Q14CN4|K2C72_HUMAN;CONT|Q7RTS7|K2C74_HUMAN	"Keratin,"	"Keratin,"			923.6																	3338.51		24786.1	528.48														461.393
CONT|Q28194|Q28194_BOVIN	CONT|Q28194|Q28194_BOVIN	Thrombospondin-1	Thrombospondin-1		180.031							217.846																		281.885		389.718	1155.13	398.539		272.707	279.442	140.527		
CONT|Q29443|TRFE_BOVIN	P02788;CONT|Q29443|TRFE_BOVIN	Serotransferrin	Serotransferrin		3351.92	5383.66	4369.04	2723.3	3497.08	3966.87	4570.14	4024.97	2558.08	5539.63	5599.18	7838.18	6973.71	6604.52	2804.61	4299.08	5515.14	5393.77	4093.27	4801.05	4248.63	6090.62	4664.87	4727.24	4600.2	4232.03	4989.9	5587.53	5901.89	4158.38	4629.44	2647.36	5364.01	4941.61	3346.32	4194.24
CONT|Q2KJF1|A1BG_BOVIN	CONT|Q2KJF1|A1BG_BOVIN	Alpha-1B-glycoprotein	Alpha-1B-glycoprotein		501.399	505.894	627.902	248.526	175.914	595.407	702.024	464.212	118.867	618.479	980.14	580.742	1580.14	530.179	438.854	728.75	550.434	792.402	424.817	773.68	329.056	681.182	777.177	526.036	795.515	435.247	684.611	703.286	413.361		255.815	354.739	688.74	153.425	247.853	702.247
CONT|Q3MHN5|VTDB_BOVIN	CONT|Q3MHN5|VTDB_BOVIN	Vitamin	Vitamin			552.654	240.733	203.201	176.794	266.83	340.844	135.218		161.217	668.186	526.863	631.41	507.935		560.773	694.335	759.008	303.395	411.585	441.68	873.507	518.955	643.229	839.675	331.202	300.222	631.497	554.371	294.707	237.498	462.916	518.095	494.893	266.958	519.256
CONT|Q3SY84|K2C71_HUMAN	P19013;Q3SY84;Q86Y46;CONT|P19013|K2C4_HUMAN;CONT|Q3SY84|K2C71_HUMAN;CONT|Q86Y46|K2C73_HUMAN	"Keratin,"	"Keratin,"		55.0521	181.483		371.564	97.9301	128.863		89.8051	98.8413					1168.46			98.2669	164.728	235.336	132.153	11154.9	583.744	218.351			61.8531	273.681			54.3882	206.534	212.346	742.467	444.386	180.767	233.194
CONT|Q3SZ57|FETA_BOVIN	CONT|Q3SZ57|FETA_BOVIN	Alpha-fetoprotein	Alpha-fetoprotein		2208.48	2119.43	2712.87	1730.64	2233.69	3032.27	2364.77	2513.71	1110.75	3535.72	3971.4	3661.99	5316.8	3769.71	1198.76	2803.65	3373.45	3978.52	2473.99	4131.79	2272.4	3916.81	3498.23	4026.72	3948.51	2388.29	3298.02	3303.4	2452.65	1672.44	3433.92	2251.28	3649.11	3264.67	2437.02	1539.75
CONT|Q3SZR3|A1AG_BOVIN	CONT|Q3SZR3|A1AG_BOVIN	Alpha-1-acid	Alpha-1-acid		266.155	553.923	600.195	371.164	463.548	526.751	454.472	536.139	229.845	724.782	1171.68	763.076	1079.21	1109.34	227.772	562.503	702.267	697.621	552.029	919.195	251.884	581.33	689.483	1016.02	692.656	629.441	474.325	867.475	661.598	476.271	613.489	321.213	584.874	636.7	463.933	734.892
CONT|Q58D62|FETUB_BOVIN	CONT|Q58D62|FETUB_BOVIN	Fetuin-B	Fetuin-B		246.108	214.258		241.527	175.123		302.857	209.593	209.552	241.434	383.01	611.513	370.735	185.09	143.862	300.069	116.897	346.279	128.285		53.6504	364.979	243.762	21.3542		352.902	484.868	472.505	244.125	191.669	294.886	122.904	409.06	297.863	260.076	331.256
CONT|Q5XKE5|K2C79_HUMAN	Q5XKE5;CONT|Q5XKE5|K2C79_HUMAN	"Keratin,"	"Keratin,"																						4850.18															
CONT|Q7Z3Y8|K1C27_HUMAN	Q7Z3Y8;CONT|Q7Z3Y8|K1C27_HUMAN	"Keratin,"	"Keratin,"		2306.59		54.5785																		39068.9	267.146														
CONT|Q7Z3Y9|K1C26_HUMAN	Q7Z3Y9;CONT|Q7Z3Y9|K1C26_HUMAN	"Keratin,"	"Keratin,"																						8151.84								248.734							
CONT|Q7Z3Z0|K1C25_HUMAN	Q7Z3Z0;CONT|Q7Z3Z0|K1C25_HUMAN	"Keratin,"	"Keratin,"																						2675.97															
CONT|Q86Y46|K2C73_HUMAN	Q86Y46;CONT|Q86Y46|K2C73_HUMAN	"Keratin,"	"Keratin,"															2503.53							19543.5			313.18												
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"	1037.95	1485.67	1348.93	969.354	1379.88	1221.3	1070.27	1314.41	772.071	1073.77	1207.42	1021.3	1263.88	485.932	751.286		599.817	1292.63	599.07	867.84	1094.91	597.005		1059.45	1732.67	833.485	1296.14	915.422	845.774	930.725	1385.56	1249.38		1241.19		1377.18
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98					310.813				139.39		160.728						250.022			278.206						118.607										
O00116	O00116	ADAS_HUMAN	AGPS	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"	395.548	307.877	241.219	378.421	650.626	271.059	215.859	144.267	265.498	512.818			317.752		252.128	262.888	293.625	133.62	390.296	183.528	444.489	358.018	312.091	332.57	273.462	128.292	343.249	386.984	272.47	312.946	156.664	354.068	874.3		351.216	476.218
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	562.526	495.437	712.693	737.756	335.656	545.278	113.418	580.54	544.001	761.62	512.209			331.171	375.148			819.845	295.097	327.931	145.639	397.332		260.723	953.543	445.517	762.344	655.814	449.576	1044.86	626.729	639.712		533.565		656.376
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	5805.35	4941.03	6630.99	4681.92	4879.54	6362.02	5113.74	4305.04	9214.72	4687.71	4365.3	6175.01	6077.02	5396.45	2223.46		4717.43	4359.92	3709.26	5923.97	5661.85	8620.63		4175.93	3570.49	5614.23	4466.99	5556.32	5540.49	4584.85	3943.55	6567.67	1377.04	5356.6		4715.47
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	784.88	889.286	865.109	1076.35	721.776	690.263	1080.31	1057.48	461.819	859.455	742.311	747.21	485	547.609	815.853		387.749	533.829	818.521	794.197	536.649	644.139	351.928	901.204	667.901	733.332	1005.4	646.511	933.806	478.407	806.866	769.36		957.882	351.034	822.878
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	1076.57	986.078	1081.84	1199.23	617.347	935.163	1117.95	854.228	1107.92	1014.18	996.107	569.308	675.761	1128.65	706.281	963.449	870.012	942.456	1208.22	1012.26	922.303	857.839	1200.34	1005.43	1162.26	801.043	1056.61	869.853	1353.36	1072.66	1065.02	1147.27	1176.51	770.114	757.55	1118.78
