gene	GO_id	GO_term	definition	synonym	gene_product	annotation_extention	additional_terms
RHOA	GO:0021795	cerebral cortex cell migration	Transforming protein RhoA	ARH12|ARHA|RHO12	protein	NA	NA
RHOA	GO:0021861	forebrain radial glial cell differentiation	Transforming protein RhoA	ARH12|ARHA|RHO12	protein	NA	NA
RHOA	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	Transforming protein RhoA	ARH12|ARHA|RHO12	protein	brain microvascular endothelial cell	microvascular endothelial cell|epithelial cell|brain microvascular endothelial cell|disconnected anatomical group|anatomical conduit|blood vessel endothelium|tissue|circulatory system|neural cell|anatomical cluster|barrier cell|brain|lining cell|squamous epithelial cell|blood vessel endothelial cell|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|vasculature|cell|protein-containing material entity|vessel|anatomical entity|unilaminar epithelium|material anatomical entity|endothelium|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|cardiovascular system endothelium|endothelial cell|microvascular endothelium|endothelial cell of vascular tree|meso-epithelium|meso-epithelial cell|multicellular anatomical structure|biological entity|organ system subdivision|microcirculatory vessel|vascular system|epithelium|mesoderm-derived structure|ectoderm-derived structure|central nervous system|blood microvessel|nervous system|simple squamous epithelium
RHOA	GO:0071345	cellular response to cytokine stimulus	Transforming protein RhoA	ARH12|ARHA|RHO12	protein	brain microvascular endothelial cell	microvascular endothelial cell|epithelial cell|brain microvascular endothelial cell|disconnected anatomical group|anatomical conduit|blood vessel endothelium|tissue|circulatory system|neural cell|anatomical cluster|barrier cell|brain|lining cell|squamous epithelial cell|blood vessel endothelial cell|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|vasculature|cell|protein-containing material entity|vessel|anatomical entity|unilaminar epithelium|material anatomical entity|endothelium|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|cardiovascular system endothelium|endothelial cell|microvascular endothelium|endothelial cell of vascular tree|meso-epithelium|meso-epithelial cell|multicellular anatomical structure|biological entity|organ system subdivision|microcirculatory vessel|vascular system|epithelium|mesoderm-derived structure|ectoderm-derived structure|central nervous system|blood microvessel|nervous system|simple squamous epithelium
RHOA	GO:1904996	positive regulation of leukocyte adhesion to vascular endothelial cell	Transforming protein RhoA	ARH12|ARHA|RHO12	protein	brain microvascular endothelial cell|cellular response to cytokine stimulus	microvascular endothelial cell|epithelial cell|brain microvascular endothelial cell|disconnected anatomical group|anatomical conduit|blood vessel endothelium|tissue|circulatory system|neural cell|anatomical cluster|barrier cell|brain|lining cell|squamous epithelial cell|blood vessel endothelial cell|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|vasculature|cell|protein-containing material entity|vessel|anatomical entity|unilaminar epithelium|material anatomical entity|endothelium|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|cardiovascular system endothelium|endothelial cell|microvascular endothelium|endothelial cell of vascular tree|meso-epithelium|meso-epithelial cell|multicellular anatomical structure|biological entity|organ system subdivision|microcirculatory vessel|vascular system|epithelium|mesoderm-derived structure|ectoderm-derived structure|central nervous system|blood microvessel|nervous system|simple squamous epithelium|response to cytokine|biological_process|response to organic substance|cellular response to organic substance|cellular response to stimulus|response to chemical|cellular response to cytokine stimulus|cellular process|cellular response to chemical stimulus|response to stimulus
ABCA2	GO:0060049	regulation of protein glycosylation	ATP-binding cassette sub-family A member 2	ABC2|KIAA1062	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
ABCA2	GO:0150104	transport across blood-brain barrier	ATP-binding cassette sub-family A member 2	ABC2|KIAA1062	protein	NA	NA
ABCA2	GO:0150104	transport across blood-brain barrier	ATP-binding cassette sub-family A member 2	ABC2|KIAA1062	protein	NA	NA
ABCA2	GO:0005886	plasma membrane	ATP-binding cassette sub-family A member 2	ABC2|KIAA1062	protein	brain microvascular endothelial cell|endothelial cell of umbilical vein	microvascular endothelial cell|epithelial cell|brain microvascular endothelial cell|disconnected anatomical group|anatomical conduit|blood vessel endothelium|tissue|circulatory system|neural cell|anatomical cluster|barrier cell|brain|lining cell|squamous epithelial cell|blood vessel endothelial cell|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|vasculature|cell|protein-containing material entity|vessel|anatomical entity|unilaminar epithelium|material anatomical entity|endothelium|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|cardiovascular system endothelium|endothelial cell|microvascular endothelium|endothelial cell of vascular tree|meso-epithelium|meso-epithelial cell|multicellular anatomical structure|biological entity|organ system subdivision|microcirculatory vessel|vascular system|epithelium|mesoderm-derived structure|ectoderm-derived structure|central nervous system|blood microvessel|nervous system|simple squamous epithelium|epithelial cell|cell|protein-containing material entity|disconnected anatomical group|anatomical conduit|vessel|anatomical entity|unilaminar epithelium|material anatomical entity|blood vessel endothelium|tissue|endothelium|circulatory system|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|venous blood vessel|anatomical entity|anatomical cluster|cardiovascular system endothelium|endothelial cell of umbilical vein|endothelial cell|barrier cell|endothelial cell of vascular tree|meso-epithelium|lining cell|squamous epithelial cell|meso-epithelial cell|multicellular anatomical structure|blood vessel endothelial cell|biological entity|vascular system|umbilical vein|epithelium|mesoderm-derived structure|venous system|anatomical structure|multicellular organism|anatomical system|simple squamous epithelium|material anatomical entity|vasculature|vein|vein endothelial cell|umbilical blood vessel
BACE1	GO:0034205	amyloid-beta formation	Beta-secretase 1	BACE|KIAA1149	protein	future brain|future brain	embryonic tissue|multicellular anatomical structure|biological entity|developing anatomical structure|presumptive structure|germ layer / neural crest|ectoderm-derived structure|embryonic structure|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|tissue|connected anatomical structure|anatomical entity|future brain|neurectoderm|material anatomical entity|germ layer|embryo|embryonic tissue|multicellular anatomical structure|biological entity|developing anatomical structure|presumptive structure|germ layer / neural crest|ectoderm-derived structure|embryonic structure|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|tissue|connected anatomical structure|anatomical entity|future brain|neurectoderm|material anatomical entity|germ layer|embryo
LDB1	GO:0021702	cerebellar Purkinje cell differentiation	LIM domain-binding protein 1	CLIM2	protein	NA	NA
SETD2	GO:0030900	forebrain development	Histone-lysine N-methyltransferase SETD2	HIF1|HYPB|KIAA1732|KMT3A|SET2|HSPC069	protein	NA	NA
H2AX	GO:0021987	cerebral cortex development	Histone H2AX	H2AFX	protein	NA	NA
CHD8	GO:0007420	brain development	Chromodomain-helicase-DNA-binding protein 8	HELSNF1|KIAA1564	protein	NA	NA
CHD8	GO:0007420	brain development	Chromodomain-helicase-DNA-binding protein 8	HELSNF1|KIAA1564	protein	NA	NA
MAP1B	GO:0008017	microtubule binding	Microtubule-associated protein 1B	NA	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
MAP1B	GO:0005874	microtubule	Microtubule-associated protein 1B	NA	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
MLC1	GO:0044877	protein-containing complex binding	Membrane protein MLC1	KIAA0027|WKL1	protein	brain|astrocyte	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain|multicellular anatomical structure|cell|biological entity|neuron associated cell|anatomical structure|anatomical entity|material anatomical entity|multicellular organism|anatomical system|connected anatomical structure|neural cell|anatomical entity|nervous system|material anatomical entity|macroglial cell|astrocyte|glial cell
MLC1	GO:0005886	plasma membrane	Membrane protein MLC1	KIAA0027|WKL1	protein	kidney epithelial cell|neuron|leukocyte|brain white matter|neocortex	kidney cell|main body axis|body proper|epithelial cell|cell|subdivision of trunk|protein-containing material entity|anatomical entity|material anatomical entity|tissue|abdominal segment of trunk|connected anatomical structure|renal system|kidney epithelial cell|organism subdivision|kidney|anatomical entity|compound organ|abdomen|upper urinary tract|abdominal segment element|abdomen element|multicellular anatomical structure|biological entity|organ system subdivision|subdivision of organism along main body axis|excretory system|trunk|epithelium|trunk region element|organ|anatomical structure|multicellular organism|cavitated compound organ|anatomical system|material anatomical entity|lateral structure|electrically responsive cell|multicellular anatomical structure|cell|biological entity|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|anatomical system|connected anatomical structure|neural cell|nervous system|anatomical entity|material anatomical entity|electrically signaling cell|neuron|electrically active cell|nucleate cell|cell|biological entity|non-connected functional system|disconnected anatomical group|anatomical entity|anatomical structure|material anatomical entity|immune system|connected anatomical structure|hematopoietic cell|motile cell|anatomical entity|leukocyte|material anatomical entity|eukaryotic cell|multi cell part structure|multicellular anatomical structure|biological entity|organ system subdivision|central nervous system cell part cluster|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|white matter|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|brain white matter|material anatomical entity|brain|multi cell part structure|gray matter of telencephalon|root|cerebral hemisphere gray matter|regional part of nervous system|anatomical entity|gray matter of forebrain|material anatomical entity|brain gray matter|connected anatomical structure|anatomical entity|nervous system cell part layer|Opisthokonta|cerebral cortex|Archaea or Eukaryota|cerebral hemisphere|brain|Unikonta|regional part of brain|organism|multicellular anatomical structure|biological entity|organ system subdivision|central nervous system cell part cluster|central nervous system gray matter layer|forebrain|Eumetazoa|organ part|multi-tissue structure|ectoderm-derived structure|gray matter|organ|anatomical structure|multicellular organism|pallium|central nervous system|cellular organisms|anatomical system|Eukaryota|telencephalon|nervous system|Metazoa|neocortex|material anatomical entity|cellular organisms or viruses|lateral structure
AP2A2	GO:0019901	protein kinase binding	AP-2 complex subunit alpha-2	ADTAB|CLAPA2|HIP9|HYPJ|KIAA0899	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
WDR47	GO:0021801	cerebral cortex radial glia-guided migration	WD repeat-containing protein 47	KIAA0893	protein	NA	NA
WDR47	GO:0021960	anterior commissure morphogenesis	WD repeat-containing protein 47	KIAA0893	protein	NA	NA
WDR47	GO:0022038	corpus callosum development	WD repeat-containing protein 47	KIAA0893	protein	NA	NA
DNM1L	GO:0005515	protein binding	Dynamin-1-like protein	DLP1|DRP1	protein	functional part of brain|late adult stage	functional part of brain|root|regional part of nervous system|anatomical entity|material anatomical entity|connected anatomical structure|anatomical entity|Archaea or Eukaryota|Opisthokonta|Unikonta|brain|regional part of brain|organism|multicellular anatomical structure|biological entity|organ system subdivision|Eumetazoa|multi-tissue structure|ectoderm-derived structure|organ|anatomical structure|multicellular organism|central nervous system|anatomical system|cellular organisms|Eukaryota|nervous system|Metazoa|material anatomical entity|cellular organisms or viruses|life cycle stage|life cycle|late adult stage|post-juvenile adult stage|processual entity|fully formed stage|post-embryonic stage
DKK1	GO:0030900	forebrain development	Dickkopf-related protein 1	UNQ492/PRO1008	protein	NA	NA
SUN1	GO:0021817	nucleokinesis involved in cell motility in cerebral cortex radial glia guided migration	SUN domain-containing protein 1	KIAA0810|UNC84A	protein	NA	NA
UBE3A	GO:0007420	brain development	Ubiquitin-protein ligase E3A	E6AP|EPVE6AP|HPVE6A	protein	NA	NA
UBE3A	GO:1990416	cellular response to brain-derived neurotrophic factor stimulus	Ubiquitin-protein ligase E3A	E6AP|EPVE6AP|HPVE6A	protein	NA	NA
CLCN3	GO:0030672	synaptic vesicle membrane	H(+)/Cl(-) exchange transporter 3	NA	protein	glutamatergic synapse|brain	material anatomical entity|connected anatomical structure|biological entity|anatomical entity|material anatomical entity|cell junction|glutamatergic synapse|synapse|cellular anatomical entity|cellular_component|anatomical entity|anatomical structure|multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
CLCN3	GO:0030672	synaptic vesicle membrane	H(+)/Cl(-) exchange transporter 3	NA	protein	GABA-ergic synapse|brain	GABA-ergic synapse|material anatomical entity|connected anatomical structure|biological entity|anatomical entity|material anatomical entity|cell junction|synapse|cellular anatomical entity|cellular_component|anatomical entity|anatomical structure|multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
CLCN3	GO:0030672	synaptic vesicle membrane	H(+)/Cl(-) exchange transporter 3	NA	protein	glutamatergic synapse|brain	material anatomical entity|connected anatomical structure|biological entity|anatomical entity|material anatomical entity|cell junction|glutamatergic synapse|synapse|cellular anatomical entity|cellular_component|anatomical entity|anatomical structure|multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
CLCN3	GO:0030672	synaptic vesicle membrane	H(+)/Cl(-) exchange transporter 3	NA	protein	GABA-ergic synapse|brain	GABA-ergic synapse|material anatomical entity|connected anatomical structure|biological entity|anatomical entity|material anatomical entity|cell junction|synapse|cellular anatomical entity|cellular_component|anatomical entity|anatomical structure|multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
CLCN3	GO:0098978	glutamatergic synapse	H(+)/Cl(-) exchange transporter 3	NA	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
CLCN3	GO:0098978	glutamatergic synapse	H(+)/Cl(-) exchange transporter 3	NA	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
CLCN3	GO:0098982	GABA-ergic synapse	H(+)/Cl(-) exchange transporter 3	NA	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
CLCN3	GO:0098982	GABA-ergic synapse	H(+)/Cl(-) exchange transporter 3	NA	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
LGMN	GO:0004197	cysteine-type endopeptidase activity	Legumain	PRSC1	protein	response to acidic pH|kidney|response to acidic pH|brain	biological_process|response to abiotic stimulus|response to pH|response to acidic pH|response to stimulus|main body axis|body proper|subdivision of trunk|anatomical entity|material anatomical entity|abdominal segment of trunk|connected anatomical structure|renal system|organism subdivision|kidney|compound organ|anatomical entity|abdomen|upper urinary tract|abdominal segment element|abdomen element|multicellular anatomical structure|biological entity|organ system subdivision|subdivision of organism along main body axis|excretory system|trunk|trunk region element|organ|anatomical structure|multicellular organism|anatomical system|cavitated compound organ|material anatomical entity|lateral structure|biological_process|response to abiotic stimulus|response to pH|response to acidic pH|response to stimulus|multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
LGMN	GO:0004197	cysteine-type endopeptidase activity	Legumain	PRSC1	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
LGMN	GO:0004197	cysteine-type endopeptidase activity	Legumain	PRSC1	protein	response to acidic pH|brain|cellular response to amyloid-beta|cerebral cortex neuron|protein polymerization|protein phosphorylation	biological_process|response to abiotic stimulus|response to pH|response to acidic pH|response to stimulus|multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain|biological_process|response to organic substance|cellular response to amyloid-beta|response to chemical|response to amyloid-beta|cellular response to nitrogen compound|response to nitrogen compound|cellular response to oxygen-containing compound|response to oxygen-containing compound|cellular process|cellular response to organic substance|cellular response to endogenous stimulus|response to endogenous stimulus|cellular response to stimulus|cellular response to organonitrogen compound|response to organonitrogen compound|cellular response to chemical stimulus|response to stimulus|electrically responsive cell|central nervous system neuron|multicellular anatomical structure|cell|biological entity|cerebral cortex neuron|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|anatomical system|connected anatomical structure|neural cell|nervous system|anatomical entity|material anatomical entity|electrically signaling cell|neuron|electrically active cell|protein polymerization|biological_process|protein-containing complex organization|cellular component biogenesis|protein-containing complex assembly|cellular component assembly|cellular component organization|cellular component organization or biogenesis|cellular process|protein metabolic process|biological_process|protein modification process|metabolic process|organonitrogen compound metabolic process|phosphorus metabolic process|protein phosphorylation|primary metabolic process|macromolecule modification|cellular metabolic process|phosphate-containing compound metabolic process|cellular process|macromolecule metabolic process|phosphorylation|organic substance metabolic process
LGMN	GO:0004197	cysteine-type endopeptidase activity	Legumain	PRSC1	protein	kidney|spleen|liver|brain|testis	main body axis|body proper|subdivision of trunk|anatomical entity|material anatomical entity|abdominal segment of trunk|connected anatomical structure|renal system|organism subdivision|kidney|compound organ|anatomical entity|abdomen|upper urinary tract|abdominal segment element|abdomen element|multicellular anatomical structure|biological entity|organ system subdivision|subdivision of organism along main body axis|excretory system|trunk|trunk region element|organ|anatomical structure|multicellular organism|anatomical system|cavitated compound organ|material anatomical entity|lateral structure|main body axis|body proper|hematopoietic system|non-connected functional system|subdivision of trunk|disconnected anatomical group|hemopoietic organ|hemolymphoid system|viscus|anatomical entity|material anatomical entity|abdominal segment of trunk|connected anatomical structure|organism subdivision|anatomical entity|abdomen|abdominal segment element|abdomen element|multicellular anatomical structure|biological entity|subdivision of organism along main body axis|trunk|immune organ|mesoderm-derived structure|trunk region element|organ|anatomical structure|multicellular organism|spleen|anatomical system|immune system|material anatomical entity|abdominal viscera|main body axis|body proper|glandular system|non-connected functional system|subdivision of trunk|digestive system element|protein-containing material entity|exocrine system|gland|disconnected anatomical group|anatomical entity|material anatomical entity|digestive system|abdominal segment of trunk|endoderm-derived structure|connected anatomical structure|organism subdivision|anatomical entity|abdomen|abdominal segment element|abdomen element|multicellular anatomical structure|biological entity|organ system subdivision|subdivision of organism along main body axis|exocrine gland|trunk|trunk region element|organ|anatomical structure|liver|multicellular organism|anatomical system|digestive system gland|hepatobiliary system|material anatomical entity|endocrine gland|endocrine system|multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain|multicellular anatomical structure|biological entity|male organism|male reproductive organ|testis|reproductive system|reproductive organ|reproductive structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|anatomical system|connected anatomical structure|male reproductive system|gonad|anatomical entity|material anatomical entity
LGMN	GO:0006508	proteolysis	Legumain	PRSC1	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
LGMN	GO:0010447	response to acidic pH	Legumain	PRSC1	protein	brain|kidney	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain|main body axis|body proper|subdivision of trunk|anatomical entity|material anatomical entity|abdominal segment of trunk|connected anatomical structure|renal system|organism subdivision|kidney|compound organ|anatomical entity|abdomen|upper urinary tract|abdominal segment element|abdomen element|multicellular anatomical structure|biological entity|organ system subdivision|subdivision of organism along main body axis|excretory system|trunk|trunk region element|organ|anatomical structure|multicellular organism|anatomical system|cavitated compound organ|material anatomical entity|lateral structure
FYN	GO:0030900	forebrain development	Tyrosine-protein kinase Fyn	NA	protein	NA	NA
WNT5A	GO:0021891	olfactory bulb interneuron development	Protein Wnt-5a	NA	protein	NA	NA
WNT5A	GO:0048850	hypophysis morphogenesis	Protein Wnt-5a	NA	protein	NA	NA
WNT5A	GO:1904948	midbrain dopaminergic neuron differentiation	Protein Wnt-5a	NA	protein	NA	NA
WASF1	GO:1990416	cellular response to brain-derived neurotrophic factor stimulus	Actin-binding protein WASF1	KIAA0269|SCAR1|WAVE1	protein	NA	NA
HOOK3	GO:0022027	interkinetic nuclear migration	Protein Hook homolog 3	NA	protein	NA	NA
HDAC1	GO:0021766	hippocampus development	Histone deacetylase 1	RPD3L1	protein	NA	NA
PIN1	GO:0051219	phosphoprotein binding	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	NA	protein	brain|ATP	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain|ribonucleotide|purines|purine ribonucleotide|ribose phosphate|imidazopyrimidine|phosphorus molecular entity|mononucleotide|organooxygen compound|phosphoric ester|aromatic compound|adenyl nucleotide|main group molecular entity|organic aromatic compound|organic heterobicyclic compound|nucleobase-containing molecular entity|carbon group molecular entity|ribonucleoside triphosphate|aldopentose phosphate|molecular entity|organic phosphate|purine ribonucleoside triphosphate|phosphoric acid derivative|purine nucleotide|organic heterocyclic compound|carbohydrates and carbohydrate derivatives|organic molecular entity|nucleotide|pnictogen molecular entity|chalcogen molecular entity|purine nucleoside triphosphate|nucleoside 5'-phosphate|pentose phosphate|ATP|nucleoside 5'-triphoshate|carbohydrate derivative|ribonucleoside 5'-triphosphate|aldose phosphate|organic heteropolycyclic compound|heteropolycyclic compound|heterobicyclic compound|cyclic compound|nitrogen molecular entity|p-block molecular entity|organic cyclic compound|phosphate|heteroarene|polycyclic compound|bicyclic compound|purine ribonucleoside 5'-triphosphate|heterocyclic compound|nucleoside phosphate|oxygen molecular entity|heteroorganic entity|oxoacid derivative|polyatomic entity|monosaccharide derivative|adenosine phosphate|carbohydrate phosphate|pentose derivative|organic molecule|molecule|chemical entity|ester|phosphorus oxoacid derivative|phospho sugar|organonitrogen heterocyclic compound|organonitrogen compound|adenyl ribonucleotide|heteroatomic molecular entity|organochalcogen compound|ribonucleoside 5'-phosphate|organophosphorus compound|adenosine 5'-phosphate|phosphorus oxoacids and derivatives
UFM1	GO:0007420	brain development	Ubiquitin-fold modifier 1	C13orf20|BM-002	protein	NA	NA
COMT	GO:0021696	cerebellar cortex morphogenesis	Catechol O-methyltransferase	NA	protein	NA	NA
SLIT2	GO:0021834	chemorepulsion involved in embryonic olfactory bulb interneuron precursor migration	Slit homolog 2 protein	SLIL3	protein	NA	NA
SLIT2	GO:0021836	chemorepulsion involved in postnatal olfactory bulb interneuron migration	Slit homolog 2 protein	SLIL3	protein	NA	NA
DHX37	GO:0007420	brain development	Probable ATP-dependent RNA helicase DHX37	DDX37|KIAA1517	protein	NA	NA
ATRN	GO:0021549	cerebellum development	Attractin	KIAA0548|MGCA	protein	NA	NA
CREB1	GO:0021983	pituitary gland development	Cyclic AMP-responsive element-binding protein 1	NA	protein	NA	NA
VAMP2	GO:0048306	calcium-dependent protein binding	Vesicle-associated membrane protein 2	SYB2	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
