Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	LFQ.intensity.female_1	LFQ.intensity.female_3	LFQ.intensity.female_5	LFQ.intensity.female_7	LFQ.intensity.female_9	LFQ.intensity.female_11	LFQ.intensity.male_1	LFQ.intensity.male_3	LFQ.intensity.male_5	LFQ.intensity.male_7	LFQ.intensity.male_9	LFQ.intensity.male_11
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	45477.1	49047.7	47801.7	49577.9	51122.6	52313	41650.7	46074.2	45924	47102.5	45130	43689.4
A1XBS5	A1XBS5	CBAR1_HUMAN	CIBAR1	CBY1-interacting BAR domain-containing protein 1	3405.45	3369.39	3799.47	4328.04	3540.4	3417.54	4759.48	4384.07	4090.34	4092.31	4160.5	4639.33
A2A3K4	A2A3K4	PTPC1_HUMAN	PTPDC1	Protein tyrosine phosphatase domain-containing protein 1		4373.49	3528.08	3292.26	3316.53	2659.59	3845.53	4883.42	4633.3	6353.01	2557.89	3128.83
A2AJT9	A2AJT9	BCLA3_HUMAN	BCLAF3	BCLAF1 and THRAP3 family member 3	6834.61	7395.71	7754.63	8398.57	7493.6	8341.68	8053.12	10090.1	9847.42	8349.84	7937.34	10119.7
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	18007	21120.2	21428.4	16643.9	18545.7	20990	18276	22343.1	21318.7	18296.8	19779.6	19608.8
A2RTX5	A2RTX5	SYTC2_HUMAN	TARS3	"Threonine--tRNA ligase 2, cytoplasmic"	6583.56	7048.51	6530.07	7406.16	7521.38	7377.58	8804.18	10422.4	7957.23	9453.84	7861.08	10344
A2RU67	A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	3064.07	3505.28	4656.73	5343.36	5216.8	4277.79	4780.29	4114.45	4063.64	3893.12	3668.27	4191.26
A2RUC4	A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	6477.52	6116.67	5835.62	8098.23	7163.12	7575.37	8999.46	7309.08	9037.88	7030.69	7434.96	6315.97
A2RUS2	A2RUS2	DEND3_HUMAN	DENND3	DENN domain-containing protein 3	3959.61	4527.47	4961.4	4101.38	5200.34	3661.43	4457.12	3076.19	4004.77	5278.66	4260.3	3735.22
A3KMH1	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	19753	21664.7	21626.2	16353.1	18392.9	21374	19857.1	22850.9	22117.3	18457	21641.1	21322
A3KN83	A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	6864.49	6105.06	6156.6	6300.72	6944.33	8183.71	6597.54	6587.86	6479.11	6221.63	7144.19	6213.2
A4D126	A4D126	ISPD_HUMAN	CRPPA	D-ribitol-5-phosphate cytidylyltransferase	1103.48	2106.2	1835.61	1147.73	1613.92	1895.71	1265.12	2232.14	1617.84	1305.46	1850.46	929.184
A4D1B5	A4D1B5	GSAP_HUMAN	GSAP	Gamma-secretase-activating protein					15058.5			12747.6	12425.7		15949.7	14531.1
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	10569.9	11611.3	11884.5	10165	11968.3	11999.5	11731.7	14423.5	13104.6	13208.6	14507.8	12746.2
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	12980.4	14202	13442.3	13340.8	14094.6	13600.2	12870.4	11709.7	11264.4	10713.5	12228.3	10880.3
A4D1U4	A4D1U4	DEN11_HUMAN	DENND11	DENN domain-containing protein 11			283.718				1680.53	1987.65	2070.61	1485.09	2705.48	1702.25
A4D2B0	A4D2B0	MBLC1_HUMAN	MBLAC1	Metallo-beta-lactamase domain-containing protein 1	6406.63	5996.46	6199.38	8568.29	6120.78	7786.93	8510.66	5139.5	6160.3	6805.78	8051.04	6451.55
A4FU01	A4FU01	MTMRB_HUMAN	MTMR11	Myotubularin-related protein 11	4807.11	6363.44		7139.93	7827.75	6750.74	6578.34	9163.45	4871.04	7872.38	7152.61	6558.91
A4FU69	A4FU69	EFCB5_HUMAN	EFCAB5	EF-hand calcium-binding domain-containing protein 5												
A5A3E0	Q6S8J3;A5A3E0;P0CG38;P0CG39;Q9BYX7	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	74778.2	73641.1	50380.3	43554.3	46647.6	64877.7	51999.2	50014.5	63530.8	51620.1	73769.5	55741.9
A5D8T8;Q6UXF7;Q8NCF0	A5D8T8;Q6UXF7;Q8NCF0	CL18A_HUMAN;CL18B_HUMAN;CL18C_HUMAN	CLEC18A;CLEC18B;CLEC18C	C-type lectin domain family 18 member A			2291.73				3256.45	3930.78	2268.28	2811.56	3102.7	3598.71
A5D8V6	A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	25151.4	22129.9	21304.7	23821.2	25106.6	17686	26480.3	20912.5	23174.4	21370.7	23154.2	24178.8
A5PLL7	A5PLL7	PDES1_HUMAN	PEDS1	Plasmanylethanolamine desaturase	11965.3	15238	16738	11524.2	14174.4	13324	9645.71	11209.4	10509	9913.24	9049.44	8353.79
A5PLN9	A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	17761.8	17217.7	15859.6	15934.4	16014.9	16718.3	19276.4	19282.3	17157	16856.8	15716.5	15403.6
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	46342.7	53084.2	55429.6	54634.6	53375.4	57303.2	54006.8	54162	51279.9	54010.3	55357.3	54787.4
A6NCE7;Q9GZQ8	A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	56517.8	48985.9	49758	58271.3	49840.8	57622.8	74590.8	60229.8	46857.3	60213.1	67143.9	62582.9
A6ND36	A6ND36	FA83G_HUMAN	FAM83G	Protein FAM83G	5749.14	6614.02	4033.82	5220.92	4531.12	5096.49	6031.86	4138.83	5420.61	4933.26	7366.86	5536.74
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	13396.5	12618.7	15628.2	16820.6	17428.5	13834.1	22729.8	15841.3	19041.4	21174.9	17170.9	23432.6
A6NDR6	Q99687;A8K0S8;A6NDR6	ME3L1_HUMAN	MEIS3P1	Putative homeobox protein Meis3-like 1	2920.74	3384.04		5100.06	6683.89	3985.32				5825.15		5732.98
A6NDU8	A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	8778.49	3865.83	5976.82	3620.65	5828.56	2771.9	4801.15	5281.72	5484.87	5905.93	5097.55	4305.76
A6NED2	A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	4327.6	6684.27	6001.13	5799.97	5152.89	5637.39	7552.44	6114.36	5392.97	6027.71	7397.34	7148.23
A6NFQ2	A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2	6646.97	7156.74	5618.16	7434.39	6929.76	7270.38	14038.9	12341.6	11517.5	13960	12724.8	12367.4
A6NFY7	A6NFY7	SDHF1_HUMAN	SDHAF1	"Succinate dehydrogenase assembly factor 1, mitochondrial"		1295.61		1667.86				963.095	792.736	768.252	1452.75	
A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	4243.83	4652.95	11241	12885.3	11233.9	7187.9	14742.4	14397.9	14819.5	12781.5	7666.78	15547.8
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	241873	232852	256501	193558	229728	258971	165851	257169	280187	279179	208485	208367
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	14660	15090.6	14911.5	13668.9	13165	15017	13845.4	16905.9	15308.5	14432.8	16658.2	16238.1
A6NHS7	A6NHS7	MANS4_HUMAN	MANSC4	MANSC domain-containing protein 4	6062.31			700.536	22016.6	19627.2	1705.24	4711.65				
A6NHX0	A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	10711.6	14231	12478.8	12321	12104.7	14996.1	14249.7	9171.22	10083	10618.5	12415.6	11622.8
A6NI28	A6NI28	RHG42_HUMAN	ARHGAP42	Rho GTPase-activating protein 42	6782.06	7347.02	5194.39	5303.91	5862.95	7211.48	4230.28	5538.91	5890.9	6922.44	5508.23	5298.52
A6NIH7	A6NIH7;Q13432	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	65377.7	50818.4	66550.8	65685.2	50745.2	51004.7	55328	54976.9	51460.5	49963	33965.2	48748.8
A6NJ78	A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	5800.03	5846.6	6297.72	6155.5	5620.2	5059.05	7633.34	8345.19	8563.13	6818.05	8672.67	9204.07
A6NKD9	A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	8787.55	9476.39	10012.3	9885.69	10473.5	9336.44	12993.8	11324.2	13301.5	12707.1	13419.2	12890.9
A6NKT7;Q7Z3J3	A6NKT7;Q7Z3J3	RGPD3_HUMAN;RGPD4_HUMAN	RGPD3;RGPD4	RanBP2-like and GRIP domain-containing protein 3				12093.2						18552.1		
A6NM11	A6NM11	L37A2_HUMAN	LRRC37A2	Leucine-rich repeat-containing protein 37A2	10784.6	8331.05	6872.89	7291.98	12325.1	10319.3	8861.09	4061.18	1805.25	7367.79	10741.9	13454.9
A6QL63	A6QL63	BTBDB_HUMAN	BTBD11	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11	13923.6	13387.5	14774.2	15191.9	14733.2	14988.9	10116.9	9674.47	9404.94	9716.78	9237.55	7929.09
A6ZKI3	Q9BWD3;Q17RB0;A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	28235.2	30438.4	37460	42568.4	40927.1	27838.3	51875.1	38040.2	41458.6	45035.4	43798.4	48326
A7E2V4	A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	8215.35	11277.1	11135.1	12161.9	10168.8	9158.86	10045	10052.3	9141.88	10574.8	10294.4	9695.85
A7KAX9	A7KAX9	RHG32_HUMAN	ARHGAP32	Rho GTPase-activating protein 32	5921.65	5589.7	5687.29	5602.71	5600.32	4114.46	4951.45	5017.63	5174.83	3972.02	6040.57	6250.23
A7MBM2	A7MBM2	DISP2_HUMAN	DISP2	Protein dispatched homolog 2	8507.89	8849.25	11102.8	10903.9	10453.6	8923.43	3674.52	8050.5	3243.84	4218.03	3777.65	4395.53
A8CG34	A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	15635.1	15029.2	13099.2	12481.6	12342.4	13049.6	9861.47	12496.2	11704	11043.5	13036.9	11019.5
A8K2U0	A8K2U0	A2ML1_HUMAN	A2ML1	Alpha-2-macroglobulin-like protein 1	7696.29	1202.66			3192.49			5667.8	3850.39			
A8MSI8	A8MSI8	LYRM9_HUMAN	LYRM9	LYR motif-containing protein 9	4621.73	4346.87	3185.93	4090.95	2775.78	2705.38	5044.83	4349.48	5030.39	4209.09	5468.19	5269.92
A8MT69	A8MT69	CENPX_HUMAN	CENPX	Centromere protein X		7010.81						6319.19				
A8MTT3	A8MTT3	CEBOS_HUMAN	CEBPZOS	Protein CEBPZOS	9952.47	3855.9	5158.92	5553.6	5325.75	5834.57	6671.26	5537.43	5543.35	8796.27	5727.17	7049.81
A8MVW0	A8MVW0	F1712_HUMAN	FAM171A2	Protein FAM171A2	13859.4	10331.7	14288.8	13459.5	12844.6	10646.3	11762.4	9453.98	9875.12	8500.28	11549.3	10412.7
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	559569	513701	538784	567769	532373	478832	524090	436153	449644	550756	505041	572127
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	22838.8	24104.9	22259.1	19563.4	21969.2	20301.7	29517.1	27202.3	27661.3	28226.4	30166.1	29386.6
A8MZA4;H0YM25	A8MZA4;H0YM25	GG6L6_HUMAN;GG6LV_HUMAN	GOLGA6L22;GOLGA6L6	Golgin subfamily A member 6-like protein 6			735.683						1625.01		2029.55	2721.41
A9QM74	A9QM74	IMA8_HUMAN	KPNA7	Importin subunit alpha-8					4127.37			6588.14	7010.57			
A9UHW6	A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	7982.75	6654.84	6432.81	6975.83	6738.69	6446.58	7890.35	5769.9	6557.64	6068.63	8654.18	6902.45
A9Z1Z3	A9Z1Z3	FR1L4_HUMAN	FER1L4	Fer-1-like protein 4	12007.1	10414.3	9800.67	8463.54	9728.55	13339.4	9261.3	11214.2	9590.98	9184.45	11853	10914.3
B0YJ81	B0YJ81	HACD1_HUMAN	HACD1	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1	7955.34	6241.5	6091.61	4780.36	5216.99	5992.71	7525.04	7531.9	7801.5	6426.49	7720.25	9007.3
B2RTY4	B2RTY4	MYO9A_HUMAN	MYO9A	Unconventional myosin-IXa	3313.51	3126.01	3389.03	3211.94	2746.1	3086.72	2981.79	2669.38	2882.04	2605.25	3988.29	3163.98
B3KU38;P0DPB3	P0DPB3;B3KU38	IQIP1_HUMAN;SCHI1_HUMAN	IQCJ-SCHIP1;SCHIP1	IQCJ-SCHIP1 readthrough transcript protein	5904.32	3507.36	4097.22	5415.73	3525.94	2726.7	5124.81	2382	3709.42	6640.56	6864.02	6327.59
B7ZAP0	B7ZAP0	RBG10_HUMAN	RABGAP1L	"Rab GTPase-activating protein 1-like, isoform 10"		3363.55	4715.93	3849.58	4199.34		3495.09	4194.42	4703.29	3758.33	4385.81	4866.54
B7ZAQ6;P0CG08	P0CG08;B7ZAQ6	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	5690.1	8180.56	8710.23	6618.75	6444.6	7413.68	7706.26	8742.22	10187.9	8136.99	8563.13	8828.56
B7ZW38;O60812;P0DMR1	P0DMR1;O60812;B7ZW38	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3	19033.8	14392.1		3799.89	3994.35	18804.7					11661.9	
C0HLS1	C0HLS1	OSCRI_HUMAN	SCRIB	SCRIB overlapping open reading frame protein	2302.85	2418.85	1888.26	2918.88	2407.65	1709.04	3166.53	3020.69	3433.86	2137.05	4436.41	2918.44
C4AMC7;Q6VEQ5	A8K0Z3;Q6VEQ5;C4AMC7	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	9192.49	12099.4	15272.6	20571.2	16523.8	11273.5	21498.2	20386.3	13321.8	16351.4	16865.1	19992.1
C9J7I0	C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	1943.15	1344.81		1195.61	1457.96	1278.35	1387.51	1290.2	1386.79	971.91		925.882
C9JLW8	C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	21266.6	19841.2	18715.3	23038.5	22840.8	17826.7	22740.7	17255.6	21951.9	19738.4	18313.6	19371.3
CONT|A0A0A0MPA0|A0A0A0MPA0_BOVIN	CONT|A0A0A0MPA0|A0A0A0MPA0_BOVIN	SERPIN	SERPIN		3589.66		5277.12	6133.46	4252.22	2102.43	8267.23	8992.49		12273	3649.98	
CONT|A2I7N3|SPA37_BOVIN	CONT|A0A0A0MPA0|A0A0A0MPA0_BOVIN;CONT|A2I7N0|SPA34_BOVIN;CONT|A2I7N1|SPA35_BOVIN;CONT|A2I7N3|SPA37_BOVIN	Serpin	Serpin		3544.94	3623.12	3033.23	3286.12	3007.06	2895.58	4092.2	3648.36	4432.83	4915.16	3645.31	4007.86
CONT|F6R4P6|F6R4P6_BOVIN	CONT|F6R4P6|F6R4P6_BOVIN	Serpin	Serpin		20983.4	19978.3	22487	20683.9	18411.3	18243.4	18822.5	23245.1	21984.3	15407.2	15938	14471
CONT|P00735|THRB_BOVIN	CONT|P00735|THRB_BOVIN	Prothrombin	Prothrombin		23064	24427.4	34384.4	27971.7	27439.1	21563	29776.6	30864.7	38351.4	27869.9	22666	30311.8
CONT|P00760|TRY1_BOVIN	CONT|P00760|TRY1_BOVIN	Cationic	Cationic		1.72375e+06	1.50147e+06	1.935e+06	1.78956e+06	1.66037e+06	1.66943e+06	2.37131e+06	1.589e+06	2.02451e+06	2.32997e+06	1.55794e+06	1.96067e+06
CONT|P00761|TRYP_PIG	CONT|P00761|TRYP_PIG	Trypsin	Trypsin		35486.8	27597.7	36819.4	37906	38299	27588.9	54521.1	32577.9	56296.6	53653.9	30424.8	44035.9
CONT|P01017|ANGT_BOVIN	CONT|P01017|ANGT_BOVIN;CONT|Q3SZH5|Q3SZH5_BOVIN	Angiotensinogen	Angiotensinogen		11005.7	10434.4	11991.9	10275.8	9446.31	10473.4	10737.5	11291.4	11451.4	10063.7	11865	9421.89
CONT|P01030|CO4_BOVIN	CONT|P01030|CO4_BOVIN	Complement	Complement		35782.6	43851.5	49690.6	46181.8	44324.1	42022.2	40553.1	42824.8	46547.7	36500.7	44297.8	42581.8
CONT|P01044|KNG1_BOVIN	CONT|P01044|KNG1_BOVIN	Kininogen-1	Kininogen-1				487.429				339.606	396.937	358.507	500.956		318.028
CONT|P01045|KNG2_BOVIN	CONT|P01044|KNG1_BOVIN;CONT|P01045|KNG2_BOVIN	Kininogen-2	Kininogen-2		26715.1	26816.8	33404.2	34061.6	29654.1	23672.4	25925	30078	29636.8	27231.5	22563.3	28241.6
CONT|P01966|HBA_BOVIN	CONT|P01966|HBA_BOVIN	Hemoglobin	Hemoglobin		112857	99264.1	146044	119093	179333	129564	144805	149733	133317	97417.1	97747.7	118971
CONT|P02081|HBBF_BOVIN	CONT|P02081|HBBF_BOVIN	Hemoglobin	Hemoglobin		233461	229721	302899	240561	293905	231493	250161	256653	239197	202005	231306	218851
CONT|P02662|CASA1_BOVIN	CONT|P02662|CASA1_BOVIN	Alpha-S1-casein	Alpha-S1-casein		1030.79	2306.09		9571.5	1546.52	1537.39	1027.87			2296.15		
CONT|P02663|CASA2_BOVIN	CONT|P02663|CASA2_BOVIN	Alpha-S2-casein	Alpha-S2-casein		3199.15			6495.21						3490.64		
CONT|P02668|CASK_BOVIN	CONT|P02668|CASK_BOVIN	Kappa-casein	Kappa-casein					11521.5	2156.07					4966.56		
CONT|P02672|FIBA_BOVIN	CONT|P02672|FIBA_BOVIN	Fibrinogen	Fibrinogen		34529.2	80064.4	34319.7	31262	29120.2	24028.8	31498.7	68335.8	31921.2	46017.4	175929	32079.6
CONT|P02676|FIBB_BOVIN	CONT|P02676|FIBB_BOVIN	Fibrinogen	Fibrinogen		19068.2	57307	27611.2	24954.3	19541.7	17249.3	25618.3	50380	26218.3	38361.8	123586	23500.6
CONT|P02769|ALBU_BOVIN	P02768;CONT|P02769|ALBU_BOVIN	Albumin	Albumin		89998.6	74436.1	118891	87317.7	108660	82601.1	104585	103582	80149	78207.7	54652.8	73969.8
CONT|P06868|PLMN_BOVIN	CONT|P06868|PLMN_BOVIN	Plasminogen	Plasminogen		12976.6	12243.5	16404.6	13777.5	11757.7	17755	8766.82	9970.73	7505.66	6159.6	10124.5	8185.71
CONT|P12763|FETUA_BOVIN	CONT|P12763|FETUA_BOVIN	Alpha-2-HS-glycoprotein	Alpha-2-HS-glycoprotein		231656	180983	304990	163244	181109	183208	237930	214316	216442	239320	172728	241892
CONT|P15497|APOA1_BOVIN	CONT|P15497|APOA1_BOVIN	Apolipoprotein	Apolipoprotein		31954.6	27532.8	32523.8	33159.7	43190.9	30416.5	32651.9	35349.1	31471.2	26548.8	24583.2	29023.1
CONT|P17697|CLUS_BOVIN	CONT|P17697|CLUS_BOVIN	Clusterin	Clusterin		12503.8	10549.2	18013	17840.6	14924.3	9923.16	17401.7	17705.6	18725.9	15476.8	12054	16448.8
CONT|P28800|A2AP_BOVIN	CONT|P28800|A2AP_BOVIN	Alpha-2-antiplasmin	Alpha-2-antiplasmin		12157.9	14946.5	12905.4	12264.8	11022.9	8085.15	10818.5	10342.2	10682.2	10347	23356	11393.4
CONT|P34955|A1AT_BOVIN	CONT|P34955|A1AT_BOVIN	Alpha-1-antiproteinase	Alpha-1-antiproteinase		43268.2	41185.1	45594.5	38886.3	45356.8	39405.1	43630.2	45359.5	48124.3	42804.5	36204.7	41192.5
CONT|P41361|ANT3_BOVIN	CONT|P41361|ANT3_BOVIN	Antithrombin-III	Antithrombin-III		129058	142602	169219	154021	143750	129882	163417	151291	156781	137039	119706	144442
CONT|P50448|F12AI_BOVIN	CONT|P50448|F12AI_BOVIN	Factor	Factor		14726.4	14766.8	19180.6	18718.1	17225.2	12331.8	16578.4	18903.8	19659	22045.7	16020.5	17769.5
CONT|P56652|ITIH3_BOVIN	Q06033;CONT|P56652|ITIH3_BOVIN	Inter-alpha-trypsin	Inter-alpha-trypsin		51845.4	43442.3	45839.1	49911.2	46086.5	38654.9	46719.1	46426.5	46261.9	46344.1	42937.2	45709.8
CONT|P81644|APOA2_BOVIN	CONT|P81644|APOA2_BOVIN	Apolipoprotein	Apolipoprotein		89540.4	109640	146879	110489	113992	103965	115240	108010	103546	72014	101614	108477
CONT|Q03247|APOE_BOVIN	CONT|Q03247|APOE_BOVIN	Apolipoprotein	Apolipoprotein		113359	128610	172133	144392	128352	119671	149421	155909	157479	116731	116340	124870
CONT|Q28065|C4BPA_BOVIN	CONT|Q28065|C4BPA_BOVIN	C4b-binding	C4b-binding		28805.3	24834.6	25601.9	25267.2	19454.6	19815.6	20369.2	19655.6	21558.4	26161.4	20566.1	18072.1
CONT|Q28107|FA5_BOVIN	CONT|Q28107|FA5_BOVIN	Coagulation	Coagulation		44618.1	47614.2	54074.2	50416.3	49243.6	46678.2	46749.8	50507.5	48733.9	41571.7	42898.6	47013.9
CONT|Q28194|Q28194_BOVIN	CONT|Q28194|Q28194_BOVIN	Thrombospondin-1	Thrombospondin-1		4249.21	4015.46	2021.54	1674.04	3140.51	3024.16	2612.95	1689.45	3895.18	2607.95	4733.87	6281.65
