Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-194_4215.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-195_4216.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-196_4217.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-197_4218.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-198_4219.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-199_4228.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-200_4229.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-201_4230.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-202_4231.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-203_4232.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-26_4209.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-27_4210.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-28_4211.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-29_4212.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-30_4213.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-31_4222.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-32_4223.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-33_4224.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-34_4225.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-35_4226.d
CONT|P02081|HBBF_BOVIN	CONT|P02070|HBB_BOVIN;CONT|P02081|HBBF_BOVIN	Hemoglobin	Hemoglobin		2362.55	3319.52	1226.3	27000.8	5199.73	1834.21	4551.56	3576.22	1728.84	2796.17		2574.38	3135.67	3066.1	2352.39	4494.73	1557.16	1358.55	1588.71	2017.21
CONT|P02663|CASA2_BOVIN	CONT|P02663|CASA2_BOVIN	Alpha-S2-casein	Alpha-S2-casein			498.118			911.152	264.751	703.164	1076.28					179.147				323.165	328.09		621.232
CONT|P02672|FIBA_BOVIN	CONT|P02672|FIBA_BOVIN	Fibrinogen	Fibrinogen		837.959			19.1515		16.3837		644.267		1287.52			540.508	583.218	634.192		648.684	377.424	232.206	391.776
CONT|P02676|FIBB_BOVIN	P02675;CONT|P02676|FIBB_BOVIN	Fibrinogen	Fibrinogen		136.904		139.348	1033.05		725.564	624.064	299.724	122.789	435.356		366.596	870.509	714.937		543.947	167.704	737.052		221.781
CONT|P02769|ALBU_BOVIN	P02768;CONT|P02769|ALBU_BOVIN	Albumin	Albumin		11195.7	11947.9	3126.55	8264.48	10625.9	5906.15	10284.5	8368.36	6376.65	8931.01		8204.81	9750.91	6092.69	8306.69	10896.7	4320.06	4637.92	5734.84	8701.7
CONT|P12763|FETUA_BOVIN	CONT|P12763|FETUA_BOVIN	Alpha-2-HS-glycoprotein	Alpha-2-HS-glycoprotein				236.548			249.778	498.183			567.053					503.913			332.906	425.091	
CONT|P17690|APOH_BOVIN	CONT|P17690|APOH_BOVIN	Beta-2-glycoprotein	Beta-2-glycoprotein					632.487																
CONT|P34955|A1AT_BOVIN	CONT|P34955|A1AT_BOVIN	Alpha-1-antiproteinase	Alpha-1-antiproteinase		226.36		259.567	317.103				645.178				550.017		440.707			182.421		367.982	571.34
CONT|P41361|ANT3_BOVIN	CONT|P41361|ANT3_BOVIN	Antithrombin-III	Antithrombin-III					766.759																
CONT|Q29443|TRFE_BOVIN	CONT|Q29443|TRFE_BOVIN	Serotransferrin	Serotransferrin			823.349		6058.59	381.887		283.729	137.278					426.828	86.6938	101.866	241.18				
CONT|Q3SX14|GELS_BOVIN	CONT|Q3SX14|GELS_BOVIN	Gelsolin	Gelsolin				659.376	340.039					812.194			783.299					409.969		764.416	513.674
CONT|Q3SZ57|FETA_BOVIN	CONT|Q3SZ57|FETA_BOVIN	Alpha-fetoprotein	Alpha-fetoprotein		4037.9	3963.63	1712.64	103624	5637.37	3182.96	4274.39	4689.47	3089.59	5213.52		5410.07	6920.74	5441.81	4810.78	6684.85	2621.05	2706.18	3551.52	4653.62
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	849.019		1232.7	1189.89		1303.61	1799.19		911.227	1139.12		1661.89			1934.89	1071.6	1379.83		1867.02	1385.51
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	526.355			109.791		273.569			396.31				1012.52	168.835			429.052	289.477	384.066	
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1			425.932	808.1					881.711								489.095			740.715
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	681.975	1139.29	1576.87	817.383		1360.16	695.44	568.383	2087.88	303.736		1200.96	545.354	517.153	1116.97	2099.19	802.395	1426.22	2151.25	1604.38
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	1372.58		627.211	1386.04	529.791	471.963	1282.16	809.89	960.763	693.481		1222.73	1219.43	1181.81	811.683	798.162	994.878	1473.44	760.409	994.561
O00161	O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23			334.077	146.385					253.979				601.323	270.612			177.385	74.4053	203.198	
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein			193.852	468.251		435.607						504.189			447.613	524.102	532.402		399.269	741.247
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1			590.423						122.585						9105.57		483.404		737.459	
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3			245.062	188.635												1099.46	253.258	118.509	252.76	
O00203	O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1			563.704	475.884		434.661	1201.2		534.468			666.58					569.19	223.559	326.792	394.392
O00217	O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial			50.8587					307.189	288.025	482.532				300.729			123.721	570.943		
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	385.144		891.73	1195.52		1111.27		619.467	1184.66			791.531	706.775	563.845	1209.33	516.404	682.912	485.219	1259.01	615.728
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	583.933		1338.66	1173.71		1409.27	642.658		1036.89	449.142		878.31	1033.69	847.439	1572.43	204.622	817.274	803.646	1442.19	1446.55
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9			399.307	581.004		341.872			514.056			275.255			607.192	389.5	121.26		411.34	
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	648.15		652.598	985.779				483.652		401.071		453.596	982.657	543.486			657.68	608.262	1042.36	
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	890.015				944.874	214.161							231.696				211.847	256.976	480.138	507.777
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	687.538	823.925	5323.5	4051.52	1008.01	4488.7	1018.27	965.71	5041.95	1248.62		3734.08	1349.05	835.871	4278.98	3088.89	3033.18	600.242	4599.46	4494.61
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	565.98		513.895	699.904	400.722	728.335		307.511	1018.57	157.364		567.93			442.364		712.895	398.811	666.006	623.273
O00330	O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	294.565			867.121					398.419				273.116	186.122			89.8751	308.81		
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5			434.986	249.735		307.885			306.559			1010.52					357.691		553.774	891.774
O00422	O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	870.065		463.955	427.491		240.249	612.862	239.633	526.674	747.665				872.524			550.005	242.012	907.273	880.47
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	726.579		1371.39	1007.34		1393.41	1345.38	1131.43	2472.22	1027.04		1733.41	991.268	1184.96	2517.74	1224.34	1604.3	408.001	1029.2	2366.25
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	2585.05		909.663	1057.13		241.944			831.37			910.44		112.737			850.614		937.521	751.043
O00461	O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4																	232.611			
O00469	O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2		672.503	789.479	105.867	681.021	611.157	761.802		429.606	571.545		368.607	558.183	838.918	522.659		362.845	658.549	350.663	681.646
O00483	O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	1675.2		972.913	1011.56		781.501	1880.74	401.333	638.338	1090.14		803.994	1611.11	1019.01	1137.42		2077.56	2457.88	997.569	1193.85
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	690.838		1579.33	994.126		1307.4		1078.37	559.52	440.553		910.92	1189	473.338	738.561	397.861	978.986	636.181	1058.02	1437.16
O00499	O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1									117.552								112.449			
O00505	O00629;O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4			188.059	8788.59		494.034						182.173		260.937					526.859	506.704
O00534	O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A			466.926	167.474		1009.62			1215.24			164.728	402.57	222.52	751.424	420.498	467.523	235.804	619.383	1048.62
O00541	O00541	PESC_HUMAN	PES1	Pescadillo homolog	908.824		241.984	323.698		252.01				442.854		95.055		299.663		306.456	185.815		250.823	752.55
O00560	O00560	SDCB1_HUMAN	SDCBP	Syntenin-1			563.091	262.436		606.935	588.32	583.688	443.326				618.785	887.654	419.465		492.874	113.602	303.356	528.677
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	936.311		497.845	538.927		744.281	946.265	683.45	612.42	1148.04			689.192	851.694	377.298		817.228	649.479	381.984	385.934
O00571	Q9NQI0;O15523;O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	720.291		754.405	669		668.933		527.341	639.177			643.011			679.702	326.872	613.873		691.354	991.675
O00754	O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase									116.873					379.463				151.441		
O00764	O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase		14292.1	5828.58	11491.5		8130.4	13289.5		8991.9					12171	9095.11		6173.93		8960.32	9221.53
O00767	O00767	SCD_HUMAN	SCD	Stearoyl-CoA desaturase														74.573			170.912			
O14548	O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial															267.13		205.343			
O14558	O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6			94.4026	994.438					666.843											
O14579	O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon			165.781	204.438		347.526			419.999			531.467							148.917	
O14602;P47813	P47813;O14602	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal			181.417	237.187		405.95		263.278	543.632						81.5518		254.813		675.822	564.342
O14617	O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1			206.744														190.422			
O14732	O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	578.363	1043.94	169.7	371.931	935.896			414.354	271.134	150.159			722.481	503.22	880.168	318.493	440.652	334.202	210.476	967.901
O14735	O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase			165.372	194.415						203.465			392.829				390.117	241.456		
O14737	O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5			610.468	443.571		750.025			648.911	273.649		304.81	499.095			489.783	448.025		431.85	502.024
O14744	O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5			807.612	511.007					365.815			258.506		534.365	282.81		401.039		907.441	573.505
O14773	O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	324.526		373.829	368.37	684.205	719.262		468.39	928.738	508.63			792.175	1186.6	467.07	488.167	799.564	2059.23	561.818	296.714
O14776	O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	533.682		324.961	179.883		58.3668		782.866	188.016	375.963				700.435			315.185		459.526	
O14818	O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	653.491	683.479	1560.47	2175.25	564.257	1463.82	968.938	1183.86	1922.84	1479.82		2224.69	1395.59	962.865	1303.86	2261.41	1176.84	420.678	1249.75	1630.94
O14828	O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	866.593	860.328		428.399		1105.64		396.625		965.73		564.772		544.438	525.596		278.72	425.858		907.021
O14879	O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	433.896		1127.28	514.718		1930.31			1465.23											
O14880	O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3										396.721							167.781	441.086		
O14907	O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3			1067.11	763.969		515.797			346.725			877.473			482.697	521.407	329.202	194.708	799.086	650.675
O14949	O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	1621.16		501.565	788.585		464.063		995.975	496.696	663.699			528.416	901.953			859.787	1401.55	598.745	748.972
O14950;P19105	P19105;O14950	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	2963.71		4548.07	3894.91	553.487	3017.96	1788.48	2071.11	3201.68	1508.38		2947.38	714.444	193.099	4481.02	3486.01	4324.26	676.903	3997.7	2441.74
O14964	O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate			577.733	511.719		328.448			129.184			499.027		175.462	442.518	710.818	762.079		619.845	930.485
O14974	O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A		610.669	337.999	518.03	658.787	258.969	111.581	455.179	445.95	550.059		302.376	588.134	370.218	455.322	916.086	404.15	167.181	513.481	855.535
O14979	O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	1433.78		1446.05	1210.35		1529.87	898.81	2004.71	1250.46	1873.47		725.468	1532.52	1298.05	1210.4		1483.54	366.262	1171.87	1442.44
O14980	O14980	XPO1_HUMAN	XPO1	Exportin-1			653.366	644.777		1370.43			1023.97			994.188			765.272		592.989		828.464	
O15042	O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1646.93		2159.17	2331.38		1451.17	3383.58	3613.67	3070.61	2473.74		3727.36		2517.85	3631.78	1806.86	929.474	690.12	1876.04	3121.5
O15061	O15061	SYNEM_HUMAN	SYNM	Synemin	741.166	1009.15	617.282	359.267		1189.4	1055.33	1234.27	337.765				1400.55	798.27			345.337		759.808	
O15067	O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	5946.56	7959.88	3605	2717.26	7177.74	3947.32	7748.51	2572.07	4770.5	6128.09		4374.08	5727.61	4868.67	6141.19	6391.43	3349.74	3716.17	3412.39	5784.74
O15143	O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B			1226.74	1579.2		1108.38	133.847	309.654	787.724	586.42		1222.43	829.369	812.287	810.326	779.677	1010.98	511.528	968.023	827.899
O15144	O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	751.307	1816.99	2551.71	2256.69		2083.99	1399.06	1002.9	3147.07	893.696		1645.27	955.406	1934.1	2057.65	1645.04	2176.85	1088.53	2155.87	2262.86
O15145	O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3		287.189	1734.05	1494.71	335.579	1507.45			1539.62	1228.81		1306.96	732.265	1209.5	913.81	716.209	1475.33	661.776	1089.53	1532.91
O15160	O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1			448.331	398.967		471.369		680.1	399.105	243.454							423.747	243.739	348.825	
O15173	O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	923.467		475.742	1692.27		690.275	405.699	514.125	331.675	693.676			195.234	616.824	556.176	1089.66	812.073	697.571	306.076	642.245
O15212	O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6			694.931			831.089			621.674						358.21		211.989		466.916	460.46
O15231	O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185																	361.488			
O15260	O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	1113.25		1319.35	989.88	764.838	976.192	1918.7	792.606	1478.86	966.25		828.049	705.349	2997.4	516.972		1727.34	2512.1	1412.23	1098.74
O15269	O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1								316.075		731.149				569.537	294.587		153.892			
O15305	O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2			338.097	506.176		583.682			213.72			262.643	139.8		391.757		451.131		206.175	
O15321	O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	402.742											262.184	450.743		522.303			331.582		190.297
O15347	O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3			374.877			1005.79			504.944			611.13			613.598		212.674		476.948	
O15355	O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G			403.966	1122.59		402.85			592.909			496.382			351.868		155.602		661.198	613.482
O15371	O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D			397.25	218.854		414.438			517.52	586.891		472.902			363.022		397.713		149.337	453.952
O15372	O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H			497.865	276.28		576.258			303.124			86.9274			651.656		365.944		739.62	
O15400	O15400	STX7_HUMAN	STX7	Syntaxin-7	163.167		311.12	263.853		375.261			310.956	370.841				503.414	348.593			453.689	341.45	
O15460	O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	553.186						267.19	1677.28					880.633	1409.29	529.749		1288.25	1721.92	522.924	722.457
O15498	O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	885.724	1132.32	613.546	975.243	922.498	1061	1085.86	1345.73	659.787	979.032		326.126	2361.49	658.45	1175.84	945.62	594.271	422.767	835.144	884.675
O15511	O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	695.584		2712.81	2638.85		1406.96	539.567	401.2	2259.13	550.203		2744.95	430.934	1727.08	1731.06	1428.34	1847.98	645.532	2714.96	1843.27
O15533	O15533	TPSN_HUMAN	TAPBP	Tapasin	597.476		479.874	588.273		909.304		1050.92	808.703			353.136	391.797	720.034			717.105	786.044	932.986	446.816
O43143	O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	706.658		759.268	703.907		821.685	871.756	1170.29	594.125	686.79		1057.08	1057.28	1118.38	1164.19		665.021	324.219	654.915	872.855
O43169	O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B				499.616																
