Category,Term,ID,adj_pval,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,Genes
GO:MF,lipid binding,GO:0008289,0.008138721,2.089443846,841,418,37,20212,"CALB1,SVIL,PLD2,CAPG,CPNE1,ACOX2,CPNE8,TIAM1,ANXA6,RLBP1,PREX1,ANXA5,PDZD8,MYO1B,ITPR1,PSD3,AMPH,FABP7,MYO1E,GAS6,SNF8,BIN1,PARD3,ACOX3,OPHN1,SNX15,NUMA1,FER,ANXA2,ANXA1,5MP1,PXK,TRAF2,ASAP1,ITPR3,CAV1,PLD1"
GO:MF,enzyme regulator activity,GO:0030234,0.009166819,2.037781339,1296,418,50,20212,"CD109,EGFR,TIAM1,RIN1,SFRP2,CCNY,ASAP2,ACSL1,GBP2,TIMP3,IRS2,PREX1,ANXA5,WDR81,DOCK4,PSD3,ARRB1,SIPA1,SMAP1,SOCS6,GAS6,BMI1,BIN1,PLS1,RGL2,WDR91,RGS10,GPSM1,OTUB1,NPRL2,OPHN1,DDX3X,TAOK3,RCC2,DOCK6,ANXA2,ANXA1,RGS20,AGAP3,FAF1,SESN2,TBCD,ERCC5,ASAP1,WDR48,CAV1,FGD1,DMWD,CCND3,NEK9"
GO:MF,heterocyclic compound binding,GO:1901363,0.01088396,1.963213051,2325,418,77,20212,"MMAB,NQO2,RUNX1,GMDS,TNIK,NTPCR,EGFR,MET,MAST4,DCLK1,ACOX2,EHD3,ANXA6,GBP1,ACSL1,GBP2,PAK3,MTO1,MAPK3,EHD1,NUBPL,SETX,MYO1B,MTRR,EHD2,MYO1C,NT5C,UGDH,DGKK,RHOJ,EPHB4,BAG5,TRPM4,MYO1E,DHRS3,FGFR1,EPHB2,DHX29,JAK1,MOCS3,CBR3,ACSS3,PLOD3,DDX56,DDX17,JAK2,SDSL,ACOX3,TGM2,CHD1L,STK38,SCLY,MYO1D,TKFC,DDX3X,GALK1,RIOK1,KIF7,TAOK3,PNPO,FER,COASY,DDX31,GET3,CDK5,AGAP3,PXK,NOLC1,XRCC6,RALB,UBA1,CHD1,RIOK2,RAD50,NEK9,OARD1,HACL1"
GO:MF,binding,GO:0005488,0.01177027,1.929213577,18370,418,402,20212,"IL33,SNED1,LPXN,CALB1,POSTN,RTN1,EFHD2,GDPD2,SVIL,MMAB,HEPH,NQO2,LAMB2,GFAP,HHIP,LTBP2,MGP,KANK2,PLD2,NFIX,PML,RUNX1,STX1B,GPR39,CD109,CYGB,GMDS,HSPB6,TNIK,FHL1,NTPCR,EGFR,LTBP3,LRRN1,CAPG,ASTN2,SYNE3,PSRC1,PTPRJ,MET,NEIL2,MAST4,HVCN1,FHOD1,CPNE1,DCLK1,HMGA1,CD9,VWA1,ACOX2,CPNE8,TIAM1,NCAM1,DMD,CSPG4,RIN1,TMTC1,PTX3,EHD3,TRIP6,ANXA6,NFIB,ENPP4,GBP1,MVP,GPM6A,SFRP2,RDH10,RLBP1,JUNB,PXDN,FMNL3,CD34,CCNY,ASAP2,NAMPT,PTPRA,ARX,LAMA4,ACSL1,GBP2,MPI,LPIN1,GSTO1,PAMR1,CSPG2,TIMP3,UBTD1,ZMAT3,PAK3,IRS1,MTO1,ASPH,NFKB2,MMP14,IRS2,CLGN,IFIT5,MAPK3,EHD1,PREX1,NUBPL,ANXA5,AMPD2,WDR81,DPF3,CLIP2,SDC4,HIC1,SUN2,PAX8,NHSL2,SETX,PDZD8,MYO1B,ABHD6,DOCK4,ITPR1,HEBP2,PSD3,DPH2,PCDH1,PTPRU,ETHE1,AMPH,MTRR,OGFR,ELP1,EHD2,ARRB1,MYO1C,NT5C,LOXL1,DACH1,SIPA1,EPS8,ISLR2,RHPN2,GMPPA,NFASC,KMT5B,SNTB2,SASH1,UGDH,DCPS,GFPT2,FABP7,GRIN1,DGKK,PBLD,PRR14,STOM,ENPP5,FAT4,NAA50,BICC1,CHMP6,NCEH1,PAXX,MDGA1,GYS1,SMAP1,TMCC3,SOCS6,RHOJ,EPHB4,LARP7,ROBO1,PDRG1,THOP1,NID2,BAG5,TRPM4,KANK1,RTTN,PPIH,MYO1E,DHRS3,SYNJ2,FGFR1,GAS6,SESN3,BBS2,LAMA5,TRPV2,KDM5C,RELB,NOC3L,RRP1B,SMAD5,EPHB2,PARP4,DHX29,JAK1,BMI1,MOCS3,ERF,FRMD5,BOP1,SNF8,BIN1,IFT88,ZEB1,FSD1,IPO4,LRP1,CBR3,PLS1,MYADM,PLPP2,EVA1B,ACSS3,ANO6,HDAC7,PHIP,EIF3J,ATG7,PLOD3,TLR3,NOP2,WDR59,SULF2,MED17,DDX56,NOM1,EMD,PARD3,DHRS1,DDX17,CUL4B,APEX1,BBS4,ATE1,UNKL,NINL,MTAP,RDH5,PTPRS,FKBP5,JAK2,SDSL,ICAM1,RGL2,ACOX3,GGCT,WDR91,RGS10,CMC1,GPSM1,RWDD1,PCDH9,CAV2,TGM2,CHD1L,OTUB1,CD276,KLHL4,ALDOC,NPRL2,CD44,PLPP6,EOGT,MEGF8,PLEC,BOC,XPC,CDON,EFHD1,SRSF6,TACC2,GPC1,STK38,NFIC,TXLNG,PTBP2,ARSJ,TOP3B,SCLY,MYO1D,OPHN1,DEGS1,TKFC,DDX3X,GALK1,PALS2,PARN,RIOK1,FZD6,NEO1,KIF7,TAOK3,ADPRS,FXYD6,SNX15,KDM6A,OTUD4,RCC2,COPRS,ZFP91,PNPO,IPO8,ANK1,HTRA1,NUMA1,FER,DOCK6,COASY,DDX31,GET3,ANXA2,ANXA1,LRCH2,SUOX,GSTM5,SURF6,SAMD9,CDK5,GRB10,5MP1,BROX,RGS20,CTU1,UNC5B,ARMC5,AGAP3,TRPC4,FAF1,PXK,IFT74,NPAS3,SESN2,NOLC1,SYNE2,NAGA,BRD3,HAT1,TBCD,CDC5L,TRAF2,TEAD1,TACC1,RRBP1,XRCC6,RALB,AMPD3,FOXO3,UBA1,EXOG,REEP3,ERCC5,WIPF1,ASAP1,CHD1,UBXN1,LMO7,UACA,ITPR3,CTF1,ARRB2,CTCF,SPON1,CDC26,WDR48,CKAP4,DTNA,RAI14,SRSF5,CAV1,CRTC3,CYREN,SLX9,ZC3H4,RBM28,TTC27,KHNYN,NCOR1,ELP5,NOC2L,LIFR,SDC3,FGD1,BTF3,SSH3,TLE5,UBXN7,RIOK2,GFPT1,DMWD,CCND3,RBM42,PLD1,RAD50,TWSG1,NEK9,NUDT4,ZMIZ1,DDAH2,SSRP1,MAK16,OARD1,DOHH,HACL1"
GO:MF,nucleotide binding,GO:0000166,0.014470504,1.839516354,2187,418,73,20212,"MMAB,NQO2,RUNX1,GMDS,TNIK,NTPCR,EGFR,MET,MAST4,DCLK1,ACOX2,EHD3,ANXA6,GBP1,ACSL1,GBP2,PAK3,MTO1,MAPK3,EHD1,NUBPL,SETX,MYO1B,MTRR,EHD2,MYO1C,NT5C,UGDH,DGKK,RHOJ,EPHB4,BAG5,TRPM4,MYO1E,DHRS3,FGFR1,EPHB2,DHX29,JAK1,MOCS3,CBR3,ACSS3,DDX56,DDX17,JAK2,ACOX3,TGM2,CHD1L,STK38,MYO1D,TKFC,DDX3X,GALK1,RIOK1,KIF7,TAOK3,PNPO,FER,COASY,DDX31,GET3,CDK5,AGAP3,PXK,NOLC1,XRCC6,RALB,UBA1,CHD1,RIOK2,RAD50,NEK9,HACL1"
GO:MF,nucleoside phosphate binding,GO:1901265,0.014692474,1.832905066,2188,418,73,20212,"MMAB,NQO2,RUNX1,GMDS,TNIK,NTPCR,EGFR,MET,MAST4,DCLK1,ACOX2,EHD3,ANXA6,GBP1,ACSL1,GBP2,PAK3,MTO1,MAPK3,EHD1,NUBPL,SETX,MYO1B,MTRR,EHD2,MYO1C,NT5C,UGDH,DGKK,RHOJ,EPHB4,BAG5,TRPM4,MYO1E,DHRS3,FGFR1,EPHB2,DHX29,JAK1,MOCS3,CBR3,ACSS3,DDX56,DDX17,JAK2,ACOX3,TGM2,CHD1L,STK38,MYO1D,TKFC,DDX3X,GALK1,RIOK1,KIF7,TAOK3,PNPO,FER,COASY,DDX31,GET3,CDK5,AGAP3,PXK,NOLC1,XRCC6,RALB,UBA1,CHD1,RIOK2,RAD50,NEK9,HACL1"
GO:MF,adenyl nucleotide binding,GO:0030554,0.017386759,1.75978136,1661,418,59,20212,"MMAB,RUNX1,GMDS,TNIK,NTPCR,EGFR,MET,MAST4,DCLK1,EHD3,ACSL1,PAK3,MAPK3,EHD1,NUBPL,SETX,MYO1B,MTRR,EHD2,MYO1C,UGDH,DGKK,EPHB4,BAG5,TRPM4,MYO1E,FGFR1,EPHB2,DHX29,JAK1,MOCS3,CBR3,ACSS3,DDX56,DDX17,JAK2,CHD1L,STK38,MYO1D,TKFC,DDX3X,GALK1,RIOK1,KIF7,TAOK3,FER,COASY,DDX31,GET3,CDK5,PXK,NOLC1,XRCC6,UBA1,CHD1,RIOK2,RAD50,NEK9,HACL1"
GO:MF,extracellular matrix structural constituent,GO:0005201,0.02684672,1.571108771,167,418,13,20212,"POSTN,LAMB2,LTBP2,MGP,VWA1,PXDN,LAMA4,CSPG2,NID2,LAMA5,LAMC1,THSD4,SPON1"
GO:MF,cell adhesion molecule binding,GO:0050839,0.027365831,1.562791366,561,418,27,20212,"POSTN,EFHD2,LAMB2,GFAP,EGFR,CAPG,PTPRJ,CD9,DMD,SFRP2,MMP14,EHD1,MYO1B,NFASC,LAMA5,DHX29,FRMD5,EMD,ICAM1,PLEC,STK38,DDX3X,NEO1,ANXA2,ANXA1,TRPC4,ASAP1"
GO:MF,ATP binding,GO:0005524,0.027510682,1.560498635,1500,418,54,20212,"MMAB,RUNX1,TNIK,NTPCR,EGFR,MET,MAST4,DCLK1,EHD3,ACSL1,PAK3,MAPK3,EHD1,NUBPL,SETX,MYO1B,EHD2,MYO1C,DGKK,EPHB4,TRPM4,MYO1E,FGFR1,EPHB2,DHX29,JAK1,MOCS3,ACSS3,DDX56,DDX17,JAK2,CHD1L,STK38,MYO1D,TKFC,DDX3X,GALK1,RIOK1,KIF7,TAOK3,FER,COASY,DDX31,GET3,CDK5,PXK,NOLC1,XRCC6,UBA1,CHD1,RIOK2,RAD50,NEK9,HACL1"
GO:MF,protein kinase binding,GO:0019901,0.042638303,1.370200086,706,418,31,20212,"STX1B,EGFR,PTPRJ,TIAM1,CSPG4,MVP,CCNY,IRS1,IRS2,SDC4,DOCK4,SASH1,RHOJ,BAG5,GAS6,RELB,FRMD5,HDAC7,JAK2,CAV2,STK38,PARN,RCC2,5MP1,FAF1,TRAF2,FOXO3,ARRB2,CAV1,CCND3,NEK9"
GO:MF,enzyme binding,GO:0019899,0.042842158,1.368128659,2103,418,69,20212,"GFAP,PML,STX1B,EGFR,PTPRJ,MET,HMGA1,TIAM1,DMD,CSPG4,RIN1,TRIP6,GBP1,MVP,FMNL3,CCNY,TIMP3,PAK3,IRS1,IRS2,MAPK3,EHD1,PREX1,SDC4,HIC1,DOCK4,ARRB1,MYO1C,EPS8,SASH1,STOM,PAXX,RHOJ,BAG5,GAS6,RELB,SMAD5,PARP4,JAK1,FRMD5,BIN1,IPO4,HDAC7,CUL4B,JAK2,CAV2,OTUB1,STK38,PARN,FZD6,RCC2,IPO8,ANK1,FER,ANXA2,5MP1,FAF1,TRAF2,RALB,FOXO3,ERCC5,UBXN1,ARRB2,CAV1,NCOR1,FGD1,UBXN7,CCND3,NEK9"
GO:MF,carbohydrate derivative binding,GO:0097367,0.044696332,1.349728111,2304,418,74,20212,"POSTN,MMAB,LTBP2,RUNX1,TNIK,NTPCR,EGFR,MET,MAST4,DCLK1,EHD3,ANXA6,GBP1,ACSL1,GBP2,CSPG2,PAK3,MAPK3,EHD1,NUBPL,SETX,MYO1B,MTRR,EHD2,MYO1C,GFPT2,DGKK,RHOJ,EPHB4,TRPM4,MYO1E,FGFR1,EPHB2,DHX29,JAK1,MOCS3,LRP1,ACSS3,SULF2,DDX56,DDX17,PTPRS,JAK2,TGM2,CHD1L,CD44,STK38,MYO1D,TKFC,DDX3X,GALK1,RIOK1,KIF7,TAOK3,PNPO,FER,COASY,DDX31,GET3,CDK5,AGAP3,PXK,NOLC1,XRCC6,RALB,UBA1,CHD1,RIOK2,GFPT1,RAD50,TWSG1,NEK9,OARD1,HACL1"
GO:MF,protein-macromolecule adaptor activity,GO:0030674,0.045432832,1.342630191,947,418,38,20212,"LPXN,PML,STX1B,SYNE3,HMGA1,LPIN1,IRS1,IRS2,SUN2,ARRB1,STON1,GAS6,RRP1B,HDAC7,WDR59,MED17,DDX17,APEX1,BBS4,CAV2,CHD1L,XPC,AP1S1,DDX3X,ANK1,GRB10,5MP1,NOLC1,SYNE2,TRAF2,TACC1,TADA1,CAV1,NCOR1,NOC2L,TLE5,RAD50,ZMIZ1"
GO:MF,cytoskeleton-nuclear membrane anchor activity,GO:0140444,0.049503844,1.305361076,5,418,3,20212,"SYNE3,SUN2,SYNE2"
GO:MF,kinase binding,GO:0019900,0.064618016,1.18964638,790,418,33,20212,"GFAP,STX1B,EGFR,PTPRJ,TIAM1,CSPG4,TRIP6,MVP,CCNY,IRS1,IRS2,SDC4,DOCK4,SASH1,RHOJ,BAG5,GAS6,RELB,FRMD5,HDAC7,JAK2,CAV2,STK38,PARN,RCC2,5MP1,FAF1,TRAF2,FOXO3,ARRB2,CAV1,CCND3,NEK9"
GO:MF,actin filament binding,GO:0051015,0.067212943,1.172547091,208,418,14,20212,"SVIL,EGFR,CAPG,SYNE3,FHOD1,ANXA6,FMNL3,MYO1B,MYO1C,MYO1E,BIN1,PLS1,PLEC,MYO1D"
