Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-111_4034.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-112_4035.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-113_4037.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-114_4038.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-115_4040.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-116_4041.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-117_4043.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-118_4044.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-123_4046.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-124_4047.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-125_4049.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-126_4050.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-128_4052.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-129_4053.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-130_4055.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-131_4056.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-99_3909.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-100_3911.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-101_3913.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-102_3915.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-103_3917.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-104_3919.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-198_3921.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-199_3923.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-200_3925.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-201_3927.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-202_3929.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-203_3931.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-204_3935.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-205_3937.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-206_3939.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-207_3941.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-208_3943.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-209_3945.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-26_3890.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-27_3891.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-28_3892.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-29_3894.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-30_3895.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-31_3896.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-32_3898.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-33_3899.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-34_3900.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-35_3902.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-36_3903.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-37_3905.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-16_3870.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-17_3871.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-18_3872.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-13_3866.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-14_3867.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-15_3868.d
P11766	P11766	ADHX_HUMAN	ADH5	Alcohol dehydrogenase class-3		6232.63	12521.8	6884.68	6736.75	3111.5	12034.1	6614.02	5735.97	11259.1	2316.69	6683.28	7650.55			9169.21		6472.52	5475.48		3146.45	6372.1	8929.15	6351.12	7112.46		9561.54	7858.71	9197.05	9018.86	7141.16	7657.02	1410.56				7319.41	10782.1	8149.79	7371.21	7899.04		5258.14	10107	8589.22	11524	7470.55	11023.4	8524.48	9335.96	9894.22	9209.59
P11802	P11802	CDK4_HUMAN	CDK4	Cyclin-dependent kinase 4		3662.36		9914.82	13976.3		7247.83	14493.5		9663.29	3755.58		7853.78			12307.5		5671				11355.3			4874.71	2474.93	5909.92		5664.97	5560.1				3659.85		5590.65			7325.67	8513.7	4600.17	2365.93		13390.5		3688.1	14507.6	3788.23	6894.42	4015.4	6413.65	4437.79
P11908	P11908	PRPS2_HUMAN	PRPS2	Ribose-phosphate pyrophosphokinase 2				2200.76	2145.01			1673.83				2031.69				2269.23			8286.32			1887.56		3746.25			2175.71		1443.9									5773.05							4732.77			1599.25	1792.88	1972.11	1675.39	2013.73
P11940	P11940;Q4VXU2	PABP1_HUMAN	PABPC1	Polyadenylate-binding protein 1	5468.27	6921.31	10965.2	9580.6	15912.6	5667.57	8150.77	10943.2	6840.1	9527.8	5763.67	11365.3	10565.1	9883.69	7279.2	13899.7	11598.9	7262.1	12967.6	11154.3	4969.36	9988.06	9590.5	9846.8	4617.3	3391.4	8489.14	7688.32	8228.59	9057.75	6925.34	8094.22	8471.75	3527.67	8120.87	4709.1	6672.05	8045.32	7267.61	7401.88	10377.6	8016.23	9104.93	7962.01	8587.86	9313.06	12658.2	13987.5	19928.1	14787.2	15326.5	16658.4
P12004	P12004	PCNA_HUMAN	PCNA	Proliferating cell nuclear antigen				4567.72	16097.8	3263.73	8336.25	11848.2	11075	5307.32	3005.34	11158.3	8964.27	4103.92		13832.3	2564.3	3382.34	22090	3885.8		8453.53	4576.07	3957.93	3828.96		5731.86	5274.15	4387.49	5774.34	6139.46	5726.99			4411.95	12128.9	3175.15	4216.81	7506.1	3344.98	6388.62		5141.56	4274.49	6027.83	4054.03	5351.49	7241	9648.28	9391.46	7702.79	9783.32
P12081	P12081;P49590	HARS1_HUMAN	HARS1	Histidine--tRNA ligase, cytoplasmic	5703.7	10134.2	11858.8	8991.32	10214.1	8050.59	11199.6	11615.9	10612.4	11982.3	4432.8	10038.2	10327.9	5588.66	12882.4	11642.4	10551.5	8255.08	9243	5877.68	5857.41	11290.5	8794.2	9000.6	7444.09	4119.16	11803.6	12833.7	7248.17	10926.2	6123.61	9204.68	9262.03	6183.51	9272.51	9508.46	10914.2	8660.92	10435.3	10634.2	6512.8	6630.55	8207.65	11317.9	8288.53	8128.6	10559.1	14774.9	16194.6	14634.9	13809.3	14616.8
P12107	P12107	COBA1_HUMAN	COL11A1	Collagen alpha-1(XI) chain																											1793.62					1983.11						5793.17		2575.14	2805.59	7567.09	2791.56	3275.73	721.674			266.137	433.242	332.86	369.747	330.759
P12109	P12109	CO6A1_HUMAN	COL6A1	Collagen alpha-1(VI) chain		15379.1		12920	5777.91		3960.06	5904.65		7107.14	3155.97	7536.23	7744.01			4692.19			9488.18	6742.86	7089.32	8839.61	6686.54		7811.99	3988.09	8156.27			3636.32		6578.25		3778.08				4670.79	6877.31	2450.41	6188.4	9805.26			2913.76	3182.5	7329.34	8505.85	13991.9	7815.4	8172.67	8482.89
P12110	P12110	CO6A2_HUMAN	COL6A2	Collagen alpha-2(VI) chain	4241.92	3672.45	11422.1	10350	9710.74	14985	4628.1	9005.48	5278.1	5159.37	5571.13	7427.41	2095.09			5724.89		4040.8	6746.1		5382.26	9256.52	5789.43		10231.6		8815.06			2069.78		4787.43		5039.37				10059.7	5045.36	1654.79	3391.64	2596.52	6053.51	2268.04	5579.84		5030.52	4076.17	3348.96	3319.03	3776.94	3760.59
P12111	P12111	CO6A3_HUMAN	COL6A3	Collagen alpha-3(VI) chain			7966.15	4941.14		10271.6	7893.52		11719.4		4433.17		13789.9	11807	12422.7	4281.89			9692.68		7398.5			16566.4		6126.86	5980.96			17727.4			16876.7	6551.78		3921.66	5986.27		4872.77		6657.65		13393.3				7092.83	3963.64	5215.7	2733.46	3357.96	2795.02
P12235	P12235	ADT1_HUMAN	SLC25A4	ADP/ATP translocase 1	8793.85			1885.58	4573.66		2311.33				10871.7	2129.75			2470.68	1463.89		3085.43			6418.49	2193.18	3056.15	3654.49	5462.56	8435.18		1576.92	4290.16	1236.67					6338.27	6607.47	3688.49	8546.27	4962.31		4960.64	7034.43	1157.29	4000.39	5036.88	5964.11	11352.8	11621.9	13598.3	13744	21318.7	12224.3
P12236	P12236	ADT3_HUMAN	SLC25A6	ADP/ATP translocase 3	37051.7	3542.66		17629.7	22138.6		14509.1	17860.9	1281.51	10632.6	37752.3	21155.5	16359.3			19657.4		15377.9	17224.6	18459.2		28821.7	20460.3	25286.9	29943.7	35986.9	20961.2	17629	15573.3	19056.7		17838.6	10852.4	26618.3	22953.5	43750.1	15921.3	23361.8	24281.9	20787.6	23910.3	27347.8	29262.7	17823.2	21888.8	20409.6	20912.3	1721.82	1348.93	1639.56	3388.37	1714.02
P12268	P12268	IMDH2_HUMAN	IMPDH2	Inosine-5'-monophosphate dehydrogenase 2	3365.43	3328.69	9030.34	9931.76	14820.2		12956.4	11163.6	8925.36	12929.6	2107.69	11446.8	12406.8	7676.5	7218.41	17255.5	6310.35	6757.18	12467.3	10002.6	4524.23	9981.11	7106.78	8788.86	11416.3	4943.02	9486.82	12120	13116.4	11250.4	6894.11	12580.2	4649.45	3988.07	8925.85	1672.44	6735.69	6986.62	12434.3	9841.93	5965.32	5388.81	10239.6	8658.76	7784.6	10447.4	15064	9752.41	11369.8	10766.7	8732.77	10243.8
P12270	P12270	TPR_HUMAN	TPR	Nucleoprotein TPR		3698.04		2618.86	5324.2		4088.99	5241.84		4123	6133.81	2977.34	3678.09			4451.21			4656.55	4631.2		4244.98	6364.58	2789.05	5292.19	5005.08	4668.39	3719.08	5147.41	4061.79		4334.41		4513.61	7391.06	4590.18		5026.41	2818.51	4919.04	4569.18	3745.98	3613.55	4173.71	4355.46	2300.87	5898.64	3999.92	4123.26	4245.66	3678.86	4446.79
P12277	P12277	KCRB_HUMAN	CKB	Creatine kinase B-type	4856.36	3408.38	7117.46	1923.51	3606.63	6685.83	18530	7392.31	18600.5	2786.37	4448.08	2443.47	7843.33	14832.6	7034.57	24993.2	6217.83	13383.1	5405.7	5683.24	7609.96	4481.3	7590.26	2730.01	5807.51	4219.05	2906.41	5001.54	61776.2	7405.35	28502.4	6568.17	19734.2	3492.44	12792.4	4672.15	18043.1	59297.5	2698.95	13935.9	5350.95	5437.74	4953.25	10539.2	11124.3	54508.5	42544.5	25482.6	23547.7	40015.3	34586.7	37841.9
P12429	P12429	ANXA3_HUMAN	ANXA3	Annexin A3	4130.16	3757.22		1466.52	2850.98	4614.52	3121.03	4024.7	6305.27	2648.37			2250.07	2163.34		1841.68	14229.5	4263.19	5114.66		3819.75	3681.45	4247.54		1865.74	3875.04	2467.13	2781.07	9617.95	5139.25	8121.85	4162.93			8224.13	2921.71	3302.93	5180.97	2104.91	3160.78	1214.21		3305.82	3315.55	1981.07	7454.77	2876.66	3357.05	3317.27	6748.92	5429.02	6024.79
P12694	P12694	ODBA_HUMAN	BCKDHA	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	3609.73						1842.63	2836.2		2482.47	2370.19		1787.29			2236.54							7587.86	2722.51		3185.26	4226.35		2000.89	3215.42		2394.15			8015.69	3212.97		4298.31	3000.76		3233.5	3179.68			3257.98	3328.74		3143.42	3472.29	4354.88	3932.47	4114.79
P12814	P12814	ACTN1_HUMAN	ACTN1	Alpha-actinin-1	18087	37745.4	27213.9	31637	29449.2	24810.1	46697.1	18787.1	41823.6	31996.2	17540.1	28143.5	34684.8	21927.7	26483.8	33241.1	21236.2	57852.9	25288.4	22540.1	26771.4	27541.6	31398.6	43899.2	11658.6	13630.7	51283	24374.3	24010.6	24027.4	27563.5	15141.5	14469.9	13873.1	27333.9	12713.9	18457.2	42910.9	47165.9	25739.2	37697.6	14598.7	32162.1	25822.1	39975.1	32365.6	40776.2	53354.6	53081	51969.9	47816	52519.9
P12931	P12931	SRC_HUMAN	SRC	Proto-oncogene tyrosine-protein kinase Src																1074.87			2043.98					1025.09															1617.52				1857.24		1370.79	3747.17		1212.8	1704.86	1699.29	1662.7	1464.54
P12955	P12955	PEPD_HUMAN	PEPD	Xaa-Pro dipeptidase	4101.31		2934.65	985.79	6557.34	10969.6	2505.46	2175.97		2507.64		4075.17	2755.35		4871.02	3540.14		4120.15	2569.67		5048.8	3282.5	3714.23	4049.27	6678.26		3010	7610.44	4310.87	5259.54	4326.11	2100.68		7036.29	4186.88		6101.44	7912.88	4170.3	2417.24	3236.87	5650.4	2230.7	6212.03	6616.07	4105.15	11460.9	5956.61	3341.34	4974.91	5129.47	4782.38
P12956	P12956	XRCC6_HUMAN	XRCC6	X-ray repair cross-complementing protein 6		2499.35		12623.8	18355.7	6351.66	12751.9	12918.9	1964.46	15599.8	14842.6	18083	14376.9	8485.99	13499.1	15936.6	3941.18	4334.46	14602.8	20259	9122.55	13442.5	13266.6	14901.2	13567.6	3667.66	15884.5	13987.8	19273.5	16428.7	21802.3	14902	6746.11	13414.2	14360.8	4570.05	3695.01	16435.2	11654	18415.5	14016	5194.05	15074.5	15060.8	13645.2	16922.7	15237	19486.1	22218.9	20296.9	19216.2	21367.6
P13010	P13010	XRCC5_HUMAN	XRCC5	X-ray repair cross-complementing protein 5		4094.93		16929.6	29799.6	3355.95	19190.1	23884.6	3822.35	20296.2	25719.1	24229	19463.2		8405.93	26506.6		5363.43	23617.8	24193.3	2863.37	22574.8	19129.4	20095.1	16055.2	8192.69	19665.5	18765.1	21814.5	23278.8	39821.6	20831.5	23564.8	15723.8	23990.7	6023.13	5422.34	21316.4	21952.6	27116.7	23836.4	10347.1	24374	27646	17461.6	24150	20460.8	18172.9	17570.8	15912.4	17216.4	16994.9
P13051	P13051	UNG_HUMAN	UNG	Uracil-DNA glycosylase																																																532.26	599.897	778.478	687.658	727.099
P13073	P13073	COX41_HUMAN	COX4I1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	9510.87			5524.07	6719.31		5876.02	4491.88		3861.09	8225.93	5221.92	5444.38		8596.34	7414.57		5960.3	6963.64	9501.54		6524.45	8747.22	5674.31	12039	11194	6762.37	6766.7	4136.2	4728.7	5147.8	6425.12		7753.02	7824	7776.51	4576.89	6934.54	5709.03	9569.7	6170.69	7793.73	6697.22	6118.42	4238.47	3710.95	7285.66	17376.7	15207.5	20302.4	20655.4	21316.2
P13164;Q01628;Q01629	Q01629;P13164;Q01628	IFM1_HUMAN;IFM2_HUMAN;IFM3_HUMAN	IFITM1;IFITM2;IFITM3	Interferon-induced transmembrane protein 1										1865.92																	935.59																					922.507	267.272	1033.02	611.467	1211.01
P13284	P13284	GILT_HUMAN	IFI30	Gamma-interferon-inducible lysosomal thiol reductase																																																495.699		885.505	547.767	998.577
P13473	P13473	LAMP2_HUMAN	LAMP2	Lysosome-associated membrane glycoprotein 2	2797.63		2792.36						5705.63						1202.47							2128.63			3161.89					3064.75	3015.6													2056.44			62329.7	102621	120702	128750	101190	130577
P13489	P13489	RINI_HUMAN	RNH1	Ribonuclease inhibitor	4677.45	24829.2	10791.4	18888.2	10250.8	6533.09	17581.1	19315.1	16217.8	19694.6	4636.26	16565.7	16957.1	8486.02	6587.73	17116.1	16571.9	14864	13817.9	8433.11	9067.69	14316.9	18032.3	17716.7	9035.3		18160.3	14308.1	14554.9	14817.1	7936.07	13585.2	16361.4	6327.34	4296.6	6053.05	18958.8	12208.2	17566.1	16273.2	12382.3	6156.82	13323.1	13923	15195.8	14559.3	17221.3	18783.2	19652.4	19899.6	14786.9	20227.6
P13497	Q9Y6L7;P13497	BMP1_HUMAN	BMP1	Bone morphogenetic protein 1																																																1631.07	1908.9	2201.54	2245.69	2482.66
P13500	P13500	CCL2_HUMAN	CCL2	C-C motif chemokine 2																																																289.482	222.781	254.379	172.142	313.45
P13591	P13591	NCAM1_HUMAN	NCAM1	Neural cell adhesion molecule 1	1487.49	4090.12					3199.31		1413.64	1976.94			3247.98			2145.83		2282.6			4443.44		1179.18									1841.38															7089.56	9140	7061.51	4502.22	3947.75	4515.88
P13611	P13611	CSPG2_HUMAN	VCAN	Versican core protein						3397.44																																			4348.85						5345	5333.55	5122.98	4407.83	3740.84	4693.24
P13612	P13612	ITA4_HUMAN	ITGA4	Integrin alpha-4											4661.52	1896.29																																			5335.41	1356.24	1557.54	1938.96	1885.74	2013.48
P13639	P13639	EF2_HUMAN	EEF2	Elongation factor 2	26912.7	33230.1	36192.8	92186.6	97482.3	27172	91548.6	81000.3	62390.9	98697	21706	87494.6	89774.6	41754.8	43775.3	114511	32539.3	66194	102781	35354	30415.1	94095.7	59930.3	67233.6	20783.7	19144.8	78545.9	67614	63222	66345.1	24098	53297.5	44485.5	22081.7	25142.9	17764.2	66611.3	55813.2	74307	64243	47571.6	17135.2	80114.2	60220.4	65597	67824	60580.3	80423.1	88532.4	72337	77277.4	77572.2
P13645	P13645;CONT|P13645|K1C10_HUMAN	K1C10_HUMAN	KRT10	Keratin, type I cytoskeletal 10	2.84298e+06	1.56113e+06	3.00351e+06	1.19987e+06	1.73829e+06	2.51233e+06	1.19614e+06	1.93678e+06	2.51674e+06	1.2183e+06	1.89014e+06	1.26069e+06	1.49914e+06	2.65994e+06	2.73318e+06	1.18235e+06	2.84755e+06	1.85997e+06	1.60216e+06	2.27504e+06	2.21937e+06	1.47207e+06	1.85766e+06	1.35854e+06	1.95929e+06	1.57237e+06	1.44416e+06	2.06583e+06	1.8691e+06	1.93569e+06	3.00847e+06	1.74361e+06	3.19193e+06	2.30903e+06	2.30337e+06	2.17242e+06	1.49028e+06	3.05634e+06	1.41649e+06	1.78196e+06	1.27704e+06	2.10452e+06	1.80423e+06	2.80114e+06	1.45735e+06	1.44942e+06	23049.1	44804.6	11700	37941.7	140843	24088.2
P13646	P13646;Q99456;P19012;CONT|P13646|K1C13_HUMAN;CONT|P19012|K1C15_HUMAN;CONT|Q99456|K1C12_HUMAN	K1C13_HUMAN	KRT13	Keratin, type I cytoskeletal 13	11479.9	6413.13	10391.7	3940.46	11708.2	6972.83	3722.51	4614.48	6883.99	3146.54	6000.1	4128.78	5542.08	12119.8	7528.1	3611.34	5474.11	5320.92	8476.02	7384.7	9801.48	4994.84	5788.22	4051.35	24874.5	5129.41	4981.76	6042.48	7849.78	2655.99	12118.1	7227.58	6406.82	6243.71	7052.46	7300.52	3391	8391.26	2375.83	6693.82	5060.59	9375.43	6270.32	5696.96	3548.45	5378.6		294.835		1304.58	450.485	2361.38
P13647	P13647;CONT|Q5XQN5|K2C5_BOVIN;CONT|P13647|K2C5_HUMAN	K2C5_HUMAN	KRT5	Keratin, type II cytoskeletal 5	372203	280296	556851	206151	310374	435340	221604	351170	436492	206581	282350	220616	264129	477430	539873	198232	488038	337181	312418	424306	400465	253602	327760	250633	353376	292790	247372	373269	328333	347365	546420	328569	499663	404856	465620	438135	271199	473917	266972	349447	295548	349139	329496	364986	264472	277664	6431.4	6367.04	1336.04	4009.53	23628.8	3356.54
P13667	P13667	PDIA4_HUMAN	PDIA4	Protein disulfide-isomerase A4	13816	14857.7	9282.43	21726.1	20880.3	10141.9	15441.9	20462.9	14941.2	22419.8	9801.87	22869.3	17491	6789	7119.12	20671.2	5088.5	9170.52	22496.1	17416.1	25074	22912.8	15244.1	15354.5	24812	21607.6	17000.5	15741.7	16816.4	16867.1	9904.33	14749.5	11431.5	15317.8	14724.5	8391.52	10607.5	12630.8	14099.4	15183.8	20322.3	8251.3	14527.9	16811.5	16549.6	14595.7	21080.1	38488.9	38770.3	40942.9	38938.7	41468.8
P13674	P13674	P4HA1_HUMAN	P4HA1	Prolyl 4-hydroxylase subunit alpha-1	3967.46	8018.28	8835.84	12769.5	4700.44	11572.7	4592.43	4759.49	5119.1	4684.58	9869.52	6849.43	5459.22	2545.53		4117.52	9418.52	4950.09	5768.61	7351.77	8637.09	7286.72	6413.71	9115.33	7697.8	1616.48	12226.5	4302.18	1686.21	3892.98	4027.84	6096.4	3282.38	3852.78	1515.52	3417.85	8164.75	4319.26	4103	3975.8	7776.18	9322.15	3137.38	2357.73	8372.43	1359.97	5065.58	8094	7808.08	7164.46	7460.51	7717.91
P13693	P13693;Q56UQ5	TCTP_HUMAN	TPT1	Translationally-controlled tumor protein		13121.7		7529.47	7560.02	4559.68	14366.9	18597.9	9213.44	6809.24	4777.52	8756.45	9555.98			6881.41		16576.8	12295.3			7272.19	3488.26	13804			5942.96	5765.44	9240.73	8567.45		4371.34				3459.28	9021.33		6385.91	9690.79	3767.26		9992.2	13651.5	7982.1	9472.39	7428.97	5322.09	5465.07	7150.1	5074.44	6087.61
P13716	P13716	HEM2_HUMAN	ALAD	Delta-aminolevulinic acid dehydratase	1869.44	2048.6	4209.41			1902.56	3693.52			1692.2	1258.11		708.78																1362.54	2420.28								4135.87				2216.05		2897.04			1143.48	1091.66	1350.03	728.596	574.141	797.018
P13726	P13726	TF_HUMAN	F3	Tissue factor																																																118.183		318.91	132.816	363.874
P13747	P13747	HLAE_HUMAN	HLA-E	HLA class I histocompatibility antigen, alpha chain E																																																556.477	1370.67	381.163	353.842	240.906
P13797	P13797	PLST_HUMAN	PLS3	Plastin-3	6146.9	15475.8	12672.9	12110.3	9620.84	8154.49	19229.8	6557.84	18819.4	15405.9	4679.27	12088.3	16520.2	6713.98	13651.2	7810.59	11312.7	17326.4	12253.9	4347.91	9551.46	7330.04	9350.17	16817.6	8856.53	4541.63	9753.15	11903.7	9354	13188.4	8562.38	18913.6	8993.02	6698.57	8926.29	4617.73	19698.2	6302.48	13286	14238.1	6756.43	4852.77	9668.48	16066.3	14109.3	5626.98	10518.2	14202.3	12740.5	8939.1	6594.16	9092.69
P13798	P13798	ACPH_HUMAN	APEH	Acylamino-acid-releasing enzyme	7055.37	4050.81	6568.87	3540.89	5237.61		2941.36	5524.33	6579.92	6233.69	2269.46	3451.55	3926.7	6089.97		3659.44	7025.47	4838.57	4273.91	3966.48	4923.74	3585.1	7667.66	3502.72	4631.68	5000.32	2890.04	5015.77	5492.28	4031.59	6661.52	4897.91	7975.45	7125.9	7494.9	3744.15	1874.57	13165.2	4554.63	5447.57	3431.36	7375.32	5571.88	12242.6	3545.55	6104.82	7137.74	6744.11	6088.03	5256.37	5982.77	5215.18
P13804	P13804	ETFA_HUMAN	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial	13255.4			5283.9	2874.18		4839.61	5283.27		4989.66	5669.85	3227.35	4001.2			3534.13		6504.13	2026.84	8448.81		4991.42	5667.89	4236.31	6160.9	8877.61	6495.36	5845.8	8714.83	3625.6		8597.89		8890.1	5678.72	8222.86	3703.19	7916.33	8684.75	2893.67	8610.92	6536.66	6053.9	7288.27	6711.99	5339.61	9102.07	8629.38	9924.72	9869.79	10540.2	10075.7
P13807	P13807	GYS1_HUMAN	GYS1	Glycogen [starch] synthase, muscle		6955.65		2690.39	3253.88		4106.87	1733.66	4426.73	3353.62	1643.18	1511.21	3386.81	6557.08		3017.78		3198.01	2097.14		3959.31	3254.62		2817.93			2910.19					2255.36	3663.15			2541.72	4431.68		2349.62	1953.11	1922			3250.36	1235.01	3529.9	10502.7	3435.4	5554.54	3037.08	3005.98	3027.87
P13861	P13861	KAP2_HUMAN	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit	1182.89	5329.49		5951.34			7933.08	4152.63		4997.72	4884.55	3100.45	7711.84			4871.57		12885.9	5863.52	9267.69	6282.59	6577.29	9008.34	5039.53	5493.49		6820.07	4981.8	7444.88	4929		3193.05		4327.64	4146.73		7708.81	7776.78	5923.33	5755.87	7718.61		4076.5	11873.8	8203.18	4099.79	5791.72	7607.98	9955.02	8958.84	7559.43	8278.54
