Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_control_75ng_3-2-2024_Slot2-13_13150.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_control_75ng_3-2-2024_Slot2-14_13151.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_control_75ng_3-2-2024_Slot2-15_13152.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_infected_75ng_3-2-2024_Slot2-16_13153.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_infected_75ng_3-2-2024_Slot2-17_13154.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_infected_75ng_3-2-2024_Slot2-18_13155.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_w_virus_75ng_3-2-2024_Slot2-19_13156.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_w_virus_75ng_3-3-2024_Slot2-20_13157.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_w_virus_75ng_3-3-2024_Slot2-21_13158.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_control_75ng_3-2-2024_Slot1-02_13141.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_control_75ng_3-2-2024_Slot1-03_13142.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_control_75ng_3-2-2024_Slot2-01_13140.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_infected_75ng_3-2-2024_Slot1-04_13143.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_infected_75ng_3-2-2024_Slot1-05_13144.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_infected_75ng_3-2-2024_Slot1-06_13145.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_w_virus_75ng_3-2-2024_Slot1-07_13146.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_w_virus_75ng_3-2-2024_Slot1-08_13147.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_w_virus_75ng_3-2-2024_Slot1-09_13148.d
A1A5C7	A1A5C7	S22AN_HUMAN	SLC22A23	Solute carrier family 22 member 23	6862.64	7528.41	7702	7716.54	7406.42	7549.14	10376.9	14391.1	10333.8	7046.62	7146.94		6019.67	5982.48	6831.91	5773.33	5271.77	5720.04
A1IGU5	A1IGU5	ARH37_HUMAN	ARHGEF37	Rho guanine nucleotide exchange factor 37	1850.39	2533.52	1673.58	2450.9	2964.7	1837.02		1749.39	1878.93									
A1L020	A1L020;Q86XN8;Q6ZN04;Q5U5Q3	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A	8391.07	8734.41	8603.78	9753.55	9214.08	9407.24	9436.14	13236.5	13061.6	10220.4	7580.2	11289.1	10992.7	9250.37	11390.2	9498.58	10051.7	9438.07
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	13359.8	17835.4	18003.2	12551.4	18183.4	14419.3	13554.9	13283.3	13744.7	7876.99	9090.91	11208.7	9408.7	6640.56	9367.52	12486.7	9759.33	10993.3
A1L390	A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	1861.33	1792.61	2299.85	2821.33	2385.78	2710.77				3558.33	3953.49	1222.83	4218.3	3395.7	3865.57	2453.2	4135.59	3447.82
A1L3X0	A1L3X0	ELOV7_HUMAN	ELOVL7	Elongation of very long chain fatty acids protein 7	2536.81	4245.23	3073.25		3978.77		1859.94			26438.4	23800.4		25659.5	26507.1	28370.5	20986.1	21765.7	23441.3
A1L4H1	A1L4H1	SRCRL_HUMAN	SSC5D	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D		2068.21		3186.7	2758.48	3679.71	5337.79	6709.58	7969.13									
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	48093.9	61874.7	59393.2	53919.6	59697.5	51939.4	62645.3	60987.1	57756.5	13823.4	11761.4	46905.7	15846.6	15797	17748.6	10466.9	7875.48	12926.7
A1XBS5	A1XBS5	CBAR1_HUMAN	CIBAR1	CBY1-interacting BAR domain-containing protein 1	1426.36		1427.9	1047.71		1332.26	1257.04					2508.55						
A2A3K4	A2A3K4	PTPC1_HUMAN	PTPDC1	Protein tyrosine phosphatase domain-containing protein 1	4519.02	4226.86	5625.72	4875.32	5604.31	4525.08	4818.58	7206.8		34609.9	22496	4120.62	13940.5	25968	28025.8	13116.7	15892.4	15442.9
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	17524.6	16772.7	15657.2	16691.4	16152.4	16194	13746.8	11758.5	12105.3	12127.5	12858.8	14013.1	12273.6	11723.7	12666.3	11837	11207.5	11746.5
A2RTX5	A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	6160.25	5907.15	4982.49	5978.74	5765.02	4725	5843.61		5938.64	7422.6	7524.02	5702.13	6685.85	6549.88	7885.09	6882.93	7454.23	7911.51
A2RU67	A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	544.782	1302.27	973.99	1458.86	2128.65	1103.57	1949.57	1615.22	1684.77		710.669	381.275	883.114	609.452	1185.12		588.774	1085.79
A2RUC4	A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	5869.35	3337.97	4090.32	6110.35	4940.39	5673.62	4946.44	5861.33	5227.68	3835.53	3422.75	4885.1	2952.53	2932.48	4380.72	2668.27	2538.47	2661.81
A2RUS2	A2RUS2	DEND3_HUMAN	DENND3	DENN domain-containing protein 3	8231.47	5367.82	8758.6	8592	5282.59	9689.3	9102.63	8372.48	8131.74	34268.9	33195.7	9798.22	32383.5	37862.6	34468.8	26180.9	27538.7	27338.5
A2VDJ0	A2VDJ0	T131L_HUMAN	TMEM131L	Transmembrane protein 131-like	1494.42	4458.66	502.99	1927.65	7137.59	1529.57				4461.7	2220.32	3067.11	2802.21	2471.64	2977.12	2625.79	3003.64	2278.57
A3KMH1	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	10427.1	9926.94	9468.1	10061.7	9577.91	9749.41	10346.8	8928.63	9476.64	8706.9	7685.8	9418.89	7880.54	8190.18	9015.22	8219.49	7055.57	7561.71
A3KN83	A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	5894.35	5782.95	6908.67	6360.83	7847.78	6245.17	6048.41	6591.27	7692.04	6597.57	7826.34	8276.77	6489.26	6114.08	8509.29	7819.5	7922.53	7539.77
A4D126	A4D126	ISPD_HUMAN	CRPPA	D-ribitol-5-phosphate cytidylyltransferase					1469.1		2172.15	2932.5								3113.61	2357.81	
A4D1B5	A4D1B5	GSAP_HUMAN	GSAP	Gamma-secretase-activating protein			775.099			1558.37	2464.26	4905.1	3519.01	6456.67	6843.23		6018.29	5640.85	7390.96	6010.72	5533.57	6171.25
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	5200.68	4493.38	4130.21	6845.15	4068.69	6098.2	6594.88	8462.56	8386.17	7024.89	2374.41	7162.43	4452.84	3178.83	3801.38	4878.26	5119.21	5864.03
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	11757.9	10420.7	10527.6	11636.7	9882.85	11415.7	8420.48	7930.74	7996.82	10654.9	9348.83	11462.5	8286.34	8269.67	9382.46	9576.53	8857.14	9566.91
A4D1U4	A4D1U4	DEN11_HUMAN	DENND11	DENN domain-containing protein 11	1381.58	2158.18	2672.3	1696.4	1874.64	1519.1	1358.65		1160.48			1386.54						
A4D2B0	A4D2B0	MBLC1_HUMAN	MBLAC1	Metallo-beta-lactamase domain-containing protein 1							8877.54	17555.3	16354									
A4FU01	A4FU01	MTMRB_HUMAN	MTMR11	Myotubularin-related protein 11	23992.6	23440.3	25992.9	26844.7	24788.7	28392.5	41474.8	14153	21223.9	22822.3	17628.8	16337.5		18454	21290.8	18735.9	19008.9	14789.1
A5A3E0	Q6S8J3;A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	92702.4	88633.6	102066	96930.7	79067.4	104566	89326.3	93233	95144.8	163012	176138	65782.6	179218	180628	187532	159849	155728	202798
A5D8V6	A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	4416.03	3812.11	4198.42	3854.6	4240.73	4108.21	12600.8	11402.3	11144.4	7545.08	8348.14	3767.87	7476.03	8993.3	6512.64	6082.53	7283.72	9255.16
A5PLL7	A5PLL7	PDES1_HUMAN	PEDS1	Plasmanylethanolamine desaturase	13898.6	13726.1	12581.4	12719.7	12702.2	12969.1	8329.79	6830.76	7995.97	7514.52	8607.68	8674.51	9834.57	7186.98	8906.8	7479.72	7669.72	8673.14
A5PLN9	A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	9664.85	10756.7	13427.7	12134.2	13109.7	10111.4	8800.64	11397.3	10286	12962.8	12972.8	10502.9	17267.1	15555.8	11254	15369.5	13310	14082
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	35966.9	35115.7	36447.3	36347.8	35657.3	36288	27273.9	24102	24916.8	29063	27482.2	35878.4	26064.6	26227.6	27737.2	29329.7	28414.5	29456.2
A6NC98	A6NC98	CC88B_HUMAN	CCDC88B	Coiled-coil domain-containing protein 88B			6250.33	8518.46	5135	8048.39	3616.17	6063.7	6593.13	5455.69	4784.34	5566.37	5339.57	4226.34	4608.05	4960.32	5151.66	4570.33
A6NCE7;Q9GZQ8	A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	14982.1	12373.6	11008.8	7199.69	6371.03	10118.2	19588.2	10824.4	10427.9		6133.46	11567.4	2323.89	3172.66	4868.85	3155.83	3052.51	2815.25
A6NCL7	A6NCL7	AN33B_HUMAN	ANKRD33B	Ankyrin repeat domain-containing protein 33B	3094.54		2564.67		3473.88		4582	5771.8	6060.73			3613.75						
A6ND36	A6ND36	FA83G_HUMAN	FAM83G	Protein FAM83G	2652.86	3464.84	2628.8	2179.22	3098.8	2651.23	3718.45	4636.04				3343.57						
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	25381.6	25200	23529	22940	20274.8	25566.1	17621.2	20213.3	18460.6	21707.1	23153.6	29841.4	25376.1	19961.3	23269.8	25323.3	25837.6	24087.1
A6NDU8	A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	1964.42	6219.47	3896.79	2425.19	5504.7	2531.16	2151.48	2498.22	3426.01		3191.53	2700.15				2969.81	2392.71	
A6NER0	A6NER0	TBC3F_HUMAN	TBC1D3F	TBC1 domain family member 3F	4389.04	5026.13	2146.48	3114.79	2405.78	3189.23	1440.26	1182.01	1310.8	4398.34	2208.02	3020.05		3020.01	1824.15	1595.51		1382.41
A6NFQ2	A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2	5252.47	4177.27	5089.77	4868.47	4994.82	4866.98	2880.54	3521.12		6187.81	5937.67	6395.56	7000.63	7800.19	5965.54	6654.16	4645.18	5299.16
A6NFX1	A6NFX1	MFS2B_HUMAN	MFSD2B	Major facilitator superfamily domain-containing protein 2B										1279.17	1717.8		1452.31	1604.46	1490.6	1181.94	857.524	1451.89
A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3			585.896	1217.49			5135.58	4671.32	5978.47	2509.76	1980.4		1790.75	1534.4	704.123	3914.03	2304.49	2032.35
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1		7356.19	41812.9	207997	35719.3	199138		175983	169686						25482.3		28327.6	
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	12125.7	11114.3	10927.5	12542.9	12020.5	11886	12776.8	12212.9	12520.4	15838.4	15206.6	16444.8	14141.1	15222.3	15039.7	17290.3	16346.4	17134.4
A6NHX0	A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	7345.22	6929.63	8349.07	5664.89	8613.49	8307.65	5761.5	6807.36	5105.28	5006.46	2669.99	5345.58	4816.86	4497.53		3292.85	7284.33	3773.24
A6NI28	A6NI28	RHG42_HUMAN	ARHGAP42	Rho GTPase-activating protein 42	5562.57	2987.94	3687.17	6257.94	2823.35	6079	3454.93	2435.48	3317.16			3870.45						
A6NI56	A6NI56	CC154_HUMAN	CCDC154	Coiled-coil domain-containing protein 154	70247.1	96405.9	123548	93363.3	94673.7	85924.2	107404	109300	114527		101133	86095.8	106175	104652	116767		113794	86157.9
A6NIH7	A6NIH7;Q13432	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	15015.9	12364.7	8109.82	18703.9	11536.7	16882.3	25441.7	33503.8	30655.2	14469.9	11362.2	13680.2	11598.7	12237.8	15619.5	11874.9	12102.2	9164.2
A6NJ78	A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	5717.63	6174.23	5826.81	6531.93	5717.61	5792.79	5670.24	6924.27	5728.95	6455.96	6277.21	7192.4	4921.86	6094.6	5728.45	6579.19	5656.56	7666.08
A6NKD9	A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	8491.48	8576.79	9336.71	8502.37	9470.24	9124.06	9924.09	12585.3	10045.4		2382.86	8862.41						
A6NKF1	A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	3538.43	3374.55	3741.55		6020.88	4269.42	3560.33					3580.42						
A6NKT7	A6NKT7;Q7Z3J3	RGPD3_HUMAN	RGPD3	RanBP2-like and GRIP domain-containing protein 3	17881.9	20676.6	15327.4	17051.6	16383.6	16835.6				2494.14	8478.22				2030.31		6102.81	
A6QL63	A6QL63	BTBDB_HUMAN	BTBD11	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11	6115.03	6167.23	6189.06	5615.14	5962.42	5423.02	6319.89	6201.19	6671.85	4309.99	7074.73	3759.2	5735.66	5429.15	5574.92	4773.68	4497.22	3298.67
A6QL64	A6QL64	AN36A_HUMAN	ANKRD36	Ankyrin repeat domain-containing protein 36A	2445.64		3591.43	5113.19	4339.66	4676.1	3806.28	4650.23	3973.21			4816.93						
A6ZKI3	Q9BWD3;Q17RB0;A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	38858	40493.6	42673.5	49518.9	32459.8	38937	24200.3	27140.8	23906.3	3861.26	3943.02	46483.4	2711.42	2473.13	4261.69	4302.88	3112.08	3601.09
A7E2V4	A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	8438.66	7390.04	8476.32	9034.42	9019.43	9822.04	6200.1	7153.7	4603.71	10768.4	11748.3	9314.7	10612.4	11484.8	12615.2	9037.36	9258.39	8629.33
A7KAX9	A7KAX9	RHG32_HUMAN	ARHGAP32	Rho GTPase-activating protein 32	10015.8	9866.66	8145.58	10986.1	8875.54	9391.92	7747.13		5608.25	6868.76	8247.32	8991.61	6740.3	7813.32	7554.26	6791.76	6553.42	7289.74
A7MBM2	A7MBM2	DISP2_HUMAN	DISP2	Protein dispatched homolog 2	5012.72	4105.73	5384.59	5201.31	6120.85	5826.43	4405.55	6112.04	4182.72									
A8CG34	A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	6660.87	5643.25	7852.56	5964.72	6900.98	6460.35	9841.63	6993.54	8734.05	7844.44	6656.19	8167.76	5249.59	6526.99	7700.44	6927	5872.64	8778.71
A8MRT5	C9JG80;F8W0I5;A6NJU9;A8MRT5	NPIB5_HUMAN	NPIPB5	Nuclear pore complex-interacting protein family member B5		4895.23			5887.92			10408.6	10863.2	9389.91	8992.24		7048.72	7350.57	7952.56			
A8MVW0	A8MVW0	F1712_HUMAN	FAM171A2	Protein FAM171A2	2567.53	2240.33	2093.58	2476.47	2335.56	2365.32	2003.41	3493.54	4093.51			2182						
A8MW92	A8MW92	P20L1_HUMAN	PHF20L1	PHD finger protein 20-like protein 1			2006.57				3260.83			3848.95	5272.41	4363.67	5116.34	5586.68	4746.25	5686.64	5415.36	5507.27
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	183667	196045	106957	130840	117641	172597	291700	255555	224637	411480	365694	155653	389887	309340	378327	384314	430629	387756
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	9631.01	10717.2	9819.5	9520.82	9213.24	9322.93	10739	11136.7	10111.4	9392.17	8032.51	9358.41	7425.21	7936.23	9007.84	9412.61	9098.86	7375.4
A9QM74	A9QM74	IMA8_HUMAN	KPNA7	Importin subunit alpha-8											2533.34		2260.97			4216.03	4532.19	5734.3
A9UHW6	A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	2630.86	4086.37	2449.99	2262.62	3392.74	1768.54	3912.61	6761.85	4972.26	4194.49	4445.39	2158.1	4398.9	4362.98	5401.58	4347.11	4699.31	3803.29
A9Z1Z3	A9Z1Z3	FR1L4_HUMAN	FER1L4	Fer-1-like protein 4				41211.2	22563.2							46644.8						
B0I1T2	B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig		18179.7						28093.1		61549.8	62033	26768.4	65742.9	55324.4	63650.2	95767.4	91630.6	83205.2
B0YJ81	B0YJ81	HACD1_HUMAN	HACD1	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1	7458.81	6550.55	6867.75	6869.35	9448.32	6820	6813.59			4516.34		5791.35			3568.07	3465.37	4534.46	
B2RTY4	B2RTY4	MYO9A_HUMAN	MYO9A	Unconventional myosin-IXa	3420.29	3780.26	4238.63	4018.84	3365.68	2533.66	1314.2	2530.03		27587.1	23500	2702.46	21258.8	23433.1			23577.7	
B2RUZ4	B2RUZ4	SMIM1_HUMAN	SMIM1	Small integral membrane protein 1	2787.51	2676.08	2784.86	2348.51	2574.11	2171.3		2309.23		10902.5	14565	1762.93	13344.8	15587.1	12707.4	12477.9	11341.3	11968.8
B7ZAQ6;P0CG08	P0CG08;B7ZAQ6	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	11587.5	8475.13	11442.7	9999.57	9989	11080.9	8675.81	9188.9	8576.42	7152.31	6174.46	8275.96	6035.64	5210.43	4493.97	6862.53	5993.08	4754.33
B9A064	P0CG04;A0M8Q6;P0DOY2;P0DOY3;B9A064;P0CF74	IGLL5_HUMAN	IGLL5	Immunoglobulin lambda-like polypeptide 5	7470.84	6526.58	6423.28	9317.94	9006.76	7143.95	8324.75	31507.5	35359.9	6952.02		6175.44		6609.1	4694.75		4187.41	
C4AMC7;Q6VEQ5	A8K0Z3;Q6VEQ5;C4AMC7	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	22115.3	19868.3	21626.3	22553.8	21946.4	21139.2	22979.3	21678.3	22384.2	16536.7	16431.3	26321.2	16235.5	17585.1	19376.7	15835.3	18450.7	15325.7
C9J7I0	C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	422.437		424.626		789.241	453.432	1421.82	1715.59	1733.64	1348.23	942.649		421.862	1347.58	1025.8	913.349	860.016	900.477
C9JLW8	C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	4135.51	4135.99	3692.35	4828.25	4976.78	5068.29	20278.4	29171.4	29201.7	14931.8	16049.5	3585.41	14917.9	16104.2	13816.1	12461.6	12554.3	13366.7
CONT|A0A0A0MPA0|A0A0A0MPA0_BOVIN	CONT|A0A0A0MPA0|A0A0A0MPA0_BOVIN	SERPIN	SERPIN		613839	505261	536967	665223	603117	665565	442420	652712	680835	321927	228648	499942	348060	343382	306194	286499	187704	233200
CONT|A2I7N0|SPA34_BOVIN	CONT|A2I7N0|SPA34_BOVIN;CONT|A2I7N1|SPA35_BOVIN	Serpin	Serpin		184280	165559	190320	213334	194297	202654	144362	251848	271093	84311.9	87309.1	142082	123961	102616	102413	108962	69725.3	85156.7
CONT|A2I7N1|SPA35_BOVIN	CONT|A2I7N1|SPA35_BOVIN	Serpin	Serpin		4661.12	5915.18	6777.17	8485.7	6647.12	6482.55	3217.55	6624.21	5283.98	13001	5642.01	3130.15	10829.6	7670.84	8494.28	6950.63	4930.93	5130.77
CONT|A2I7N3|SPA37_BOVIN	CONT|A2I7N3|SPA37_BOVIN	Serpin	Serpin		53116.7	47013.4	50913.5	51203.2	55444.6	56702.8	28542.3	34135.1	33545.1	21063.2	17938.3	50879.2	26554.6	21805.4	20854.9	16623.2	10428.3	14271.9
CONT|A5PJ69|A5PJ69_BOVIN	CONT|A5PJ69|A5PJ69_BOVIN	SERPINA10	SERPINA10		15184.6	14744.4	16520.3	17745.4	19522.2	17595.2	12387.4	24141	24720.1	9261.72	6198.17	12164.8	7122.77	11028.8	7820.62	5928.69	4949.07	5932.9
CONT|E1BCW0|E1BCW0_BOVIN	CONT|E1BCW0|E1BCW0_BOVIN	HGF	HGF		5835.03	5543.83	5372.65	5760.2	5544	5776.39	7213.03	17252.9	18641.5		3085.98	4734.62			3918.58			
CONT|E1BF81|CBG_BOVIN	CONT|E1BF81|CBG_BOVIN	Corticosteroid-binding	Corticosteroid-binding		14612.5	8776.12	14404.7	20975	16428.9	17638.4	14208.1	24801.3	24122.3	2818.88	1467.76	14789.1	1669.47	3705.23	2149.05			
