Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-11-2024_Slot1-195_3581.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-11-2024_Slot1-196_3582.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-11-2024_Slot1-197_3584.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-198_3585.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-199_3587.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-200_3588.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-201_3603.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-202_3604.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-203_3605.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-204_3607.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-205_3608.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-13-2024_Slot1-206_3609.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-195_3592.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-196_3593.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-197_3595.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-198_3596.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-199_3598.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-200_3599.d
A6NCW0;A8MUK1;C9J2P7;C9JJH3;C9JLJ4;C9JPN9;C9JVI0;D6R901;D6R9N7;D6RA61;D6RBQ6;D6RCP7;D6RJB6;Q0WX57;Q7RTZ2	A6NCW0;C9JPN9;Q0WX57;C9JVI0;D6RA61;C9J2P7;C9JJH3;A8MUK1;D6RBQ6;D6RCP7;D6R9N7;D6R901;D6RJB6;C9JLJ4;Q7RTZ2	U17L1_HUMAN;U17L3_HUMAN;U17L5_HUMAN;U17LA_HUMAN;U17LB_HUMAN;U17LD_HUMAN;U17LF_HUMAN;U17LH_HUMAN;U17LI_HUMAN;U17LJ_HUMAN;U17LK_HUMAN;U17LL_HUMAN;U17LM_HUMAN;U17LO_HUMAN;UL17C_HUMAN	USP17L1;USP17L10;USP17L11;USP17L12;USP17L13;USP17L15;USP17L17;USP17L18;USP17L19;USP17L20;USP17L21;USP17L22;USP17L24;USP17L3;USP17L5	Ubiquitin carboxyl-terminal hydrolase 17-like protein 3				76733.1		30309.4						27372.2						
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase							152.639					220.161						
A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5	A8MWX3;Q9NQA3;A8K0Z3;Q6VEQ5;C4AMC7	WASH1_HUMAN;WASH2_HUMAN;WASH3_HUMAN;WASH4_HUMAN	WASH2P;WASH3P;WASH4P;WASHC1	WASH complex subunit 1							365.285					397.518						
A8K2U0	A8K2U0	A2ML1_HUMAN	A2ML1	Alpha-2-macroglobulin-like protein 1					2871.34													
B5ME19;Q99613	B5ME19;Q99613	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein							1702.69					1310.2						
B7ZAP0;Q9Y3P9	B7ZAP0;Q9Y3P9	RBG10_HUMAN;RBGP1_HUMAN	RABGAP1;RABGAP1L	Rab GTPase-activating protein 1-like, isoform 10							292.005											
B7ZW38;O60812;P0DMR1	P0DMR1;O60812;B7ZW38	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3				1573.44		1140.71	611.112	1832.73	1383.84	1086.88		853.082						
CONT|P00761|TRYP_PIG	CONT|P00761|TRYP_PIG	Trypsin	Trypsin		844501	662263	681384	849608	203091	577478	235354	456509	622925	912617	806321	269728						
CONT|P02662|CASA1_BOVIN	CONT|P02662|CASA1_BOVIN	Alpha-S1-casein	Alpha-S1-casein		926.124				1114.47				426.589	1732.21	727.293	156.194						
CONT|P02769|ALBU_BOVIN	CONT|P02769|ALBU_BOVIN	Albumin	Albumin		2857.12	1999.63	1896.71	2899.73	1575.41	1194.11	687.464	985.638	1647.62	1238.66	1841.59	611.112						
CONT|Q3SZ57|FETA_BOVIN	CONT|Q3SZ57|FETA_BOVIN	Alpha-fetoprotein	Alpha-fetoprotein			2842.43		1735.16	1887.32	2946.61		848.74	1533.01		3563.49							
CONT|Q9TTE1|SPA31_BOVIN	CONT|Q9TTE1|SPA31_BOVIN	Serpin	Serpin		1044.12	576.447		730.347					136.148	305.298	1210.79	222.411						
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form							768.935				590.196	799.359						
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98				401.376			240.911					273.522						
G2XKQ0;P63165	P63165;G2XKQ0	SUMO1_HUMAN;SUMO5_HUMAN	SUMO1;SUMO1P1	Small ubiquitin-related modifier 5						1914.09	1808.46		761.306			1462.1						
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein			402.548					638.689										
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A						303.281	365.428				1030.32	460.102						
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A			948.889			1772.51	1285.74	313.027				597.252						
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1						3656.64	3250.14	1248.57	973.715			1934.17						
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase		491.446				1751.14	948.521	332.973			1032.58	847.558						
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	2314.74	2828.95	3241.58	2496.86	1336.42	2597.04	1360.23	2555.37	2514.81	2156.23	1209.03	1294.76						
O00165	O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1				600.418			165.967	455.958										
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein							653.212					786.175						
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3		402.102	432.655					346.726				281.891						
O00194	O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	605.669	1946.16	748.217		525.839		503.896	699.689	649.404		1084.72	688.581						
O00203	O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1							714.888					493.374						
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	1045.09	1058.13	785.058			1596.09	1969.11	1097.45	647.389	1511.78		1582.85						
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12			1607.56	738.344		1504.25	2530.94	676.433				1265.04						
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9							520.336					803.879						
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1												1376.27						
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	1871.2	2728.47	4878.19		894.324	1832.05	1694.48	3030.31	2477.74	1629.19	2379.66	1214.39						
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5						524.992	670.154	383.764				269.83						
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha							398.515					545.947						
O00291	O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1												194.668						
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	2458.76	1671.16	1627.21	1712.89	1478.94	3203.1	3731.39	1236.75	969.822	1363.03	2987.63	3447.07						
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F			954.497			1080.43	1351.27	729.647				1031.72						
O00330	O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	851.745	697.059					162.758	320.925	515.828			252.305						
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5						899.607	767.672					508.647						
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3							745.235					779.552						
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein			1458.43				965.539					306.273						
O00469	O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2		1327.65	1136.85				259.371	1266.33	481.968	2384.34		290.257						
O00483	O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3537.19	2615.98	3978.45	3635.31	1279.38	2228.96	1786.75	1891.15	3330.31	3093.85	2722.78	1895						
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	2002.42	167.53	1416.52			1533.27	1601.97	1140	1288.96			1630.55						
O00505;O00629	O00629;O00505	IMA3_HUMAN;IMA4_HUMAN	KPNA3;KPNA4	Importin subunit alpha-4												381.161						
O00541	O00541	PESC_HUMAN	PES1	Pescadillo homolog	530.605					995.174	481.758	768.464				507.3						
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	1262.33		1873.29	3880.56		2078.78	1161.41	2125.41	972.567	1524.63	1289.12	162.403						
O00571	Q9NQI0;O15523;O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X		1331.6	1128.68		1979.52	1875.79	1243.34	664.002				1232.2						
O00625	O00625	PIR_HUMAN	PIR	Pirin			863.305			231.24	1072.46		762.173			1386						
O00764	O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase						566.069	838.757					625.399						
O00767	O00767	SCD_HUMAN	SCD	Stearoyl-CoA desaturase	373.243		947.125	718.459		1310.63	232.73	1004.42	894.236									
O14548	O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial									386.913			427.268						
O14562	O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1												233.938						
O14579	O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon							389.366					331.54						
O14602;P47813	P47813;O14602	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal							735.794					991.413						
O14617	O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1							290.482					495.63						
O14656	O14656	TOR1A_HUMAN	TOR1A	Torsin-1A		810.546										414.283						
O14683	O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11								567.158	594.775									
O14684	O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase		5309.58	2458.76	2628.55			1374.08	2597.38			7907.5							
O14732	O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2					10430.4		182.632					210.489						
O14737	O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5						826.426	654.692		381.254			644.203						
O14744	O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5					1572.45		932.951					810.723						
O14745	O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1							631.183					711.146						
O14773	O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1					8884.19	1241.34	943.095	1166.64			2494.28							
O14810;Q6PUV4	O14810;Q6PUV4	CPLX1_HUMAN;CPLX2_HUMAN	CPLX1;CPLX2	Complexin-1							1371.6					536.333						
O14818	O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	1208.36		459.892	1582.42	10162.7	1131.98	1816.35	1151.42	1031.98	1242.61		1503.44						
O14828	O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	952.182	528.377		1082.74		469.188	664.382	137.279	700.595			744.485						
O14880	O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	918.788	1493.89	2118.17	1518.75			313.509	1566.18	882.716	1272.06	1299.6	641.852						
O14907	O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3						418.763	540.976					522.541						
O14925;Q5SRD1	Q5SRD1;O14925	TI23B_HUMAN;TIM23_HUMAN	TIMM23;TIMM23B	Mitochondrial import inner membrane translocase subunit Tim23						705.636	658.558	463.53	793.542			200.823						
O14929	O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit												131.651						
O14949	O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	1500.07	2058.62		2560.46		1754.32	733.334		1396.76	3146.9	2394.37	1186.46						
O14950;P19105	P24844;P19105;O14950	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	3271.7	7036.57	3320.52	1323.66		2340.82	2454.64	3792.91	3480.76	4245.33		1916.03						
O14964	O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate		552.016					520.303					759.398						
O14974	O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A							627.425		722.161			398.952						
O14975	O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase	358.981	1431.03	883.768			300.298	514.142	429.112	748.983	904.307	1103.79	570.135						
O14979	O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like		954.191		779.62		1181.21	919.243	1394.96	472.604			626.931						
O14980	O14980	XPO1_HUMAN	XPO1	Exportin-1			1189.28				1036.66					1112.01						
O15027	O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	3328.14					2369.83	778.512	1535.26				811.269						
O15042	O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein		1746.76	1404.72	993.48		1812.65	1967.85	2107.56	1516.44	1053.7		1681.03						
O15067	O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase			1274.17			584.626	595.337	665.738				666.141						
O15127	O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	1023.35						291.843	1562.8				340.317						
O15143	O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	406.668		1025.72	988.524		1054.42	773.191					1086.36						
O15144	O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	787.967	975.311	642.431	507.85		948.564	1397.19		267.554		1270.71	962.978						
O15145	O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3						1483.68	1738.84					1263.8						
O15173	O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	2922.95	2600.53	1390.15	323.62		1405.29	1187.02	2145.22	2710.44	1749.54	2082.56	404.33						
O15198;P84022;Q15796	P84022;O15198;Q15796	SMAD2_HUMAN;SMAD3_HUMAN;SMAD9_HUMAN	SMAD2;SMAD3;SMAD9	Mothers against decapentaplegic homolog 9							218.627											
O15212	O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6							286.19					784.846						
O15230	O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	35784.9	25164.3		36434.6	11418.4	23836.7	9598.71	15662.1	27831.8	30520.6	30084.4	13721.7						
O15264;P45983;P45984;P53778;P53779;Q15759;Q16539	P53778;Q15759;P45983;P45984;Q16539;O15264;P53779	MK08_HUMAN;MK09_HUMAN;MK10_HUMAN;MK11_HUMAN;MK12_HUMAN;MK13_HUMAN;MK14_HUMAN	MAPK10;MAPK11;MAPK12;MAPK13;MAPK14;MAPK8;MAPK9	Mitogen-activated protein kinase 13							330.57					126.55						
O15305	O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2							864.128					385.969						
O15347	O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3						680.299	1696.02	787.168				2844.89						
O15355	O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G			871.022			1750.71	995.513	1593.28				992.236						
O15371	O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D							425.707					350.155						
O15372	O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H							714.739					446.084						
O15409	O15409	FOXP2_HUMAN	FOXP2	Forkhead box protein P2									423.011			188.949						
O15427	O15427	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4								871.138										
O15438	O15438	MRP3_HUMAN	ABCC3	ATP-binding cassette sub-family C member 3			1249.95				249.946	1181.35										
O15460	O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2								1470.57		782.04								
O15498	O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6							676.113					278.623						
O15511	O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	976.661	1187.14		907.096		555.681	2213.09			143.525		1495.45						
O43143	O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	1037.77	1917.65	1138.71	1217.49		1857.07	1226.71	1380.98	1603	1497.04	704.626	1058.17						
O43148	O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase												221.645						
O43169	O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B			4016.17				536.531	1455.17	651.747		545.771	508.827						
O43172	O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4						429.855												
O43175	O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase			1325.15			769.045	2249.85			865.588		1761.44						
O43181	O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial							414.272					153.265						
O43237	O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	616.01						405.027	494.698		1552.47		686.274						
O43240	O43240	KLK10_HUMAN	KLK10	Kallikrein-10					975.043													
O43242	O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3		1532.13	364.378			747.178	547.637	569.456	1255.77			597.13						
O43290	O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1		1079.69					490.651	744.308	670.413									
O43292	O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	640.519									663.87		302.143						
O43324	O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1							478.782		426.534			279.668						
O43390	O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	3614.38	3528.46	3751.07	3636.94		2917.67	1993.61	3003.57	2847.4	2798.09	2933.69	1684.21						
O43395	O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	630.755					1022.95	470.651	518.136			946.112	121.026						
O43396	O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1						1979.98	2032.95					2883.32						
O43399	O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54			1332.07				711.28	437.552				862.452						
O43447	O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H							203.295					226.108						
O43488;Q8NHP1	O43488;Q8NHP1	ARK72_HUMAN;ARK74_HUMAN	AKR7A2;AKR7L	Aflatoxin B1 aldehyde reductase member 2							401.926					521.394						
O43493	O43493	TGON2_HUMAN	TGOLN2	Trans-Golgi network integral membrane protein 2							264.054	504.45										
O43548	O43548	TGM5_HUMAN	TGM5	Protein-glutamine gamma-glutamyltransferase 5					9478.21													
O43570	O43570	CAH12_HUMAN	CA12	Carbonic anhydrase 12	627.182		3739.73		610.219		2027.67	2584.97			4024.78	760.722						
O43583	O43583	DENR_HUMAN	DENR	Density-regulated protein							1119.25					1191.52						
O43592	O43592	XPOT_HUMAN	XPOT	Exportin-T							259.479					241.864						
O43615	O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	897.279	552.224		1138.18		892.24	354.499	956.082	583.733		1018.64	294.868						
O43617	O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3							738.503					511.809						
O43633	O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a												422.457						
O43676	O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3			1120.43				214.624					156.271						
O43681	O43681	GET3_HUMAN	GET3	ATPase GET3						695.106	450.159					500.044						
O43684	O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3						1220.09	715.161	504.474				1032.33						
O43707	O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	2535.6	2962.53	4023.34	1559.36		9596.62	3889.46	2044.34	1083.39	1951.43	1888.96	3491.18						
O43709	O43709	BUD23_HUMAN	BUD23	Probable 18S rRNA (guanine-N(7))-methyltransferase							242.622					331.731						
O43747	O43747	AP1G1_HUMAN	AP1G1	AP-1 complex subunit gamma-1							706.376					432.423						
O43760	O43760	SNG2_HUMAN	SYNGR2	Synaptogyrin-2	4136.35	3703.09	4664.65		3772.2	1140.06	2174.17	3468.84	3228.78		1521.69	1362.58						
O43765	O43765	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha							292.005					265.306						
O43776	O43776	SYNC_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic						1409.89	1850.51					2476.17						
O43790;Q14533	Q14533;P78385;O43790;P78386;A6NCN2;CONT|O43790|KRT86_HUMAN;CONT|P78385|KRT83_HUMAN;CONT|P78386|KRT85_HUMAN;CONT|Q14533|KRT81_HUMAN;CONT|P15241|K2M2_SHEEP;CONT|P25691|K2M3_SHEEP	KRT81_HUMAN;KRT86_HUMAN	KRT81;KRT86	Keratin, type II cuticular Hb6	3141.21		1163.83			3050.11	3479.51					4923.6						
O43795	O43795	MYO1B_HUMAN	MYO1B	Unconventional myosin-Ib	1731.57	3788.97	2501.05	1286.41	872.096	1174.69	728.397	791.683	1106.23	1801.29	1267.21	339.04						
O43809	O43809	CPSF5_HUMAN	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	2538.61	1316.9		1343.15	694.146	2104.52	1217.1	1790.3	2257.84	1214.64	913.055	1449.31						
O43813	O43813	LANC1_HUMAN	LANCL1	Glutathione S-transferase LANCL1							591.126					428.179						
O43837	O43837	IDH3B_HUMAN	IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	2410.27	2161.41		1310.78		920.994	411.234	779.457	711.239	814.848	1594.85	814.97						
O43847	O43847	NRDC_HUMAN	NRDC	Nardilysin							196.723					472.447						
O43852	O43852	CALU_HUMAN	CALU	Calumenin	1770.56	2377.94			2322.1	1279.34	1463.94	1517.39	1960.48		1742.89	1485.69						
O43920	O43920	NDUS5_HUMAN	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5							429.964					408.113						
O60216	O60216	RAD21_HUMAN	RAD21	Double-strand-break repair protein rad21 homolog												226.11						
O60218	O60218	AK1BA_HUMAN	AKR1B10	Aldo-keto reductase family 1 member B10	14049.8	10220.4	14270.8	10738.3	2592.33	6608.56	23519.9	6788.25	7488.71	11558.5	8015.26	14299.1						
O60256	O60256	KPRB_HUMAN	PRPSAP2	Phosphoribosyl pyrophosphate synthase-associated protein 2						872.472	463.122					531.678						
