Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-11-2024_Slot1-195_3581.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-11-2024_Slot1-196_3582.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-11-2024_Slot1-197_3584.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-198_3585.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-199_3587.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-200_3588.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-201_3603.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-202_3604.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-203_3605.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-204_3607.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-205_3608.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-13-2024_Slot1-206_3609.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-195_3592.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-196_3593.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-197_3595.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-198_3596.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-199_3598.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-200_3599.d
O00625	O00625	PIR_HUMAN	PIR	Pirin	997.087	487.466	478.508		281.943	355.839	828.634	315.698	347.654	602.731		1215.77						
O00764	O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase			757.47			204.008	434.162	487.51	169.749			508.561						
O00767	O00767	SCD_HUMAN	SCD	Stearoyl-CoA desaturase	299.361	255.735	651.303	536.544	866.067	1161.38	178.639	761.533	675.07	464.826		346.888						
O14548	O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial				531.225		715.986	365.411	754.216	326.271	541.048	565.569	293.999						
O14562	O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1							60.4715					175.988						
O14579	O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon						57.5521	342.251	171.385				506.823						
O14602;P47813	P47813;O14602	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal		573.726				355.606	431.834					422.351						
O14617	O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1							218.556					323.838						
O14656	O14656	TOR1A_HUMAN	TOR1A	Torsin-1A		763.376					60.6622		419.745			275.968						
O14683	O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11	260.633	275.104						395.596	457.242	476.349	492.466	428.836						
O14684	O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase		4214.29	1803.89	1941.69	1209.62		1053.44	1893.77		760.651	6369.25	99.8966						
O14732	O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2		188.73			5146.48		173.5			345.553		278.434						
O14737	O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5				256.842		428.003	366.779	38.9429	154.858			363.281						
O14744	O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5					2649.68		602.391	521.645				675.015						
O14745	O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	412.435					739.771	304.337					597.556						
O14773	O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1184.82	787.22	436.132		14049.7		672.909	652.867	991.87	1271.97	2108.82	299.094						
O14810;Q6PUV4	O14810;Q6PUV4	CPLX1_HUMAN;CPLX2_HUMAN	CPLX1;CPLX2	Complexin-1							950.724					295.765						
O14818	O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	1098.1	217.476	651.81	1465.01	13410.1	898.561	1402.3	810.953	992.981	1134.36		1129.49						
O14828	O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	1067.13			534.04	528.995	507.443	532.89	408.786		927.873	201.296	627.573						
O14880	O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	643.657	1283.59	1404.74	1204.3	870.68	367.06	304.579	1325.57	687.205	907.467	839.222	402.534						
O14907	O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3						326.853	467.171					416.782						
O14925;Q5SRD1	Q5SRD1;O14925	TI23B_HUMAN;TIM23_HUMAN	TIMM23;TIMM23B	Mitochondrial import inner membrane translocase subunit Tim23	536.834		746.355			431.648	602.958	420.771	338.935	710.442		170.471						
O14929	O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit												81.6845						
O14949	O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	724.686	1129.77	674.558	1775.96	750.725	1171.74	720.059	1067.78	1545.64	2335.38	908.781	724.167						
O14950;P19105	P24844;P19105;O14950	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	2392.38	4823.23	2182.72	945.33	2287.18	1720.32	1879.3	2907.76	2474.68	3140.66	894.364	1389.2						
O14964	O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	239.104	231.259	259.065			162.197	325.44					450.045						
O14974	O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	513.042				253.858			315.711	530.407	463.801								
O14975	O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase	235.577	1188.98	527.942		315.277	248.805	465.737	327.167	543.276	530.007	992.433	276.654						
O14979	O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	688.057	703.434	146.4	617.35		905.544	577.305	1221.35	222.263			608.716						
O14980	O14980	XPO1_HUMAN	XPO1	Exportin-1			921.497	367.997		808.987	574.47					1065.06						
O15027	O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	2244.1					1399.57	372.647			511.724	1030.51	595.72						
O15042	O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	2240.49	1343.02	767.299		1159.71	2095.37	1063.43	1106.72	1365.61	746.39	1123.95	915.208						
O15067	O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	952.333	170.484			389.837	513.535	748.828	370.382			327.581	668.231						
O15127	O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	809.67	642.015	471.527	637.725		308.566	226.357	852.32	712.641			208.09						
O15143	O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	309.719		1321.51	752.786	441.279	696.999	446.378	235.253	235.601		925.389	632.36						
O15144	O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	662.044	627.666	316.435	412.058	467.235	742.908	1258.91	481.437	270.57		717.686	800.471						
O15145	O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1093.86	231.023		1893.16	875.116	980.636	1153.47	332.134				1038.15						
O15173	O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	2089.93	1860.81	1510.36	520.589	654.279	1179.91	780.107	1320.23	954.857	1082.58	924.764	843.776						
O15198;P84022;Q15796	P84022;O15198;Q15796	SMAD2_HUMAN;SMAD3_HUMAN;SMAD9_HUMAN	SMAD2;SMAD3;SMAD9	Mothers against decapentaplegic homolog 9							399.048											
O15212	O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6			235.958				196.836					405.909						
O15230	O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	27164.9	21417.8	20680.3	31436.9	15132.6	17151.6	6169.08	12129.7	20222.8	22040.3	23604.1	7956.81						
O15264;P45983;P45984;P53778;P53779;Q15759;Q16539	P53778;Q15759;P45983;P45984;Q16539;O15264;P53779	MK08_HUMAN;MK09_HUMAN;MK10_HUMAN;MK11_HUMAN;MK12_HUMAN;MK13_HUMAN;MK14_HUMAN	MAPK10;MAPK11;MAPK12;MAPK13;MAPK14;MAPK8;MAPK9	Mitogen-activated protein kinase 13			227.084		197.444		253.307					99.4221						
O15305	O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2						283.212	497.258					322.198						
O15347	O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3						400.786	1167.66	519.501				1677.91						
O15355	O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	698.697	1053.33	338.031	919.477		947.144	691.719	788.683				692.227						
O15371	O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D						655.634	287.815	427.533				396.654						
O15372	O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H			583.067				450.714					306.919						
O15409	O15409	FOXP2_HUMAN	FOXP2	Forkhead box protein P2	1174.26	987.389				332.413		704.383	1575.11	378.038		187.517						
O15427	O15427	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4							134.607	773.115			705.468							
O15438	O15438	MRP3_HUMAN	ABCC3	ATP-binding cassette sub-family C member 3			702.302				104.703	738.066	278.592									
O15460	O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2						83.0708	235.13	1068.88		566.621	1537.06	247.449						
O15498	O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6					1864.52		220.939					206.763						
O15511	O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	751.909	755.34	673.408	718.127	172.493	387.322	1706.48	530.587		107.068		1064.14						
O43143	O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	1136.7	1388.3	1007.17	932.783	853.724	1240.8	891.393	1188.36	662.788	1175.6		845.658						
O43148	O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase								317.224				212.137						
O43169	O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	571.419		2867.75		375.16		481.636	1162.17	965.114		452.737	569.435						
O43172	O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4		467.107	301.143			323.21	138.624		464.281	794.349		263.324						
O43175	O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase		1305.11	947.489		386.846	529.021	1894.05	808.455	87.7458	685.456		1528.65						
O43181	O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial			775.155	925.773	324.374		343.713	634.095			534.812	117.385						
O43237	O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	570.382	387.051					311.194	547.342	547.999	1794.42		268.476						
O43240	O43240	KLK10_HUMAN	KLK10	Kallikrein-10					1030.61													
O43242	O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	847.841	672.71	448.519		278.434	546.292	426.732	222.084	405.162	474.681		457.562						
O43290	O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	317.806	275.938		743.613	1871.86		419.277	788.453	368.206		665.443	301.151						
O43292	O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	483.642		256.154	128.639			46.5995	53.8311		310.893		242.869						
O43324	O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	698.797	416.467	576.946				358.059	406.649	301.595	582.216		733.734						
O43390	O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	2600.64	2973.99	2687.16	2741.56	1222.42	2118.38	1595.35	2501.69	2021.92	2162.04	2392.9	1257.28						
O43395	O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	509.948	1177.04	406.469		246.643	605.417	386.914	437.662	537.993	1066.92	580.212	208.251						
O43396	O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	728.232		835.315			1421.33	1561.46					1785.97						
O43399	O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54			1133.97	164.914	1577.28	395.121	423.814	249.167				490.336						
O43447	O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H							87.558	108.945				153.979						
O43488;Q8NHP1	O43488;Q8NHP1	ARK72_HUMAN;ARK74_HUMAN	AKR7A2;AKR7L	Aflatoxin B1 aldehyde reductase member 2							324.294					396.483						
O43493	O43493	TGON2_HUMAN	TGOLN2	Trans-Golgi network integral membrane protein 2							200.368	349.429				107.573						
O43548	O43548	TGM5_HUMAN	TGM5	Protein-glutamine gamma-glutamyltransferase 5					10462.3						277.983							
O43570	O43570	CAH12_HUMAN	CA12	Carbonic anhydrase 12	616.889	404.407	2619.27	865.257	867.236		1612.36	2090.35	491.088		2952.27	490.66						
O43583	O43583	DENR_HUMAN	DENR	Density-regulated protein							739.86					692.718						
O43592	O43592	XPOT_HUMAN	XPOT	Exportin-T							180.208					158.577						
O43615	O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	834.594	363.564	580.057	467.226	283.264	608.046	316.563	610.083	535.411	364.656	570.79	249.965						
O43617	O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3							491.509		205.094			392.924						
O43633	O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a							117.413					334.472						
O43676	O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	184.767		448.13		233.644		318.76	157.134	222.289	754.089	276.107	245.608						
O43681	O43681	GET3_HUMAN	GET3	ATPase GET3	524.451	724.903	1002.46			431.135	418.062				379.861	437.516						
O43684	O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	443.222	171.553			282.707	729.498	433.524	452.219	431.965	707.135		810.726						
O43707	O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	2031.66	2102.13	3274.33	1196.18	519.7	7405.18	3377.47	1873.23	825.143	1518.55	1266.55	2915.33						
