Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-99_3909.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-100_3911.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-101_3913.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-102_3915.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-103_3917.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-104_3919.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-198_3921.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-199_3923.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-200_3925.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-201_3927.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-202_3929.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-203_3931.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-204_3935.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-205_3937.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-206_3939.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-207_3941.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-208_3943.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-209_3945.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-26_3890.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-27_3891.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-28_3892.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-29_3894.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-30_3895.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-31_3896.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-32_3898.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-33_3899.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-34_3900.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-35_3902.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-36_3903.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-37_3905.d
CONT|A0A0A0MPA0|A0A0A0MPA0_BOVIN	CONT|A0A0A0MPA0|A0A0A0MPA0_BOVIN	SERPIN	SERPIN					369.237					327.131	323.328				180.286			121.889		356.223					184.413						
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"	396.492	914.842	1006.51		845.592	1214.92	867.9	1020.38	531.91	336.466	849.964	835.595	1184.52	913.073	404.651	435.978				1158.45	332.348	1007.52	657.594	654.832	398.783	142.753	1386.02	513.252	509.246	923.585
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98			374.108	708.938		289.483	309.866	321.799	92.1469	92.0875	156.119	308.524	299.14	327.511	311.665			146.872	142.869				315.397	157.863	148.922	118.309	344.211	128.453		306.182
O00116	O00116	ADAS_HUMAN	AGPS	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"			82.3871	186.645		477.146	100.074			389.347			530.73	68.0827		73.5068		85.9857	406.337				71.2915	292.654			299.927		93.5221	136.852
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A			320.752			166.428		356.455	289.949		235.92	227.74	153.188	421.497							324.721		344.701	173.478	279.803	423.87	605.667	588.344	349.886	266.293
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A			178.054			424.144	476.205	166.286	181.569		191.845	267.13				241.26	429.96		343.295					545.358	294.601		362.591	312.328		104.497
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	570.293	2370.5	549.172	448.508	904.778	552.909	748.758	2267.47	409.864	234.761	1363.74	990.983	895.564	461.156	942.024	1003.86	998.987	467.166	1018.96	244.811	2591.32	1731.14	2152.82	438.615	1184.05	922.669	1866.52	762.343	1081.31	954.921
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	1040.69	1797.43	1265.05	963.637	711.836	1476.82	1288.95	747.802	710.572	644.85	796.102	804.718	1681.65	1239.75	806.401	992.54		955.231	783.29	693.882	1854.28	1781.89	1366.84	854.534	1039.62	1074.42	1467.74	1565.52	1387.17	2409.77
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	73.5179	1390.58	595.917	629.145	2082.93	495.323	889.368	1150.77	997.521	560.647	1000.56	897.79	565.233	887.683	886.535	1061.83	493.475	1021.58	750.911	778.98	507.854	658.289	759.768	659.513	976.685	1236.78	699.031	755.58	816.208	435.485
O00161	O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23		97.0943			310.106	236.029		130.394	178.639		103.588	86.5224			654.288	142.525		333.34				395.617	85.2877	108.556	186.246	303.382	354.206		194.585	
O00165	O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1												213.487													132.877	124.229			57.0797	
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein		295.385	297.075			273.445	89.7991	368.859			271.166	227.376	423.559	575.533		451.921					215.874	623.525	246.152	584.312	203.065		474.176	300.819	320.641	416.956
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1						152.737		202.949			793.053					490.961						365.004	328.129		228.498		211.009		167.03	270.488
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3		173.178	350.771			288.778		227.959	287.073	242.127		354.932	253.877				617.97	284.152	512.499	494.329	228.956			359.251	206.971	258.834			229.187	
O00203	O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1			468.684	775.76		342.842	727.636	606.691			368.144	361.392	558.992	365.989		296.378			422.369		601.993	492.668	295.712	573.218	415.543	205.936	286.714	388.894	492.95	415.053
O00217	O00217	NDUS8_HUMAN	NDUFS8	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"						78.6932	460.364	232.983		75.2946	135.802	266.973						92.8453			220.221		176.555		153.859		100.776	370.764		
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11		334.359	723.341	648.134	434.502	613.376	529.444	524.884	353.227	685.744	749.83	914.244	875.692	996.134	565.718	890.999	571.527	470.825	707.899	412.44	633.055	777.06	737.488	709.69	414.265	472.567	498.806	455.523	615.188	779.333
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12		519.535	726.134	992.319	1108.45	866.566	992.321	868.619	323.162	419.368	763.169	782.97	712.462	728.28	746.485	993.065	996.037	470.505	1033.48	436.728	786.869	658.803	785.224	788.245	714.941	640.754	706.083	951.385	753.386	1107.56
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	215.09	302.082	217.284	118.252		86.3643		366.486		120.194	526.041	415.37	543.538	205.059		410.981					466.13	654.561	151.326	321.547	103.083		112.158	445.123	407.894	192.526
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1		221.296		169.522		265.256		173.157		118.769	168.83	224.25									531.67	337.583	340.61	96.306	93.8972					219.857
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1			478.932	180.635		508.384	348.551		611.122	593.034	279.446	380.474	360.204	597.034	269.405	257.383		474.132	1159.12	462.358	525.56	603.838	186.057	153.711	187.883	671.667	382.377	573.514	333.752	505.709
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5			55.5519				129.87							109.43								130.644					133.552			
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha						172.284		173.871			114.613	479.206	407.822	354.543	275.347						290.65	193.493	108.942	300.75	157.203			389.772	139.923	
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1879.15	3171.43	3382.25	1131.99	468.813	3522.17	4580.56	2978.65	896.832	514.005	3580.84	3665.2	2988.67	3707.14	1047.05	3778.1	1125.74	824.144	1013.21	435.605	3773.43	2960.26	2974.29	4201.71	1770.91	764.882	3976.8	3676.05	3560.13	2620.11
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F		364.648	831.034	781.024	450.143	708.526	514.72	737.211	118.375		710.384	650.22	510.925	797.516		466.678	345.022	303.734	524.768	332.787	665.112	557.369	602.056	747.666	833.318	320.118	1031.22	841.76	737.443	708.016
O00330	O00330	ODPX_HUMAN	PDHX	"Pyruvate dehydrogenase protein X component, mitochondrial"							428.649		222.145	175.222	177.054		201.37	128.077		245.408		317.218		229.882		187.678	142.08		163.792	403.019	290.595		200.627	
O00391	O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1			157.664	133.177		67.1784	125.389			226.09					466.838				297.316		181.197	195.033	157.959	288.893	220.978			186.937	165.064	
O00401	O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein			158.209										180.551	181.61									127.416		74.1015					
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5		187.948	321.37			205.716	148.302	275.977		264.776	330.346	197.927	503.506	250.812		357.289			154.883	217.546	151.609	357.102	296.944	355.939	181.595		254.305	352.848	212.508	423.486
O00422	O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18			324.175	383.096			418.25		306.331	841.336	398.68		361.917	120.144				323.277	260.149	406.064		258.844	585.504	500.837	341.187	471.535	477.461	476.371	198.151	408.821
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3		1056.75	813.019	1317.21	346.925	1288.02	1344.67	1718.5	500.971	462.461	1287.56	1199.97	1154.06	1600.12	611.127	1152.46		325.089	1336.01	165.072	971.644	1070.23	1551.73	1737.9	1152.66	785.548	1819.2	1842.35	1268.66	1368.13
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein		683.38	417.103	727.341	169.095	694.049	899.48	580.173		347.865	821.257	787.954	788.779	922.122		680.565	469.283				964.432	557.498	966.656	524.629	481.952		763.099	630.95	678.066	657.642
O00442	O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase		504.318	148.939			135.607		128.401			90.4762	386.102		264.219		171.58						220.684	97.6675		75.5015				177.868	
O00462	O00462	MANBA_HUMAN	MANBA	Beta-mannosidase										187.881						217.362									183.889			53.6305		69.6025
O00469	O00469	PLOD2_HUMAN	PLOD2	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"	1335.07	3652.7	1599.85	963.668	5797.79	1752.45	635.288	1435.19	1523.86	493.611	1481.17	716.81	329.76	366.953		757.393		1263.76	1478.01	1607.76	1557.31	872.652	833.468	1177.9	1154.38	1854.83	304.001	628.829	637.226	278.643
O00479	O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4							307.663	129.702		85.6054	169.58			195.453		236.493			401.998				122.087	187.664		313.168			296.958	
O00483	O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4		779.821	265.539	1162.06		1334.56	818.799	325.49	1140.62	1336.26	655.163	540.793	690.607	848.006		528.085		449.09	759.538	661.409		998.402	594.452	831.184	1177.35	780.609	458.301	642.977	1028.09	435.119
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	438.208	369.264	870.44	788.39	457.844	1123.23	1395.2	958.608	503.776	847.243	861.009	759.658	1531.14	1043.17	1210.49	799.908	540.441	1031.41	1096.08		857.203	891.035	735.528	1142.92	806.979	879.307	1208.72	694.85	993.137	1426.94
O00499	O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1								102.246			81.0639		218.797	237.956							145.917		110.11	251.934			340.527		61.4319	
O00534	O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A				387.84			437.551			45.8649					248.133	249.997				84.6495				247.241			369.356	357.592	58.7629	280.107
O00541	O00541	PESC_HUMAN	PES1	Pescadillo homolog			568.104	351.221		251.359	276.694	212.768	273.613	385.865	177.282	511.431	235.177	387.319		385.671		256.673		305.116		176.457	379.673	463.798	166.761	182.86	356.692	246.661	299.819	232.513
O00560	O00560	SDCB1_HUMAN	SDCBP	Syntenin-1			220.207			270.822	71.7643	294.515		239.347	250.986	717.281		52.0816		196.234		524.43					361.198	789.996	223.068	532.534	460.439		272.782	202.469
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56			350.302	687.097		631.419	698.018	774.242	714.909	961.526	725.148	784.844	379.055	552.36		501.128		974.139	1024.77	992.873		595.779	635.309	870.959	741.357	794.914	935.304	459.456	498.518	683.545
O00571	Q9NQI0;O15523;O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	581.038	800.955	739.618	897.402	445.532	971.946	643.382	601.653	249.863	193.538	547.531	804.552	770.43	901.168		669.447	836.265	268.666	871.653	806.187	427.607	720.508	702.495	754.993	975.465	298.404	824.038	555.683	559.314	696.771
O00625	O00625	PIR_HUMAN	PIR	Pirin		75.538														126.879					177.15	169.876								374.741
O00629	O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3		242.041	400.577	726.806	136.913	332.233	335.755	221.988	287.121		204.126	429.85	292.299	521.822		116.55	452.401	183.349	385.203		243.999	120.981	191.309		169.186	196.462	269.073	170.813	701.519	292.169
O00712	O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type			298.254				155.738	154.909		151.626				215.64		93.8081		352.473	362.705				100.392					222.955		208.316
O00743	O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit		107.723							122.586			196.281									66.2923		46.7975		135.316		238	156.071	215.699	
O00754	O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase			115.111		280.429		135.226			127.216	144.9	390.153		195.073		90.765	392.23					165.377	239.113		70.5115	153.717		114.19	171.441	
O00764	O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase		386.292	277.606		366.338	442.657	759.089	402.683		107.768	449.951	418.008	345.68	426.658		240.262					296.018	213.995	690.238	239.791	245.599	186.47	538.467	586.744	280.503	126.024
O14531	O14531	DPYL4_HUMAN	DPYSL4	Dihydropyrimidinase-related protein 4		190.864	295.616			223.65		220.259			220.005	230.684		169.695							372.925	372.661						35.5081	194.123	264.288
O14558	O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6					595.559		325.836	660.982						155.581							1444.45		339.882		63.7312					
O14562	O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1			172.156			220.036		151.05			229.321			296.75		231.496					432.533	148.304		287.038			194.635	520.524	139.075	234.042
O14579	O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon		138.431	414.9	533.01		433.665	282.014	977.824			391.604	750.06	408.742	430.871	283.253	557.491					226.224		340.554	459.856	413.179		177.514	316.369	500.016	
O14602;P47813	P47813;O14602	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	"Eukaryotic translation initiation factor 1A, Y-chromosomal"		130.297		213.031		440.657	241.311	296.638			243.359		66.3669	253.444					250.307		487.266	189.495	288.405	464.828	257.033		120.683	531.419	232.596	421.142
O14617	O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1								279.033			153.004			120.276		206.359														
O14618	O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase			124.156				275.214				219.846			199.546		243.452					51.4823		190.497		270.572					206.655
O14647	O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2						245.486			238.809			147.06													96.5599					
O14656	O14656	TOR1A_HUMAN	TOR1A	Torsin-1A					274.09	221.911				319.274	108.949					200.238		157.307	213.36	160.223	127.148		196.09		87.0025	198.137		127.023	192.635	
O14657	O14657	TOR1B_HUMAN	TOR1B	Torsin-1B						102.985															250.527				132.881			127.577		
O14662	O14662	STX16_HUMAN	STX16	Syntaxin-16						60.2246	124.917				118.864										183.501		189.924						56.2445	
O14681	O14681	EI24_HUMAN	EI24	Etoposide-induced protein 2.4 homolog				120.946	200.714	214.902		63.7873		196.737				128.372									51.554		110.103	288.263		107.173		
O14732	O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	751.97	438.599	340.685		182.584	336.803	509.426	204.352			233.949	800.122	569.567	939.682	536.494	348.521	1324.18	548.105	677.753	267.52	180.554	776.476		310.619	424.117	1195.6	901.595	872.012	401.712	221.483
